"","date","CPIX"
"1","2009-08-11",16.83
"2","2009-08-12",17
"3","2009-08-13",17.049999
"4","2009-08-14",17.01
"5","2009-08-17",16.799999
"6","2009-08-18",16.75
"7","2009-08-19",16.75
"8","2009-08-20",16.620001
"9","2009-08-21",16.75
"10","2009-08-24",16.85
"11","2009-08-25",16.860001
"12","2009-08-26",16.780001
"13","2009-08-27",16.75
"14","2009-08-28",16.75
"15","2009-08-31",16.74
"16","2009-09-01",16.1
"17","2009-09-02",15.97
"18","2009-09-03",16.639999
"19","2009-09-04",16.75
"20","2009-09-08",16.49
"21","2009-09-09",16.950001
"22","2009-09-10",16.709999
"23","2009-09-11",15.91
"24","2009-09-14",15.32
"25","2009-09-15",15.08
"26","2009-09-16",16.5
"27","2009-09-17",16.58
"28","2009-09-18",16.98
"29","2009-09-21",16.99
"30","2009-09-22",16.719999
"31","2009-09-23",16.34
"32","2009-09-24",16.35
"33","2009-09-25",15.25
"34","2009-09-28",15.56
"35","2009-09-29",16.49
"36","2009-09-30",16.190001
"37","2009-10-01",16.09
"38","2009-10-02",15.49
"39","2009-10-05",15.32
"40","2009-10-06",15.53
"41","2009-10-07",15.5
"42","2009-10-08",15.41
"43","2009-10-09",15.36
"44","2009-10-12",14.72
"45","2009-10-13",14.88
"46","2009-10-14",14.33
"47","2009-10-15",13.8
"48","2009-10-16",13.4
"49","2009-10-19",13.76
"50","2009-10-20",13.75
"51","2009-10-21",13.6
"52","2009-10-22",13.43
"53","2009-10-23",13.03
"54","2009-10-26",13.55
"55","2009-10-27",13.18
"56","2009-10-28",11.95
"57","2009-10-29",12.04
"58","2009-10-30",11.9
"59","2009-11-02",12.22
"60","2009-11-03",12.48
"61","2009-11-04",12.06
"62","2009-11-05",12.58
"63","2009-11-06",12.42
"64","2009-11-09",12.51
"65","2009-11-10",13.42
"66","2009-11-11",13.45
"67","2009-11-12",13.38
"68","2009-11-13",13.53
"69","2009-11-16",14.26
"70","2009-11-17",14.25
"71","2009-11-18",14.53
"72","2009-11-19",14.62
"73","2009-11-20",15.44
"74","2009-11-23",15.15
"75","2009-11-24",15.7
"76","2009-11-25",15.65
"77","2009-11-27",14.98
"78","2009-11-30",14.35
"79","2009-12-01",13.94
"80","2009-12-02",13.89
"81","2009-12-03",13.22
"82","2009-12-04",13.72
"83","2009-12-07",13.41
"84","2009-12-08",13.25
"85","2009-12-09",13.7
"86","2009-12-10",13.98
"87","2009-12-11",13.77
"88","2009-12-14",13.9
"89","2009-12-15",13.95
"90","2009-12-16",14.06
"91","2009-12-17",13.8
"92","2009-12-18",13.9
"93","2009-12-21",14.3
"94","2009-12-22",13.9
"95","2009-12-23",14.24
"96","2009-12-24",14.14
"97","2009-12-28",14.17
"98","2009-12-29",14.19
"99","2009-12-30",14.55
"100","2009-12-31",13.59
"101","2010-01-04",13.9
"102","2010-01-05",14.01
"103","2010-01-06",14.03
"104","2010-01-07",14.3
"105","2010-01-08",14.32
"106","2010-01-11",14
"107","2010-01-12",14.07
"108","2010-01-13",14.05
"109","2010-01-14",14.28
"110","2010-01-15",13.05
"111","2010-01-19",13.76
"112","2010-01-20",13.45
"113","2010-01-21",13.05
"114","2010-01-22",13.26
"115","2010-01-25",13.62
"116","2010-01-26",12.96
"117","2010-01-27",13.24
"118","2010-01-28",12.33
"119","2010-01-29",11.88
"120","2010-02-01",12.29
"121","2010-02-02",12.28
"122","2010-02-03",12.25
"123","2010-02-04",11.9
"124","2010-02-05",11.91
"125","2010-02-08",11.41
"126","2010-02-09",11.52
"127","2010-02-10",11.54
"128","2010-02-11",11.64
"129","2010-02-12",11.68
"130","2010-02-16",11.6
"131","2010-02-17",11.75
"132","2010-02-18",11.8
"133","2010-02-19",11.78
"134","2010-02-22",11.73
"135","2010-02-23",11.72
"136","2010-02-24",11.52
"137","2010-02-25",11.29
"138","2010-02-26",11.1
"139","2010-03-01",11.27
"140","2010-03-02",11.6
"141","2010-03-03",11.59
"142","2010-03-04",11.47
"143","2010-03-05",11.6
"144","2010-03-08",11.65
"145","2010-03-09",12
"146","2010-03-10",11.29
"147","2010-03-11",11.79
"148","2010-03-12",11.5
"149","2010-03-15",11.46
"150","2010-03-16",11.35
"151","2010-03-17",11.35
"152","2010-03-18",11.39
"153","2010-03-19",11.44
"154","2010-03-22",11.5
"155","2010-03-23",11.57
"156","2010-03-24",11.4
"157","2010-03-25",11.4
"158","2010-03-26",11.29
"159","2010-03-29",11.24
"160","2010-03-30",10.88
"161","2010-03-31",10.53
"162","2010-04-01",10.55
"163","2010-04-05",10.23
"164","2010-04-06",10.5
"165","2010-04-07",10.61
"166","2010-04-08",10.66
"167","2010-04-09",10.84
"168","2010-04-12",10.99
"169","2010-04-13",10.6
"170","2010-04-14",10.8
"171","2010-04-15",10.97
"172","2010-04-16",10.9
"173","2010-04-19",10.84
"174","2010-04-20",10.94
"175","2010-04-21",10.95
"176","2010-04-22",10.71
"177","2010-04-23",10.57
"178","2010-04-26",10.59
"179","2010-04-27",10.65
"180","2010-04-28",10.73
"181","2010-04-29",10.56
"182","2010-04-30",10.65
"183","2010-05-03",10.75
"184","2010-05-04",10.74
