"","date","AGIO"
"1","2013-07-24",31.280001
"2","2013-07-25",27.780001
"3","2013-07-26",28.530001
"4","2013-07-29",28.639999
"5","2013-07-30",29.1
"6","2013-07-31",29.16
"7","2013-08-01",29.15
"8","2013-08-02",28.84
"9","2013-08-05",28.799999
"10","2013-08-06",28.959999
"11","2013-08-07",29.67
"12","2013-08-08",29.85
"13","2013-08-09",30
"14","2013-08-12",30.48
"15","2013-08-13",31.370001
"16","2013-08-14",32.77
"17","2013-08-15",32.18
"18","2013-08-16",31.91
"19","2013-08-19",29.110001
"20","2013-08-20",26.76
"21","2013-08-21",24.790001
"22","2013-08-22",25.469999
"23","2013-08-23",25.870001
"24","2013-08-26",25.6
"25","2013-08-27",22.65
"26","2013-08-28",23.1
"27","2013-08-29",24.870001
"28","2013-08-30",23.58
"29","2013-09-03",23.58
"30","2013-09-04",25.440001
"31","2013-09-05",27.1
"32","2013-09-06",27.08
"33","2013-09-09",26.790001
"34","2013-09-10",27.719999
"35","2013-09-11",27.129999
"36","2013-09-12",26.93
"37","2013-09-13",26.549999
"38","2013-09-16",26.9
"39","2013-09-17",26.07
"40","2013-09-18",27.120001
"41","2013-09-19",27.66
"42","2013-09-20",26.709999
"43","2013-09-23",26.09
"44","2013-09-24",25.780001
"45","2013-09-25",26.950001
"46","2013-09-26",27.440001
"47","2013-09-27",27.860001
"48","2013-09-30",27.959999
"49","2013-10-01",28.75
"50","2013-10-02",30.040001
"51","2013-10-03",32.25
"52","2013-10-04",33.18
"53","2013-10-07",30.790001
"54","2013-10-08",28.969999
"55","2013-10-09",25.15
"56","2013-10-10",25.16
"57","2013-10-11",24.76
"58","2013-10-14",26.23
"59","2013-10-15",26.43
"60","2013-10-16",27.42
"61","2013-10-17",28.4
"62","2013-10-18",28.52
"63","2013-10-21",28.799999
"64","2013-10-22",26.709999
"65","2013-10-23",27.299999
"66","2013-10-24",27.719999
"67","2013-10-25",26.52
"68","2013-10-28",25.040001
"69","2013-10-29",25.68
"70","2013-10-30",24.530001
"71","2013-10-31",23.16
"72","2013-11-01",23
"73","2013-11-04",23.84
"74","2013-11-05",24.299999
"75","2013-11-06",22
"76","2013-11-07",19.459999
"77","2013-11-08",19.85
"78","2013-11-11",20.889999
"79","2013-11-12",20.09
"80","2013-11-13",21.5
"81","2013-11-14",19
"82","2013-11-15",17.6
"83","2013-11-18",17
"84","2013-11-19",17.059999
"85","2013-11-20",16.98
"86","2013-11-21",17.98
"87","2013-11-22",17.85
"88","2013-11-25",16.059999
"89","2013-11-26",17.23
"90","2013-11-27",17.76
"91","2013-11-29",17.549999
"92","2013-12-02",17.280001
"93","2013-12-03",17.82
"94","2013-12-04",18.01
"95","2013-12-05",18.040001
"96","2013-12-06",18.860001
"97","2013-12-09",19.110001
"98","2013-12-10",18.67
"99","2013-12-11",18.190001
"100","2013-12-12",19.42
"101","2013-12-13",19.57
"102","2013-12-16",24.049999
"103","2013-12-17",22.4
"104","2013-12-18",21.91
"105","2013-12-19",21.790001
"106","2013-12-20",21.77
"107","2013-12-23",22.84
"108","2013-12-24",23.08
"109","2013-12-26",24.32
"110","2013-12-27",24.5
"111","2013-12-30",24.440001
"112","2013-12-31",23.950001
"113","2014-01-02",24.02
"114","2014-01-03",22.969999
"115","2014-01-06",22.51
"116","2014-01-07",24
"117","2014-01-08",25.030001
"118","2014-01-09",26.639999
"119","2014-01-10",27.370001
"120","2014-01-13",30.360001
"121","2014-01-14",35.580002
"122","2014-01-15",42.189999
"123","2014-01-16",39.849998
"124","2014-01-17",35.93
"125","2014-01-21",32
"126","2014-01-22",29.860001
"127","2014-01-23",31.040001
"128","2014-01-24",28.34
"129","2014-01-27",27.43
"130","2014-01-28",28.120001
"131","2014-01-29",27.040001
"132","2014-01-30",28.34
"133","2014-01-31",26.450001
"134","2014-02-03",26.15
"135","2014-02-04",27.799999
"136","2014-02-05",26.940001
"137","2014-02-06",28.84
"138","2014-02-07",28.450001
"139","2014-02-10",31.33
"140","2014-02-11",31.34
"141","2014-02-12",31.190001
"142","2014-02-13",32.450001
"143","2014-02-14",32.02
"144","2014-02-18",34.459999
"145","2014-02-19",32.25
"146","2014-02-20",32.560001
"147","2014-02-21",31.969999
"148","2014-02-24",30.309999
"149","2014-02-25",30.190001
"150","2014-02-26",31.35
"151","2014-02-27",33.48
"152","2014-02-28",31.26
"153","2014-03-03",29.48
"154","2014-03-04",30.950001
"155","2014-03-05",31.639999
"156","2014-03-06",39.93
"157","2014-03-07",45.450001
"158","2014-03-10",46.740002
"159","2014-03-11",42.959999
"160","2014-03-12",43.439999
"161","2014-03-13",43.970001
"162","2014-03-14",43.400002
"163","2014-03-17",41.77
"164","2014-03-18",43.66
"165","2014-03-19",44.099998
"166","2014-03-20",45.700001
"167","2014-03-21",44.459999
"168","2014-03-24",37.470001
"169","2014-03-25",37.560001
"170","2014-03-26",36.240002
"171","2014-03-27",36.560001
"172","2014-03-28",37.02
"173","2014-03-31",39.150002
"174","2014-04-01",37.380001
"175","2014-04-02",36.580002
"176","2014-04-03",35.16
"177","2014-04-04",35.48
"178","2014-04-07",45.349998
"179","2014-04-08",46.900002
"180","2014-04-09",48.419998
"181","2014-04-10",44.84
"182","2014-04-11",43.32
"183","2014-04-14",43.900002
"184","2014-04-15",40
"185","2014-04-16",39.209999
"186","2014-04-17",40.669998
"187","2014-04-21",41.209999
"188","2014-04-22",47.540001
"189","2014-04-23",46.34
"190","2014-04-24",43.580002
"191","2014-04-25",41.02
"192","2014-04-28",39.560001
"193","2014-04-29",41.330002
"194","2014-04-30",42.060001
"195","2014-05-01",43.919998
"196","2014-05-02",43.279999
"197","2014-05-05",43.810001
"198","2014-05-06",42.400002
"199","2014-05-07",40.779999
"200","2014-05-08",36.790001
"201","2014-05-09",36.580002
"202","2014-05-12",35.540001
"203","2014-05-13",32.889999
"204","2014-05-14",35.970001
"205","2014-05-15",33.18
"206","2014-05-16",33.23
"207","2014-05-19",34.110001
"208","2014-05-20",31.860001
"209","2014-05-21",32.66
"210","2014-05-22",33.52
"211","2014-05-23",33.889999
"212","2014-05-27",36.139999
"213","2014-05-28",34.549999
"214","2014-05-29",35.639999
"215","2014-05-30",35.16
"216","2014-06-02",33.849998
"217","2014-06-03",36.759998
"218","2014-06-04",38.470001
"219","2014-06-05",40.849998
"220","2014-06-06",42.790001
"221","2014-06-09",42.619999
"222","2014-06-10",43.990002
"223","2014-06-11",44.040001
"224","2014-06-12",44.84
"225","2014-06-13",47.5
"226","2014-06-16",47.27
