"","date","FORR"
"1","2007-01-03",27.34
"2","2007-01-04",28.799999
"3","2007-01-05",28.190001
"4","2007-01-08",28.52
"5","2007-01-09",28.719999
"6","2007-01-10",28.15
"7","2007-01-11",28.889999
"8","2007-01-12",28.790001
"9","2007-01-16",28.32
"10","2007-01-17",28.059999
"11","2007-01-18",27.639999
"12","2007-01-19",27.66
"13","2007-01-22",27.74
"14","2007-01-23",28.24
"15","2007-01-24",29.209999
"16","2007-01-25",27.950001
"17","2007-01-26",28.15
"18","2007-01-29",28.51
"19","2007-01-30",28.969999
"20","2007-01-31",28.16
"21","2007-02-01",28.110001
"22","2007-02-02",28.65
"23","2007-02-05",27.360001
"24","2007-02-06",27.32
"25","2007-02-07",27.43
"26","2007-02-08",26.889999
"27","2007-02-09",26.5
"28","2007-02-12",26.51
"29","2007-02-13",27.26
"30","2007-02-14",25.790001
"31","2007-02-15",26.139999
"32","2007-02-16",26.51
"33","2007-02-20",28.15
"34","2007-02-21",28.030001
"35","2007-02-22",28.01
"36","2007-02-23",27.5
"37","2007-02-26",27.49
"38","2007-02-27",27.33
"39","2007-02-28",26.83
"40","2007-03-01",26.610001
"41","2007-03-02",26.299999
"42","2007-03-05",26.110001
"43","2007-03-06",26.309999
"44","2007-03-07",26.139999
"45","2007-03-08",26.120001
"46","2007-03-09",26.690001
"47","2007-03-12",27.35
"48","2007-03-13",26.120001
"49","2007-03-14",26.190001
"50","2007-03-15",26.370001
"51","2007-03-16",26.67
"52","2007-03-19",27.27
"53","2007-03-20",27.52
"54","2007-03-21",28.200001
"55","2007-03-22",27.77
"56","2007-03-23",27.99
"57","2007-03-26",28.34
"58","2007-03-27",27.84
"59","2007-03-28",27.57
"60","2007-03-29",28.58
"61","2007-03-30",28.360001
"62","2007-04-02",28.620001
"63","2007-04-03",28.879999
"64","2007-04-04",28.959999
"65","2007-04-05",28.4
"66","2007-04-09",28.459999
"67","2007-04-10",28.77
"68","2007-04-11",28.639999
"69","2007-04-12",28.75
"70","2007-04-13",28.43
"71","2007-04-16",29.51
"72","2007-04-17",29.309999
"73","2007-04-18",28.25
"74","2007-04-19",27.6
"75","2007-04-20",28.610001
"76","2007-04-23",28.200001
"77","2007-04-24",28.030001
"78","2007-04-25",27.809999
"79","2007-04-26",26.83
"80","2007-04-27",28.040001
"81","2007-04-30",25.780001
"82","2007-05-01",26.93
"83","2007-05-02",28.120001
"84","2007-05-03",28.459999
"85","2007-05-04",29.1
"86","2007-05-07",29.5
"87","2007-05-08",30.51
"88","2007-05-09",31.01
"89","2007-05-10",30.6
