"","date","MANU"
"1","2012-08-10",14
"2","2012-08-13",14.15
"3","2012-08-14",14.2
"4","2012-08-15",14.05
"5","2012-08-16",13.77
"6","2012-08-17",13.42
"7","2012-08-20",13.06
"8","2012-08-21",13.19
"9","2012-08-22",13.13
"10","2012-08-23",13.25
"11","2012-08-24",13.26
"12","2012-08-27",13.83
"13","2012-08-28",13.53
"14","2012-08-29",13.57
"15","2012-08-30",13.41
"16","2012-08-31",13.3
"17","2012-09-04",13.19
"18","2012-09-05",12.9
"19","2012-09-06",12.88
"20","2012-09-07",12.6
"21","2012-09-10",12.49
"22","2012-09-11",12.31
"23","2012-09-12",12.18
"24","2012-09-13",12.39
"25","2012-09-14",12.45
"26","2012-09-17",12.96
"27","2012-09-18",12.58
"28","2012-09-19",12.47
"29","2012-09-20",12.41
"30","2012-09-21",12.72
"31","2012-09-24",13.37
"32","2012-09-25",13.38
"33","2012-09-26",13.25
"34","2012-09-27",13.26
"35","2012-09-28",12.73
"36","2012-10-01",12.55
"37","2012-10-02",12.56
"38","2012-10-03",13.05
"39","2012-10-04",13
"40","2012-10-05",12.98
"41","2012-10-08",13
"42","2012-10-09",13.36
"43","2012-10-10",13.25
"44","2012-10-11",12.86
"45","2012-10-12",12.88
"46","2012-10-15",12.63
"47","2012-10-16",12.5
"48","2012-10-17",12.26
"49","2012-10-18",12.28
"50","2012-10-19",12.25
"51","2012-10-22",12.38
"52","2012-10-23",12.25
"53","2012-10-24",12.3
"54","2012-10-25",12.43
"55","2012-10-26",12.44
"56","2012-10-31",12.59
"57","2012-11-01",12.85
"58","2012-11-02",12.39
"59","2012-11-05",12.38
"60","2012-11-06",12.75
"61","2012-11-07",12.54
"62","2012-11-08",12.81
"63","2012-11-09",12.79
"64","2012-11-12",12.8
"65","2012-11-13",12.98
"66","2012-11-14",12.97
"67","2012-11-15",12.7
"68","2012-11-16",12.94
"69","2012-11-19",13.02
"70","2012-11-20",13.24
"71","2012-11-21",13.15
"72","2012-11-23",13.13
"73","2012-11-26",13.3
"74","2012-11-27",13.26
"75","2012-11-28",13.3
"76","2012-11-29",13.07
"77","2012-11-30",13.33
"78","2012-12-03",13.33
"79","2012-12-04",13.34
"80","2012-12-05",13.35
"81","2012-12-06",13.33
"82","2012-12-07",13.7
"83","2012-12-10",13.63
"84","2012-12-11",13.89
