"","date","PHM"
"1","2007-01-03",32.369999
"2","2007-01-04",31.91
"3","2007-01-05",31.940001
"4","2007-01-08",31.469999
"5","2007-01-09",31.309999
"6","2007-01-10",31.370001
"7","2007-01-11",31.870001
"8","2007-01-12",32.060001
"9","2007-01-16",31.5
"10","2007-01-17",32.810001
"11","2007-01-18",32.900002
"12","2007-01-19",33.959999
"13","2007-01-22",33.639999
"14","2007-01-23",34.150002
"15","2007-01-24",34.200001
"16","2007-01-25",33.07
"17","2007-01-26",32.540001
"18","2007-01-29",32.790001
"19","2007-01-30",32.790001
"20","2007-01-31",34.34
"21","2007-02-01",33.919998
"22","2007-02-02",35.099998
"23","2007-02-05",34.400002
"24","2007-02-06",34.200001
"25","2007-02-07",33.810001
"26","2007-02-08",33.009998
"27","2007-02-09",32.200001
"28","2007-02-12",31.879999
"29","2007-02-13",32.189999
"30","2007-02-14",32.34
"31","2007-02-15",32.59
"32","2007-02-16",32.34
"33","2007-02-20",32.43
"34","2007-02-21",31.940001
"35","2007-02-22",31.59
"36","2007-02-23",31.18
"37","2007-02-26",31.219999
"38","2007-02-27",29.93
"39","2007-02-28",29.559999
"40","2007-03-01",30.049999
"41","2007-03-02",29.5
"42","2007-03-05",28.4
"43","2007-03-06",28.75
"44","2007-03-07",28.57
"45","2007-03-08",28.98
"46","2007-03-09",28.76
"47","2007-03-12",27.379999
"48","2007-03-13",25.99
"49","2007-03-14",26.52
"50","2007-03-15",26.629999
"51","2007-03-16",26.309999
"52","2007-03-19",26.43
"53","2007-03-20",26.620001
"54","2007-03-21",27.75
"55","2007-03-22",27.49
"56","2007-03-23",27.559999
"57","2007-03-26",27.25
"58","2007-03-27",26.790001
"59","2007-03-28",26.030001
"60","2007-03-29",26.440001
"61","2007-03-30",26.459999
"62","2007-04-02",26.33
"63","2007-04-03",26.75
"64","2007-04-04",26.530001
"65","2007-04-05",26.950001
"66","2007-04-09",26.9
"67","2007-04-10",26.25
"68","2007-04-11",25.57
"69","2007-04-12",26.219999
"70","2007-04-13",25.76
"71","2007-04-16",26.1
"72","2007-04-17",26.68
"73","2007-04-18",27.950001
"74","2007-04-19",27.68
"75","2007-04-20",28.4
"76","2007-04-23",27.959999
"77","2007-04-24",27.82
"78","2007-04-25",27.9
"79","2007-04-26",28.82
"80","2007-04-27",27.959999
"81","2007-04-30",26.9
"82","2007-05-01",27
"83","2007-05-02",26.91
"84","2007-05-03",26.959999
"85","2007-05-04",26.370001
"86","2007-05-07",26.049999
"87","2007-05-08",26.15
"88","2007-05-09",26.059999
"89","2007-05-10",25.610001
"90","2007-05-11",25.889999
"91","2007-05-14",25.57
"92","2007-05-15",25.51
"93","2007-05-16",25.709999
"94","2007-05-17",26.1
"95","2007-05-18",26.040001
"96","2007-05-21",26.57
"97","2007-05-22",27.5
"98","2007-05-23",27.18
"99","2007-05-24",27.559999
"100","2007-05-25",27.48
"101","2007-05-29",27.450001
"102","2007-05-30",27.43
"103","2007-05-31",27.290001
"104","2007-06-01",27.049999
"105","2007-06-04",27.610001
"106","2007-06-05",27.120001
"107","2007-06-06",26.370001
"108","2007-06-07",25.040001
"109","2007-06-08",25.85
"110","2007-06-11",25.389999
