"","date","KIN"
"1","2013-12-12",11.95
"2","2013-12-13",12.2
"3","2013-12-16",12
"4","2013-12-17",12.12
"5","2013-12-18",11.93
"6","2013-12-19",12.32
"7","2013-12-20",12.37
"8","2013-12-23",12.28
"9","2013-12-24",12.15
"10","2013-12-26",11.85
"11","2013-12-27",11.61
"12","2013-12-30",11
"13","2013-12-31",11.17
"14","2014-01-02",10.95
"15","2014-01-03",10.79
"16","2014-01-06",10.39
"17","2014-01-07",10.7
"18","2014-01-08",10.63
"19","2014-01-09",11.14
"20","2014-01-10",12.75
"21","2014-01-13",13.3
"22","2014-01-14",13.41
"23","2014-01-15",15.56
"24","2014-01-16",16.049999
"25","2014-01-17",15.77
"26","2014-01-21",16.129999
"27","2014-01-22",16.43
"28","2014-01-23",16.110001
"29","2014-01-24",15.3
"30","2014-01-27",14.66
"31","2014-01-28",15.68
"32","2014-01-29",15.83
"33","2014-01-30",16.5
"34","2014-01-31",15.53
"35","2014-02-03",15.41
"36","2014-02-04",16.52
"37","2014-02-05",16.58
"38","2014-02-06",16.48
"39","2014-02-07",17.26
"40","2014-02-10",19.629999
"41","2014-02-11",19.5
"42","2014-02-12",19.32
"43","2014-02-13",19.299999
"44","2014-02-14",19.23
"45","2014-02-18",19.200001
"46","2014-02-19",19.360001
"47","2014-02-20",20.290001
"48","2014-02-21",21.42
"49","2014-02-24",22.120001
"50","2014-02-25",24.940001
"51","2014-02-26",26.5
"52","2014-02-27",26.4
"53","2014-02-28",22.559999
"54","2014-03-03",25.09
"55","2014-03-04",25.42
"56","2014-03-05",25
"57","2014-03-06",24.58
"58","2014-03-07",24.58
"59","2014-03-10",24.4
"60","2014-03-11",24.32
"61","2014-03-12",25.09
"62","2014-03-13",24.719999
"63","2014-03-14",24.24
"64","2014-03-17",24.280001
"65","2014-03-18",25.01
"66","2014-03-19",24.459999
"67","2014-03-20",23.309999
"68","2014-03-21",21.48
"69","2014-03-24",22.18
"70","2014-03-25",21.309999
"71","2014-03-26",20.620001
"72","2014-03-27",19.790001
"73","2014-03-28",18.91
"74","2014-03-31",18.530001
"75","2014-04-01",20.48
"76","2014-04-02",19.959999
"77","2014-04-03",18.17
"78","2014-04-04",18.940001
"79","2014-04-07",17.440001
"80","2014-04-08",17.799999
"81","2014-04-09",17.85
"82","2014-04-10",15.45
"83","2014-04-11",14.66
"84","2014-04-14",16.389999
"85","2014-04-15",16.440001
"86","2014-04-16",16.17
"87","2014-04-17",15.69
"88","2014-04-21",16.389999
"89","2014-04-22",17.719999
"90","2014-04-23",17.049999
"91","2014-04-24",17.280001
"92","2014-04-25",16.57
"93","2014-04-28",15.38
"94","2014-04-29",15.33
