"","date","NOVS"
"1","2020-06-12",10.01
"2","2020-06-15",10.1
"3","2020-06-16",9.7
"4","2020-06-17",9.7
"5","2020-06-18",9.75
"6","2020-06-19",9.88
"7","2020-06-22",9.73
"8","2020-06-23",9.78
"9","2020-06-24",9.75
"10","2020-06-25",9.77
"11","2020-06-26",9.85
"12","2020-06-29",9.9
"13","2020-06-30",9.81
"14","2020-07-01",9.84
"15","2020-07-02",9.82
"16","2020-07-06",9.82
"17","2020-07-07",9.8
"18","2020-07-08",9.8
"19","2020-07-09",9.9
"20","2020-07-10",9.94
"21","2020-07-13",9.93
"22","2020-07-14",10
"23","2020-07-15",9.97
"24","2020-07-16",10.07
"25","2020-07-17",10.015
"26","2020-07-20",9.99
"27","2020-07-21",9.99
"28","2020-07-22",9.99
"29","2020-07-23",9.98
"30","2020-07-24",10
"31","2020-07-27",9.98
"32","2020-07-28",9.97
"33","2020-07-29",9.95
"34","2020-07-30",9.96
"35","2020-07-31",9.936
"36","2020-08-03",9.93
"37","2020-08-04",9.97
"38","2020-08-05",9.915
"39","2020-08-06",9.97
"40","2020-08-07",9.97
"41","2020-08-10",9.97
"42","2020-08-11",9.93
"43","2020-08-12",9.9
"44","2020-08-13",9.95
"45","2020-08-14",9.91
"46","2020-08-17",9.9
"47","2020-08-18",9.91
"48","2020-08-19",9.925
"49","2020-08-20",9.9
"50","2020-08-21",9.85
"51","2020-08-24",9.98
"52","2020-08-25",9.85
"53","2020-08-26",9.9
"54","2020-08-27",9.855
"55","2020-08-28",9.9
"56","2020-08-31",9.86
"57","2020-09-01",9.9
"58","2020-09-02",9.9
"59","2020-09-03",9.86
"60","2020-09-04",9.97
"61","2020-09-08",9.87
"62","2020-09-09",9.82
"63","2020-09-10",9.93
"64","2020-09-11",9.88
"65","2020-09-14",9.91
"66","2020-09-15",9.85
"67","2020-09-16",9.925
"68","2020-09-17",9.98
"69","2020-09-18",10.07
"70","2020-09-21",10.03
"71","2020-09-22",10.03
"72","2020-09-23",10.055
"73","2020-09-24",9.93
"74","2020-09-25",10.03
"75","2020-09-28",10.08
"76","2020-09-29",12.18
"77","2020-09-30",11.75
"78","2020-10-01",11.8
"79","2020-10-02",11.35
"80","2020-10-05",10.75
"81","2020-10-06",10.35
"82","2020-10-07",10.44
"83","2020-10-08",10.4
"84","2020-10-09",10.52
"85","2020-10-12",10.32
"86","2020-10-13",10.21
"87","2020-10-14",10.43
"88","2020-10-15",10.4
"89","2020-10-16",10.66
"90","2020-10-19",10.8
"91","2020-10-20",10.95
"92","2020-10-21",11.01
"93","2020-10-22",11.17
"94","2020-10-23",11.5
"95","2020-10-26",11.4
"96","2020-10-27",11.53
"97","2020-10-28",11.33
"98","2020-10-29",11.15
"99","2020-10-30",11.105
"100","2020-11-02",10.81
"101","2020-11-03",11.19
"102","2020-11-04",11.21
"103","2020-11-05",11.21
"104","2020-11-06",11.04
"105","2020-11-09",11.03
"106","2020-11-10",11.02
"107","2020-11-11",10.9
"108","2020-11-12",10.85
"109","2020-11-13",10.65
"110","2020-11-16",11.09
"111","2020-11-17",11.06
"112","2020-11-18",11.33
"113","2020-11-19",11.97
"114","2020-11-20",11.84
"115","2020-11-23",11.89
"116","2020-11-24",11.98
"117","2020-11-25",11.92
"118","2020-11-27",11.88
