"","date","ARTW"
"1","2007-01-03",3.225
"2","2007-01-04",3.16
"3","2007-01-05",3.27
"4","2007-01-08",3.27
"5","2007-01-09",3.275
"6","2007-01-10",3.7
"7","2007-01-11",3.55
"8","2007-01-12",3.55
"9","2007-01-16",3.52
"10","2007-01-17",3.525
"11","2007-01-18",3.525
"12","2007-01-19",3.35
"13","2007-01-22",3.505
"14","2007-01-23",3.405
"15","2007-01-24",3.325
"16","2007-01-25",3.425
"17","2007-01-26",3.37
"18","2007-01-29",3.5
"19","2007-01-30",3.355
"20","2007-01-31",3.435
"21","2007-02-01",3.45
"22","2007-02-02",3.455
"23","2007-02-05",3.44
"24","2007-02-06",3.51
"25","2007-02-07",3.48
"26","2007-02-08",3.575
"27","2007-02-09",3.5
"28","2007-02-12",3.585
"29","2007-02-13",3.585
"30","2007-02-14",3.595
"31","2007-02-15",3.64
"32","2007-02-16",3.85
"33","2007-02-20",3.95
"34","2007-02-21",4.05
"35","2007-02-22",4.1
"36","2007-02-23",4.07
"37","2007-02-26",4
"38","2007-02-27",3.95
"39","2007-02-28",3.95
"40","2007-03-01",4.075
"41","2007-03-02",3.94
"42","2007-03-05",4.075
"43","2007-03-06",4.08
"44","2007-03-07",3.93
"45","2007-03-08",3.955
"46","2007-03-09",3.975
"47","2007-03-12",4.05
"48","2007-03-13",3.925
"49","2007-03-14",3.965
"50","2007-03-15",3.76
"51","2007-03-16",3.665
"52","2007-03-19",3.89
"53","2007-03-20",3.89
"54","2007-03-21",3.925
"55","2007-03-22",3.87
"56","2007-03-23",3.785
"57","2007-03-26",3.705
"58","2007-03-27",3.7
"59","2007-03-28",3.855
"60","2007-03-29",3.68
"61","2007-03-30",3.945
"62","2007-04-02",3.68
"63","2007-04-03",3.8
"64","2007-04-04",3.755
"65","2007-04-05",3.83
"66","2007-04-09",3.8
"67","2007-04-10",3.735
"68","2007-04-11",3.75
"69","2007-04-12",3.75
"70","2007-04-13",3.795
"71","2007-04-16",3.61
"72","2007-04-17",3.625
"73","2007-04-18",3.75
"74","2007-04-19",3.945
"75","2007-04-20",3.785
"76","2007-04-23",3.725
"77","2007-04-24",3.8
"78","2007-04-25",3.635
"79","2007-04-26",3.75
"80","2007-04-27",3.84
"81","2007-04-30",3.775
"82","2007-05-01",3.82
"83","2007-05-02",3.97
"84","2007-05-03",3.845
"85","2007-05-04",3.76
"86","2007-05-07",3.8
"87","2007-05-08",3.795
"88","2007-05-09",3.89
"89","2007-05-10",3.775
"90","2007-05-11",3.79
"91","2007-05-14",3.885
"92","2007-05-15",3.805
"93","2007-05-16",3.925
"94","2007-05-17",3.95
"95","2007-05-18",3.96
"96","2007-05-21",4
"97","2007-05-22",4.22
"98","2007-05-23",4.31
"99","2007-05-24",4.375
"100","2007-05-25",4.49
"101","2007-05-29",4.75
"102","2007-05-30",4.53
"103","2007-05-31",4.52
"104","2007-06-01",4.515
"105","2007-06-04",4.495
"106","2007-06-05",4.48
"107","2007-06-06",4.35
"108","2007-06-07",4.475
"109","2007-06-08",4.5
"110","2007-06-11",4.55
"111","2007-06-12",4.55
"112","2007-06-13",4.665
"113","2007-06-14",4.6
"114","2007-06-15",4.485
"115","2007-06-18",4.59
"116","2007-06-19",4.51
"117","2007-06-20",4.55
"118","2007-06-21",4.725
"119","2007-06-22",4.575
"120","2007-06-25",4.515
"121","2007-06-26",4.575
"122","2007-06-27",4.63
"123","2007-06-28",4.66
"124","2007-06-29",4.99
"125","2007-07-02",5.13
"126","2007-07-03",5.37
"127","2007-07-05",5.92
"128","2007-07-06",6
"129","2007-07-09",5.9
"130","2007-07-10",5.66
"131","2007-07-11",5.725
"132","2007-07-12",5.75
"133","2007-07-13",6.065
"134","2007-07-16",8.965
"135","2007-07-17",8.62
"136","2007-07-18",8.45
"137","2007-07-19",8.95
"138","2007-07-20",8.75
"139","2007-07-23",8.45
"140","2007-07-24",8
"141","2007-07-25",7.36
"142","2007-07-26",6.915
"143","2007-07-27",6.95
"144","2007-07-30",7.58
"145","2007-07-31",7.325
"146","2007-08-01",7.205
"147","2007-08-02",7.14
"148","2007-08-03",7.215
"149","2007-08-06",7.085
"150","2007-08-07",7.215
"151","2007-08-08",7.765
"152","2007-08-09",7.43
"153","2007-08-10",6.925
"154","2007-08-13",7.065
"155","2007-08-14",6.895
"156","2007-08-15",6.925
"157","2007-08-16",6.75
"158","2007-08-17",6.965
"159","2007-08-20",7.46
"160","2007-08-21",8.075
"161","2007-08-22",9.575
"162","2007-08-23",9.165
"163","2007-08-24",8.51
"164","2007-08-27",8.32
"165","2007-08-28",7.95
"166","2007-08-29",8.165
"167","2007-08-30",8.035
"168","2007-08-31",8.25
"169","2007-09-04",8.575
"170","2007-09-05",8.78
"171","2007-09-06",8.79
"172","2007-09-07",8.575
"173","2007-09-10",8.41
"174","2007-09-11",8.275
"175","2007-09-12",8.05
"176","2007-09-13",8.41
"177","2007-09-14",8.11
"178","2007-09-17",8.7
"179","2007-09-18",9.05
"180","2007-09-19",9.6
"181","2007-09-20",9.9
"182","2007-09-21",10.7
"183","2007-09-24",10.3
"184","2007-09-25",10.675
"185","2007-09-26",9.85
"186","2007-09-27",10.49
"187","2007-09-28",10.23
"188","2007-10-01",10.625
"189","2007-10-02",10.07
"190","2007-10-03",9.85
"191","2007-10-04",9.415
"192","2007-10-05",9.39
"193","2007-10-08",9.725
"194","2007-10-09",9.985
"195","2007-10-10",13.3
"196","2007-10-11",12.27
"197","2007-10-12",12.2
"198","2007-10-15",12.415
"199","2007-10-16",12
"200","2007-10-17",11.595
"201","2007-10-18",12.06
"202","2007-10-19",11.26
"203","2007-10-22",10.655
"204","2007-10-23",10.73
"205","2007-10-24",11.65
"206","2007-10-25",11.74
"207","2007-10-26",11.67
"208","2007-10-29",11.45
"209","2007-10-30",11.525
"210","2007-10-31",12.5
"211","2007-11-01",12.605
"212","2007-11-02",12.85
"213","2007-11-05",12.5
"214","2007-11-06",12.5
"215","2007-11-07",11.74
"216","2007-11-08",11.775
"217","2007-11-09",11.35
"218","2007-11-12",10.07
"219","2007-11-13",10.25
"220","2007-11-14",10.475
"221","2007-11-15",10.495
"222","2007-11-16",10.5
"223","2007-11-19",9.665
"224","2007-11-20",9.985
"225","2007-11-21",9.825
"226","2007-11-23",10
"227","2007-11-26",9.98
"228","2007-11-27",10.1
"229","2007-11-28",10.125
"230","2007-11-29",10.55
"231","2007-11-30",11.8
"232","2007-12-03",12.255
"233","2007-12-04",12.49
"234","2007-12-05",13.11
"235","2007-12-06",13.99
"236","2007-12-07",15.3
"237","2007-12-10",16.85
"238","2007-12-11",16.655001
"239","2007-12-12",19
"240","2007-12-13",17.615
"241","2007-12-14",16.200001
"242","2007-12-17",13.725
"243","2007-12-18",14.13
"244","2007-12-19",14.775
"245","2007-12-20",14.445
"246","2007-12-21",15.825
"247","2007-12-24",16.105
"248","2007-12-26",15.98
"249","2007-12-27",14.45
"250","2007-12-28",14.815
"251","2007-12-31",14.345
"252","2008-01-02",13.76
"253","2008-01-03",15.13
"254","2008-01-04",14.9
"255","2008-01-07",14.405
"256","2008-01-08",14.365
"257","2008-01-09",14.73
"258","2008-01-10",14.18
"259","2008-01-11",14.53
"260","2008-01-14",16.25
"261","2008-01-15",15.45
"262","2008-01-16",14.44
"263","2008-01-17",11.645
"264","2008-01-18",10.835
"265","2008-01-22",11.66
"266","2008-01-23",11.425
"267","2008-01-24",12.2
"268","2008-01-25",11.705
"269","2008-01-28",12.325
"270","2008-01-29",11.77
"271","2008-01-30",12.325
