"","date","IMNM"
"1","2020-10-02",13.45
"2","2020-10-05",12.1
"3","2020-10-06",13.24
"4","2020-10-07",14.01
"5","2020-10-08",14.16
"6","2020-10-09",13.907
"7","2020-10-12",13.75
"8","2020-10-13",13.95
"9","2020-10-14",13.9
"10","2020-10-15",13.409
"11","2020-10-16",13.76
"12","2020-10-19",12.99
"13","2020-10-20",12.55
"14","2020-10-21",12.15
"15","2020-10-22",11.84
"16","2020-10-23",11.74
"17","2020-10-26",12.2
"18","2020-10-27",12.5
"19","2020-10-28",11.5
"20","2020-10-29",11.55
"21","2020-10-30",11.35
"22","2020-11-02",10.98
"23","2020-11-03",11.38
"24","2020-11-04",11.6
"25","2020-11-05",12.05
"26","2020-11-06",11.6
"27","2020-11-09",11.4
"28","2020-11-10",10.92
"29","2020-11-11",11.37
"30","2020-11-12",10.94
"31","2020-11-13",11.46
"32","2020-11-16",11.43
"33","2020-11-17",11.45
"34","2020-11-18",10.8
"35","2020-11-19",11.1
"36","2020-11-20",10.7
"37","2020-11-23",10.6
"38","2020-11-24",10.28
"39","2020-11-25",10.41
"40","2020-11-27",10.95
