"","date","FLXN"
"1","2014-02-12",14.71
"2","2014-02-13",14.65
"3","2014-02-14",15.06
"4","2014-02-18",15.06
"5","2014-02-19",14.88
"6","2014-02-20",14.9
"7","2014-02-21",15.43
"8","2014-02-24",15.2
"9","2014-02-25",16
"10","2014-02-26",16.01
"11","2014-02-27",16.450001
"12","2014-02-28",18.4
"13","2014-03-03",17.610001
"14","2014-03-04",18.040001
"15","2014-03-05",19.209999
"16","2014-03-06",19.34
"17","2014-03-07",19.26
"18","2014-03-10",19.219999
"19","2014-03-11",19.290001
"20","2014-03-12",19.700001
"21","2014-03-13",19.75
"22","2014-03-14",18.51
"23","2014-03-17",18.16
"24","2014-03-18",18.98
"25","2014-03-19",19.42
"26","2014-03-20",19.5
"27","2014-03-21",18.59
"28","2014-03-24",17.959999
"29","2014-03-25",16.73
"30","2014-03-26",16.43
"31","2014-03-27",15.76
"32","2014-03-28",15.81
"33","2014-03-31",16.450001
"34","2014-04-01",16.93
"35","2014-04-02",17.4
"36","2014-04-03",17.629999
"37","2014-04-04",17.940001
"38","2014-04-07",17.25
"39","2014-04-08",17.120001
"40","2014-04-09",16.98
"41","2014-04-10",16.65
"42","2014-04-11",15.15
"43","2014-04-14",16.15
"44","2014-04-15",15.08
"45","2014-04-16",14.66
"46","2014-04-17",14.53
"47","2014-04-21",14.49
"48","2014-04-22",14.75
"49","2014-04-23",13.57
"50","2014-04-24",13.38
"51","2014-04-25",13.1
"52","2014-04-28",12.72
"53","2014-04-29",12.6
"54","2014-04-30",11.85
"55","2014-05-01",11.86
"56","2014-05-02",11.88
"57","2014-05-05",12.43
"58","2014-05-06",12.14
"59","2014-05-07",12.81
"60","2014-05-08",12.39
"61","2014-05-09",12.24
"62","2014-05-12",12.41
"63","2014-05-13",12.47
"64","2014-05-14",12.45
"65","2014-05-15",12.86
"66","2014-05-16",12.6
"67","2014-05-19",12.65
"68","2014-05-20",12.64
"69","2014-05-21",12.56
"70","2014-05-22",12.53
"71","2014-05-23",12.66
"72","2014-05-27",12.99
"73","2014-05-28",12.6
"74","2014-05-29",12.54
"75","2014-05-30",12.74
"76","2014-06-02",12.63
"77","2014-06-03",12.54
"78","2014-06-04",12.58
"79","2014-06-05",12.48
"80","2014-06-06",12.45
"81","2014-06-09",12.55
"82","2014-06-10",12.59
"83","2014-06-11",12.72
"84","2014-06-12",12.81
"85","2014-06-13",12.95
"86","2014-06-16",13.03
"87","2014-06-17",12.88
"88","2014-06-18",14.91
"89","2014-06-19",14.06
"90","2014-06-20",13.88
"91","2014-06-23",14.04
"92","2014-06-24",13.55
"93","2014-06-25",13.33
"94","2014-06-26",13.2
"95","2014-06-27",13.76
"96","2014-06-30",13.48
"97","2014-07-01",14.01
"98","2014-07-02",14.02
"99","2014-07-03",14.37
"100","2014-07-07",13.66
"101","2014-07-08",13.35
"102","2014-07-09",13.32
"103","2014-07-10",13.27
"104","2014-07-11",13.62
"105","2014-07-14",13.74
"106","2014-07-15",13.53
"107","2014-07-16",13.22
"108","2014-07-17",12.22
"109","2014-07-18",12.3
"110","2014-07-21",12.18
"111","2014-07-22",12.44
"112","2014-07-23",12.47
"113","2014-07-24",12.69
"114","2014-07-25",12.39
"115","2014-07-28",12.22
"116","2014-07-29",12.18
"117","2014-07-30",12.26
"118","2014-07-31",12.28
"119","2014-08-01",12.1
"120","2014-08-04",12
"121","2014-08-05",12.55
"122","2014-08-06",12.81
"123","2014-08-07",12.65
"124","2014-08-08",12.95
"125","2014-08-11",12.96
"126","2014-08-12",12.96
"127","2014-08-13",13.37
"128","2014-08-14",13.94
"129","2014-08-15",13.54
"130","2014-08-18",14.27
"131","2014-08-19",13.89
"132","2014-08-20",13.86
"133","2014-08-21",13.4
"134","2014-08-22",12.89
"135","2014-08-25",12.61
"136","2014-08-26",13.12
"137","2014-08-27",13.84
"138","2014-08-28",13.8
"139","2014-08-29",13.72
"140","2014-09-02",13.15
"141","2014-09-03",12.82
"142","2014-09-04",14.02
"143","2014-09-05",14.06
"144","2014-09-08",16.790001
"145","2014-09-09",17.27
"146","2014-09-10",20.35
"147","2014-09-11",19.24
"148","2014-09-12",19.99
"149","2014-09-15",18.75
"150","2014-09-16",19.610001
"151","2014-09-17",19.379999
"152","2014-09-18",18.48
"153","2014-09-19",17.889999
"154","2014-09-22",17.360001
"155","2014-09-23",16.610001
"156","2014-09-24",16.68
"157","2014-09-25",17.610001
"158","2014-09-26",17.34
"159","2014-09-29",17.940001
"160","2014-09-30",18.26
"161","2014-10-01",17.52
"162","2014-10-02",17.120001
"163","2014-10-03",17.26
"164","2014-10-06",17.129999
"165","2014-10-07",16.65
"166","2014-10-08",16.629999
"167","2014-10-09",15.1
"168","2014-10-10",14.93
"169","2014-10-13",15.41
"170","2014-10-14",15.29
"171","2014-10-15",15.66
"172","2014-10-16",16.17
"173","2014-10-17",16.299999
"174","2014-10-20",16.52
"175","2014-10-21",16.290001
"176","2014-10-22",16.940001
"177","2014-10-23",18.709999
"178","2014-10-24",18.610001
"179","2014-10-27",18.719999
"180","2014-10-28",19.9
"181","2014-10-29",19.620001
"182","2014-10-30",19.9
"183","2014-10-31",19.59
"184","2014-11-03",19.610001
"185","2014-11-04",19.27
"186","2014-11-05",19.4
"187","2014-11-06",19.030001
"188","2014-11-07",18.940001
"189","2014-11-10",18.870001
"190","2014-11-11",19.110001
"191","2014-11-12",19.120001
"192","2014-11-13",19
"193","2014-11-14",18.780001
"194","2014-11-17",17.99
"195","2014-11-18",17.26
"196","2014-11-19",17.139999
"197","2014-11-20",17.18
"198","2014-11-21",16.68
"199","2014-11-24",17.280001
"200","2014-11-25",17.15
"201","2014-11-26",17.66
"202","2014-11-28",17.15
"203","2014-12-01",16.25
"204","2014-12-02",16.85
"205","2014-12-03",16.889999
"206","2014-12-04",17.18
"207","2014-12-05",17.280001
"208","2014-12-08",16.9
"209","2014-12-09",17.83
"210","2014-12-10",18.059999
"211","2014-12-11",17.309999
"212","2014-12-12",18.91
"213","2014-12-15",18.85
"214","2014-12-16",18.99
"215","2014-12-17",20.940001
"216","2014-12-18",21.02
"217","2014-12-19",21.26
"218","2014-12-22",20.68
"219","2014-12-23",20.540001
"220","2014-12-24",20.559999
"221","2014-12-26",20.620001
"222","2014-12-29",19.99
"223","2014-12-30",20.16
"224","2014-12-31",20.190001
"225","2015-01-02",20.219999
"226","2015-01-05",20.48
"227","2015-01-06",21.93
"228","2015-01-07",22.540001
"229","2015-01-08",23.290001
"230","2015-01-09",23
"231","2015-01-12",23.190001
"232","2015-01-13",23.99
"233","2015-01-14",24.120001
"234","2015-01-15",22.84
"235","2015-01-16",22.52
"236","2015-01-20",23.049999
"237","2015-01-21",22.91
"238","2015-01-22",23.02
"239","2015-01-23",21.780001
"240","2015-01-26",22.530001
"241","2015-01-27",23.059999
"242","2015-01-28",21.74
"243","2015-01-29",21.66
"244","2015-01-30",20.59
"245","2015-02-02",21.219999
"246","2015-02-03",21.41
"247","2015-02-04",20.889999
"248","2015-02-05",21.51
"249","2015-02-06",21.15
"250","2015-02-09",20.73
"251","2015-02-10",20.59
"252","2015-02-11",20.450001
"253","2015-02-12",21.01
"254","2015-02-13",21.290001
"255","2015-02-17",22.530001
"256","2015-02-18",22.92
"257","2015-02-19",22.85
"258","2015-02-20",22.5
"259","2015-02-23",23.299999
"260","2015-02-24",22.82
"261","2015-02-25",22.950001
"262","2015-02-26",22.889999
"263","2015-02-27",22.809999
"264","2015-03-02",22.719999
"265","2015-03-03",23.15
"266","2015-03-04",25.379999
"267","2015-03-05",25.27
"268","2015-03-06",24.110001
"269","2015-03-09",24.700001
"270","2015-03-10",25.190001
"271","2015-03-11",25.209999
