"","date","FDUS"
"1","2011-06-21",15
"2","2011-06-22",14.91
"3","2011-06-23",14.83
"4","2011-06-24",14.82
"5","2011-06-27",14.85
"6","2011-06-28",14.94
"7","2011-06-29",14.88
"8","2011-06-30",14.81
"9","2011-07-01",15
"10","2011-07-05",14.75
"11","2011-07-06",14.75
"12","2011-07-07",14.91
"13","2011-07-08",14.88
"14","2011-07-11",14.87
"15","2011-07-12",14.64
"16","2011-07-13",14.61
"17","2011-07-14",14.6
"18","2011-07-15",14.35
"19","2011-07-18",14.09
"20","2011-07-19",14.39
"21","2011-07-20",14.04
"22","2011-07-21",13.93
"23","2011-07-22",14.36
"24","2011-07-25",13.91
"25","2011-07-26",14.13
"26","2011-07-27",13.89
"27","2011-07-28",13.87
"28","2011-07-29",13
"29","2011-08-01",13.55
"30","2011-08-02",13.5
"31","2011-08-03",13.3
"32","2011-08-04",12.7
"33","2011-08-05",12.77
"34","2011-08-08",13.01
"35","2011-08-09",12.75
"36","2011-08-10",12.52
"37","2011-08-11",12.61
"38","2011-08-12",12.76
"39","2011-08-15",13.04
"40","2011-08-16",13.25
"41","2011-08-17",13.1
"42","2011-08-18",12.25
"43","2011-08-19",12.29
"44","2011-08-22",12
"45","2011-08-23",12.89
"46","2011-08-24",12.9
"47","2011-08-25",12.84
"48","2011-08-26",12.84
"49","2011-08-29",13.08
"50","2011-08-30",13.41
"51","2011-08-31",13.23
"52","2011-09-01",13.62
"53","2011-09-02",13.12
"54","2011-09-06",13.49
"55","2011-09-07",13.57
"56","2011-09-08",13.45
"57","2011-09-09",13.35
"58","2011-09-12",12.47
"59","2011-09-13",12.83
"60","2011-09-14",12.51
"61","2011-09-15",12.94
"62","2011-09-16",12.41
"63","2011-09-19",12.65
"64","2011-09-20",12.86
"65","2011-09-21",12.32
"66","2011-09-22",11.33
"67","2011-09-23",11.51
"68","2011-09-26",12.25
"69","2011-09-27",13
"70","2011-09-28",12.68
"71","2011-09-29",12.05
"72","2011-09-30",12.59
"73","2011-10-03",11.73
"74","2011-10-04",12.83
"75","2011-10-05",13.24
"76","2011-10-06",13.11
"77","2011-10-07",12.9
"78","2011-10-10",13.08
"79","2011-10-11",13.14
"80","2011-10-12",13.15
"81","2011-10-13",13
"82","2011-10-14",12.99
"83","2011-10-17",12.46
"84","2011-10-18",13
"85","2011-10-19",11.91
"86","2011-10-20",12.04
"87","2011-10-21",11.95
"88","2011-10-24",12.44
"89","2011-10-25",11.89
"90","2011-10-26",11.95
"91","2011-10-27",12.91
"92","2011-10-28",12.95
"93","2011-10-31",13
"94","2011-11-01",12.29
"95","2011-11-02",12.64
"96","2011-11-03",12.8
"97","2011-11-04",12
"98","2011-11-07",12.28
"99","2011-11-08",12.61
"100","2011-11-09",11.92
"101","2011-11-10",12.28
"102","2011-11-11",12.93
"103","2011-11-14",12.2
"104","2011-11-15",12.23
"105","2011-11-16",12.21
"106","2011-11-17",12.11
"107","2011-11-18",12.07
"108","2011-11-21",12.02
"109","2011-11-22",12.01
"110","2011-11-23",12
"111","2011-11-25",12.04
"112","2011-11-28",12.3
"113","2011-11-29",12.05
"114","2011-11-30",12.5
"115","2011-12-01",12.31
"116","2011-12-02",12.39
"117","2011-12-05",12.36
"118","2011-12-06",12.19
"119","2011-12-07",12.47
"120","2011-12-08",12.17
"121","2011-12-09",12.9
"122","2011-12-12",12.82
"123","2011-12-13",12.57
"124","2011-12-14",12.99
"125","2011-12-15",13
"126","2011-12-16",12.99
"127","2011-12-19",12.27
"128","2011-12-20",13.35
"129","2011-12-21",13.48
"130","2011-12-22",13.52
"131","2011-12-23",13.04
"132","2011-12-27",13.25
"133","2011-12-28",12.79
"134","2011-12-29",12.64
"135","2011-12-30",12.97
"136","2012-01-03",12.85
"137","2012-01-04",12.94
"138","2012-01-05",13.27
"139","2012-01-06",13.49
"140","2012-01-09",13.56
"141","2012-01-10",13.56
"142","2012-01-11",13.49
"143","2012-01-12",13.41
"144","2012-01-13",13.33
"145","2012-01-17",13.41
"146","2012-01-18",13.56
"147","2012-01-19",13.53
"148","2012-01-20",14.07
"149","2012-01-23",14.06
"150","2012-01-24",13.93
"151","2012-01-25",14
"152","2012-01-26",14.03
"153","2012-01-27",13.2
"154","2012-01-30",13.41
"155","2012-01-31",13.67
"156","2012-02-01",13.56
"157","2012-02-02",13.38
"158","2012-02-03",13.79
"159","2012-02-06",13.71
"160","2012-02-07",13.79
"161","2012-02-08",13.57
"162","2012-02-09",13.57
"163","2012-02-10",13.53
"164","2012-02-13",14.29
"165","2012-02-14",13.79
"166","2012-02-15",13.64
"167","2012-02-16",13.94
"168","2012-02-17",14.2
"169","2012-02-21",14.21
"170","2012-02-22",14.17
"171","2012-02-23",14.38
"172","2012-02-24",14.26
"173","2012-02-27",14.18
"174","2012-02-28",14.24
"175","2012-02-29",14.19
"176","2012-03-01",14.13
"177","2012-03-02",13.9
"178","2012-03-05",14
"179","2012-03-06",13.5
"180","2012-03-07",13.75
"181","2012-03-08",13.74
"182","2012-03-09",13.94
"183","2012-03-12",13.76
"184","2012-03-13",13.89
"185","2012-03-14",13.76
"186","2012-03-15",13.52
"187","2012-03-16",13.51
"188","2012-03-19",13.7
"189","2012-03-20",12.99
"190","2012-03-21",13.26
"191","2012-03-22",13.18
"192","2012-03-23",13.08
"193","2012-03-26",13.54
"194","2012-03-27",13.47
"195","2012-03-28",13.93
"196","2012-03-29",13.58
"197","2012-03-30",14.01
"198","2012-04-02",13.94
"199","2012-04-03",13.72
"200","2012-04-04",13.5
"201","2012-04-05",13.52
"202","2012-04-09",13.68
"203","2012-04-10",13.45
"204","2012-04-11",13.66
"205","2012-04-12",13.82
"206","2012-04-13",13.37
"207","2012-04-16",13.53
"208","2012-04-17",13.51
"209","2012-04-18",13.49
"210","2012-04-19",13.43
"211","2012-04-20",13.5
"212","2012-04-23",13.37
"213","2012-04-24",13.65
"214","2012-04-25",13.62
"215","2012-04-26",13.76
"216","2012-04-27",13.96
"217","2012-04-30",13.56
"218","2012-05-01",13.48
"219","2012-05-02",13.54
"220","2012-05-03",13.49
"221","2012-05-04",13.52
"222","2012-05-07",13.67
"223","2012-05-08",13.87
"224","2012-05-09",13.61
"225","2012-05-10",13.59
"226","2012-05-11",13.55
"227","2012-05-14",13.5
"228","2012-05-15",13.57
"229","2012-05-16",13.6
"230","2012-05-17",13.59
"231","2012-05-18",13.22
"232","2012-05-21",13.72
"233","2012-05-22",13.53
"234","2012-05-23",13.69
"235","2012-05-24",13.63
"236","2012-05-25",13.64
"237","2012-05-29",13.75
"238","2012-05-30",13.65
"239","2012-05-31",13.75
"240","2012-06-01",13.7
"241","2012-06-04",13.56
"242","2012-06-05",13.71
"243","2012-06-06",14.23
"244","2012-06-07",14.49
"245","2012-06-08",14.38
"246","2012-06-11",14.21
"247","2012-06-12",14.45
"248","2012-06-13",14.39
"249","2012-06-14",14.46
"250","2012-06-15",14.62
"251","2012-06-18",14.44
"252","2012-06-19",14.52
"253","2012-06-20",14.5
"254","2012-06-21",14.46
"255","2012-06-22",14.65
"256","2012-06-25",14.52
"257","2012-06-26",14.42
"258","2012-06-27",14.84
"259","2012-06-28",14.96
"260","2012-06-29",15.17
"261","2012-07-02",15.22
"262","2012-07-03",15.21
"263","2012-07-05",15.02
"264","2012-07-06",15.07
"265","2012-07-09",15.2
"266","2012-07-10",15.27
"267","2012-07-11",15.04
"268","2012-07-12",15.09
"269","2012-07-13",15.24
"270","2012-07-16",15.1
"271","2012-07-17",15
"272","2012-07-18",15.05
"273","2012-07-19",14.97
"274","2012-07-20",14.99
"275","2012-07-23",14.89
"276","2012-07-24",15.16
"277","2012-07-25",15.39
"278","2012-07-26",15.65
"279","2012-07-27",15.75
"280","2012-07-30",15.34
"281","2012-07-31",15.28
"282","2012-08-01",15.28
"283","2012-08-02",15.16
"284","2012-08-03",15.33
"285","2012-08-06",15.21
"286","2012-08-07",15.25
"287","2012-08-08",15.56
"288","2012-08-09",15.7
"289","2012-08-10",15.72
"290","2012-08-13",15.85
"291","2012-08-14",15.99
"292","2012-08-15",15.94
"293","2012-08-16",16
"294","2012-08-17",16.1
"295","2012-08-20",16.040001
"296","2012-08-21",15.87
"297","2012-08-22",15.88
"298","2012-08-23",15.55
"299","2012-08-24",15.91
"300","2012-08-27",16.139999
"301","2012-08-28",16.219999
"302","2012-08-29",16
"303","2012-08-30",16.209999
"304","2012-08-31",16.35
"305","2012-09-04",16.48
"306","2012-09-05",16.540001
"307","2012-09-06",16.780001
"308","2012-09-07",16.1
"309","2012-09-10",16.120001
"310","2012-09-11",16.139999
"311","2012-09-12",16.25
"312","2012-09-13",16.370001
"313","2012-09-14",16.299999
"314","2012-09-17",16.370001
"315","2012-09-18",16.35
"316","2012-09-19",16.690001
"317","2012-09-20",16.559999
"318","2012-09-21",16.59
"319","2012-09-24",16.75
"320","2012-09-25",16.559999
"321","2012-09-26",16.34
"322","2012-09-27",16.549999
"323","2012-09-28",16.700001
"324","2012-10-01",16.99
"325","2012-10-02",16.84
"326","2012-10-03",16.870001
"327","2012-10-04",16.969999
"328","2012-10-05",16.969999
"329","2012-10-08",16.85
"330","2012-10-09",16.809999
"331","2012-10-10",16.76
"332","2012-10-11",16.889999
"333","2012-10-12",16.17
"334","2012-10-15",16.370001
"335","2012-10-16",16.5
"336","2012-10-17",16.52
"337","2012-10-18",16.4
"338","2012-10-19",16.4
"339","2012-10-22",16.360001
"340","2012-10-23",16.48
"341","2012-10-24",16.5
"342","2012-10-25",16.370001
"343","2012-10-26",16.530001
"344","2012-10-31",16.799999
"345","2012-11-01",16.860001
"346","2012-11-02",16.59
"347","2012-11-05",16.91
"348","2012-11-06",16.58
"349","2012-11-07",15.44
"350","2012-11-08",15.33
"351","2012-11-09",15.49
"352","2012-11-12",16
"353","2012-11-13",15.9
"354","2012-11-14",14.55
"355","2012-11-15",15.42
"356","2012-11-16",16.26
"357","2012-11-19",16.290001
"358","2012-11-20",16.35
"359","2012-11-21",16.59
"360","2012-11-23",16.549999
"361","2012-11-26",16.450001
"362","2012-11-27",16.530001
"363","2012-11-28",16.620001
"364","2012-11-29",16.67
"365","2012-11-30",17
"366","2012-12-03",16.84
"367","2012-12-04",16.5
"368","2012-12-05",15.68
"369","2012-12-06",15.66
"370","2012-12-07",15.73
"371","2012-12-10",15.94
"372","2012-12-11",16.120001
"373","2012-12-12",16
"374","2012-12-13",15.85
"375","2012-12-14",15.82
