"","date","BURL"
"1","2013-10-02",25.01
"2","2013-10-03",24.860001
"3","2013-10-04",25.889999
"4","2013-10-07",26.77
"5","2013-10-08",25.9
"6","2013-10-09",25.52
"7","2013-10-10",25.98
"8","2013-10-11",26.68
"9","2013-10-14",27.530001
"10","2013-10-15",27.709999
"11","2013-10-16",27.26
"12","2013-10-17",26.82
"13","2013-10-18",26.43
"14","2013-10-21",26.41
"15","2013-10-22",26.25
"16","2013-10-23",25.75
"17","2013-10-24",26.01
"18","2013-10-25",26.43
"19","2013-10-28",26.75
"20","2013-10-29",26.860001
"21","2013-10-30",26.870001
"22","2013-10-31",26.790001
"23","2013-11-01",27.16
"24","2013-11-04",27.16
"25","2013-11-05",27.07
"26","2013-11-06",26.950001
"27","2013-11-07",26.92
"28","2013-11-08",27.17
"29","2013-11-11",27.049999
"30","2013-11-12",27.75
"31","2013-11-13",28.940001
"32","2013-11-14",29.84
"33","2013-11-15",30.18
"34","2013-11-18",29.450001
"35","2013-11-19",29.790001
"36","2013-11-20",29.9
"37","2013-11-21",29.370001
"38","2013-11-22",28.82
"39","2013-11-25",28.48
"40","2013-11-26",28.440001
"41","2013-11-27",28.42
"42","2013-11-29",28.440001
"43","2013-12-02",29.059999
"44","2013-12-03",28.780001
"45","2013-12-04",28.190001
"46","2013-12-05",28.059999
"47","2013-12-06",28.02
"48","2013-12-09",28.1
"49","2013-12-10",25.92
"50","2013-12-11",28.07
"51","2013-12-12",27.290001
"52","2013-12-13",27.34
"53","2013-12-16",28.93
"54","2013-12-17",28.09
"55","2013-12-18",28.559999
"56","2013-12-19",29.719999
"57","2013-12-20",30.370001
"58","2013-12-23",30.93
"59","2013-12-24",31.32
"60","2013-12-26",30.969999
"61","2013-12-27",31.4
"62","2013-12-30",31.34
"63","2013-12-31",32
"64","2014-01-02",32.5
"65","2014-01-03",32.060001
"66","2014-01-06",31.559999
"67","2014-01-07",30.629999
"68","2014-01-08",30.379999
"69","2014-01-09",29.9
"70","2014-01-10",29.35
"71","2014-01-13",29.549999
"72","2014-01-14",29.790001
"73","2014-01-15",29.809999
"74","2014-01-16",29.450001
"75","2014-01-17",28.780001
"76","2014-01-21",28.440001
"77","2014-01-22",27.889999
"78","2014-01-23",27.620001
"79","2014-01-24",26.959999
"80","2014-01-27",27.299999
"81","2014-01-28",26.360001
"82","2014-01-29",26.18
"83","2014-01-30",25.690001
"84","2014-01-31",25.58
"85","2014-02-03",24.440001
"86","2014-02-04",24.629999
"87","2014-02-05",24.26
"88","2014-02-06",24.52
"89","2014-02-07",24.469999
"90","2014-02-10",25.129999
"91","2014-02-11",26.68
"92","2014-02-12",26.950001
"93","2014-02-13",27.059999
"94","2014-02-14",26.360001
"95","2014-02-18",25.77
"96","2014-02-19",25.9
"97","2014-02-20",25.049999
"98","2014-02-21",25.16
"99","2014-02-24",26.07
"100","2014-02-25",25.459999
"101","2014-02-26",26.389999
"102","2014-02-27",27.549999
"103","2014-02-28",27.25
"104","2014-03-03",27.280001
"105","2014-03-04",26.690001
"106","2014-03-05",26.860001
"107","2014-03-06",26.26
"108","2014-03-07",26.57
"109","2014-03-10",27.01
"110","2014-03-11",26.99
"111","2014-03-12",26.530001
"112","2014-03-13",26.07
"113","2014-03-14",25.98
"114","2014-03-17",26.309999
"115","2014-03-18",25.68
"116","2014-03-19",25.9
"117","2014-03-20",29.99
"118","2014-03-21",31.5
"119","2014-03-24",31.17
"120","2014-03-25",30.450001
"121","2014-03-26",29.530001
"122","2014-03-27",29.860001
"123","2014-03-28",29.18
"124","2014-03-31",29.52
"125","2014-04-01",30
"126","2014-04-02",30.42
"127","2014-04-03",30.280001
"128","2014-04-04",29.82
"129","2014-04-07",29.040001
"130","2014-04-08",29.299999
"131","2014-04-09",29.440001
"132","2014-04-10",28.42
"133","2014-04-11",27.620001
"134","2014-04-14",27.34
"135","2014-04-15",27
"136","2014-04-16",27.07
"137","2014-04-17",27
"138","2014-04-21",27.299999
"139","2014-04-22",27.66
"140","2014-04-23",27.450001
"141","2014-04-24",27.940001
"142","2014-04-25",27.6
"143","2014-04-28",28.74
"144","2014-04-29",27.17
"145","2014-04-30",25.99
"146","2014-05-01",27.4
"147","2014-05-02",28.200001
"148","2014-05-05",27.84
"149","2014-05-06",27.74
"150","2014-05-07",27.440001
"151","2014-05-08",27.59
"152","2014-05-09",28.209999
"153","2014-05-12",28.969999
"154","2014-05-13",29.16
"155","2014-05-14",28.98
"156","2014-05-15",28.24
"157","2014-05-16",28.879999
"158","2014-05-19",28.93
"159","2014-05-20",28.32
"160","2014-05-21",28.440001
"161","2014-05-22",28.799999
"162","2014-05-23",29.23
"163","2014-05-27",29.73
"164","2014-05-28",28.9
"165","2014-05-29",28.559999
"166","2014-05-30",28.42
"167","2014-06-02",28.02
"168","2014-06-03",27.75
"169","2014-06-04",28.01
"170","2014-06-05",28.440001
"171","2014-06-06",28.58
"172","2014-06-09",28.17
"173","2014-06-10",29.67
"174","2014-06-11",29.889999
"175","2014-06-12",29.610001
"176","2014-06-13",29.690001
"177","2014-06-16",30.51
"178","2014-06-17",30.959999
"179","2014-06-18",31.379999
"180","2014-06-19",31.25
"181","2014-06-20",31.6
"182","2014-06-23",31.530001
"183","2014-06-24",31.15
"184","2014-06-25",31.889999
"185","2014-06-26",31.01
"186","2014-06-27",31.030001
"187","2014-06-30",31.860001
"188","2014-07-01",31.549999
"189","2014-07-02",31.200001
"190","2014-07-03",31.469999
"191","2014-07-07",30.690001
"192","2014-07-08",30.1
"193","2014-07-09",30.139999
"194","2014-07-10",30.1
"195","2014-07-11",30.049999
"196","2014-07-14",29.799999
"197","2014-07-15",28.99
"198","2014-07-16",28.950001
"199","2014-07-17",31.34
"200","2014-07-18",31.24
"201","2014-07-21",31.809999
"202","2014-07-22",32.060001
"203","2014-07-23",31.51
"204","2014-07-24",32.150002
"205","2014-07-25",33.040001
"206","2014-07-28",32.599998
"207","2014-07-29",32.779999
"208","2014-07-30",33.25
"209","2014-07-31",32.73
"210","2014-08-01",32.549999
"211","2014-08-04",32.59
"212","2014-08-05",32.84
"213","2014-08-06",32.77
"214","2014-08-07",32.27
"215","2014-08-08",33.25
"216","2014-08-11",33.279999
"217","2014-08-12",32.919998
"218","2014-08-13",33.040001
"219","2014-08-14",33.509998
"220","2014-08-15",33.450001
"221","2014-08-18",34.27
"222","2014-08-19",34.779999
"223","2014-08-20",34.060001
"224","2014-08-21",34.490002
"225","2014-08-22",35.73
"226","2014-08-25",35.709999
"227","2014-08-26",35.529999
"228","2014-08-27",35.709999
"229","2014-08-28",35.950001
"230","2014-08-29",35.669998
"231","2014-09-02",36.689999
"232","2014-09-03",36.32
"233","2014-09-04",37.299999
"234","2014-09-05",36.59
"235","2014-09-08",36.060001
"236","2014-09-09",37.18
"237","2014-09-10",37.889999
"238","2014-09-11",38.009998
"239","2014-09-12",38.099998
"240","2014-09-15",37.959999
"241","2014-09-16",38.610001
"242","2014-09-17",39.099998
"243","2014-09-18",40.459999
"244","2014-09-19",40.259998
"245","2014-09-22",39.77
"246","2014-09-23",39.34
"247","2014-09-24",39.700001
"248","2014-09-25",39.459999
"249","2014-09-26",40.48
"250","2014-09-29",40.25
"251","2014-09-30",39.860001
"252","2014-10-01",39.330002
"253","2014-10-02",39.540001
"254","2014-10-03",39.66
"255","2014-10-06",38.66
"256","2014-10-07",37.650002
"257","2014-10-08",38.27
"258","2014-10-09",37.849998
"259","2014-10-10",38.43
"260","2014-10-13",38.18
"261","2014-10-14",39.029999
"262","2014-10-15",38.57
"263","2014-10-16",38.400002
"264","2014-10-17",37.82
"265","2014-10-20",38.490002
"266","2014-10-21",39.580002
"267","2014-10-22",39.790001
"268","2014-10-23",39.299999
"269","2014-10-24",39.619999
