"","date","STRO"
"1","2018-09-27",15.2
"2","2018-09-28",15
"3","2018-10-01",14.65
"4","2018-10-02",14.8
"5","2018-10-03",14.77
"6","2018-10-04",14.66
"7","2018-10-05",14.85
"8","2018-10-08",14.66
"9","2018-10-09",14.85
"10","2018-10-10",14.69
"11","2018-10-11",14.43
"12","2018-10-12",14.39
"13","2018-10-15",14.42
"14","2018-10-16",14.41
"15","2018-10-17",14.4
"16","2018-10-18",14.55
"17","2018-10-19",14.53
"18","2018-10-22",14.48
"19","2018-10-23",14.12
"20","2018-10-24",14
"21","2018-10-25",13.85
"22","2018-10-26",13.54
"23","2018-10-29",12.97
"24","2018-10-30",12.35
"25","2018-10-31",11.88
"26","2018-11-01",11.99
"27","2018-11-02",12.1
"28","2018-11-05",11.75
"29","2018-11-06",12.11
"30","2018-11-07",13
"31","2018-11-08",14.23
"32","2018-11-09",13.41
"33","2018-11-12",13.57
"34","2018-11-13",13.3
"35","2018-11-14",11.62
"36","2018-11-15",12.63
"37","2018-11-16",12.49
"38","2018-11-19",11.56
"39","2018-11-20",9.93
"40","2018-11-21",9.92
"41","2018-11-23",10.81
"42","2018-11-26",10.85
"43","2018-11-27",10.08
"44","2018-11-28",10.29
"45","2018-11-29",10.58
"46","2018-11-30",10.49
"47","2018-12-03",11.1
"48","2018-12-04",10.22
"49","2018-12-06",10.04
"50","2018-12-07",10.27
"51","2018-12-10",11.96
"52","2018-12-11",10.13
"53","2018-12-12",10.1
"54","2018-12-13",10.2
"55","2018-12-14",10.22
"56","2018-12-17",10.1
"57","2018-12-18",9.75
"58","2018-12-19",9.75
"59","2018-12-20",9.11
"60","2018-12-21",8.99
"61","2018-12-24",9
"62","2018-12-26",9.52
"63","2018-12-27",9.19
"64","2018-12-28",8.69
"65","2018-12-31",9.02
"66","2019-01-02",10.09
"67","2019-01-03",9.2
"68","2019-01-04",11.21
"69","2019-01-07",11.54
"70","2019-01-08",11.71
"71","2019-01-09",11.87
"72","2019-01-10",11.59
