"","date","LSXMK"
"1","2016-04-18",29.528023
"2","2016-04-19",31.533924
"3","2016-04-20",31.366764
"4","2016-04-21",31.937069
"5","2016-04-22",31.986235
"6","2016-04-25",32.133728
"7","2016-04-26",32.094395
"8","2016-04-27",32.261555
"9","2016-04-28",31.720747
"10","2016-04-29",31.484758
"11","2016-05-02",32.104229
"12","2016-05-03",31.927237
"13","2016-05-04",31.406096
"14","2016-05-05",31.435595
"15","2016-05-06",31.789577
"16","2016-05-09",31.337267
"17","2016-05-10",31.543756
"18","2016-05-11",31.012783
"19","2016-05-12",30.816126
"20","2016-05-13",30.521141
"21","2016-05-16",30.609636
"22","2016-05-17",30.373648
"23","2016-05-18",30.688299
"24","2016-05-19",30.550638
"25","2016-05-20",30.786627
"26","2016-05-23",30.501474
"27","2016-05-24",30.983284
"28","2016-05-25",31.091446
"29","2016-05-26",30.875122
"30","2016-05-27",31.012783
"31","2016-05-31",30.924288
"32","2016-06-01",31.130777
"33","2016-06-02",31.081612
"34","2016-06-03",30.943953
"35","2016-06-06",30.786627
"36","2016-06-07",30.816126
"37","2016-06-08",30.904621
"38","2016-06-09",31.199606
"39","2016-06-10",30.924288
"40","2016-06-13",30.235989
"41","2016-06-14",29.970501
"42","2016-06-15",29.990168
"43","2016-06-16",30.235989
"44","2016-06-17",29.547689
"45","2016-06-20",29.680433
"46","2016-06-21",29.085546
"47","2016-06-22",29.459194
"48","2016-06-23",30.884956
"49","2016-06-24",29.882006
"50","2016-06-27",28.800394
"51","2016-06-28",29.498526
"52","2016-06-29",29.882006
"53","2016-06-30",30.353983
"54","2016-07-01",30.698132
"55","2016-07-05",30.619469
"56","2016-07-06",30.776794
"57","2016-07-07",30.973452
"58","2016-07-08",31.494593
"59","2016-07-11",31.760078
"60","2016-07-12",31.327435
"61","2016-07-13",31.789577
"62","2016-07-14",32.369717
"63","2016-07-15",32.507374
"64","2016-07-18",32.684364
"65","2016-07-19",33.067848
"66","2016-07-20",33.333332
"67","2016-07-21",33.353001
"68","2016-07-22",33.667648
"69","2016-07-25",32.84169
"70","2016-07-26",34.247787
"71","2016-07-27",34.660767
"72","2016-07-28",34.346115
"73","2016-07-29",34.660767
"74","2016-08-01",34.041298
"75","2016-08-02",33.362831
"76","2016-08-03",33.353001
"77","2016-08-04",32.969517
"78","2016-08-05",33.126842
"79","2016-08-08",32.605701
"80","2016-08-09",32.310719
"81","2016-08-10",32.468044
"82","2016-08-11",32.83186
"83","2016-08-12",32.645035
"84","2016-08-15",32.743362
"85","2016-08-16",32.83186
"86","2016-08-17",32.704033
"87","2016-08-18",32.202557
"88","2016-08-19",32.07473
"89","2016-08-22",31.878073
"90","2016-08-23",31.966568
"91","2016-08-24",31.583088
"92","2016-08-25",32.182892
"93","2016-08-26",32.438545
"94","2016-08-29",32.605701
"95","2016-08-30",32.743362
"96","2016-08-31",32.674534
"97","2016-09-01",32.694199
"98","2016-09-02",32.959686
"99","2016-09-06",32.949852
"100","2016-09-07",33.313667
"101","2016-09-08",33.372665
"102","2016-09-09",32.635201
"103","2016-09-12",33.107178
"104","2016-09-13",32.399212
"105","2016-09-14",32.438545
"106","2016-09-15",32.694199
"107","2016-09-16",31.809242
"108","2016-09-19",32.212391
"109","2016-09-20",32.320549
"110","2016-09-21",32.713863
"111","2016-09-22",32.812191
"112","2016-09-23",32.802361
"113","2016-09-26",32.536873
"114","2016-09-27",32.62537
"115","2016-09-28",32.41888
"116","2016-09-29",32.369717
"117","2016-09-30",32.851524
"118","2016-10-03",33.107178
"119","2016-10-04",32.881023
"120","2016-10-05",32.507374
"121","2016-10-06",32.438545
"122","2016-10-07",32.291054
"123","2016-10-10",32.173058
"124","2016-10-11",31.563421
"125","2016-10-12",31.59292
"126","2016-10-13",31.59292
"127","2016-10-14",31.769911
"128","2016-10-17",31.809242
"129","2016-10-18",32.192722
"130","2016-10-19",32.615536
"131","2016-10-20",32.576206
"132","2016-10-21",32.753197
"133","2016-10-24",32.900688
"134","2016-10-25",33.146511
"135","2016-10-26",33.333332
"136","2016-10-27",32.173058
"137","2016-10-28",32.399212
"138","2016-10-31",32.635201
"139","2016-11-01",32.25172
"140","2016-11-02",31.828909
"141","2016-11-03",31.691248
"142","2016-11-04",31.681416
"143","2016-11-07",32.438545
"144","2016-11-08",32.713863
"145","2016-11-09",32.989185
"146","2016-11-10",33.225174
"147","2016-11-11",33.55949
"148","2016-11-14",34.316616
"149","2016-11-15",35.250736
"150","2016-11-16",34.827927
"151","2016-11-17",35.034416
"152","2016-11-18",35.417896
"153","2016-11-21",35.349068
"154","2016-11-22",35.585052
"155","2016-11-23",35.388397
"156","2016-11-25",35.46706
"157","2016-11-28",34.778763
"158","2016-11-29",35.172073
"159","2016-11-30",35.162243
"160","2016-12-01",35.319569
"161","2016-12-02",33.372665
"162","2016-12-05",33.638153
"163","2016-12-06",34.15929
"164","2016-12-07",34.670601
"165","2016-12-08",34.778763
"166","2016-12-09",34.572273
"167","2016-12-12",33.520157
"168","2016-12-13",33.913471
"169","2016-12-14",34.090462
"170","2016-12-15",33.716816
"171","2016-12-16",33.716816
"172","2016-12-19",33.647984
"173","2016-12-20",34.14946
"174","2016-12-21",34.178959
"175","2016-12-22",33.962635
"176","2016-12-23",33.952801
"177","2016-12-27",33.864307
"178","2016-12-28",33.618484
"179","2016-12-29",33.353001
"180","2016-12-30",33.353001
"181","2017-01-03",33.529991
"182","2017-01-04",33.874138
"183","2017-01-05",34.306786
"184","2017-01-06",33.883972
"185","2017-01-09",34.208458
"186","2017-01-10",34.49361
"187","2017-01-11",34.139626
"188","2017-01-12",33.94297
"189","2017-01-13",34.346115
"190","2017-01-17",34.090462
"191","2017-01-18",34.49361
