"","date","WEN"
"1","2007-01-03",21.290001
"2","2007-01-04",21
"3","2007-01-05",21.469999
"4","2007-01-08",21.709999
"5","2007-01-09",21.75
"6","2007-01-10",21.4
"7","2007-01-11",21.9
"8","2007-01-12",21.85
"9","2007-01-16",21.690001
"10","2007-01-17",21.58
"11","2007-01-18",21.74
"12","2007-01-19",21.719999
"13","2007-01-22",21.299999
"14","2007-01-23",21.18
"15","2007-01-24",21.370001
"16","2007-01-25",21.190001
"17","2007-01-26",21.15
"18","2007-01-29",20.959999
"19","2007-01-30",21.129999
"20","2007-01-31",21.24
"21","2007-02-01",21.16
"22","2007-02-02",21.26
"23","2007-02-05",21.120001
"24","2007-02-06",21.09
"25","2007-02-07",21.15
"26","2007-02-08",21.139999
"27","2007-02-09",20.93
"28","2007-02-12",21.01
"29","2007-02-13",21.25
"30","2007-02-14",21.07
"31","2007-02-15",21.1
"32","2007-02-16",20.93
"33","2007-02-20",20.98
"34","2007-02-21",20.99
"35","2007-02-22",21.01
"36","2007-02-23",20.84
"37","2007-02-26",20.48
"38","2007-02-27",19.6
"39","2007-02-28",19.52
"40","2007-03-01",19.32
"41","2007-03-02",19.4
"42","2007-03-05",18.25
"43","2007-03-06",18.42
"44","2007-03-07",18.17
"45","2007-03-08",19.059999
"46","2007-03-09",18.809999
"47","2007-03-12",19.030001
"48","2007-03-13",18.719999
"49","2007-03-14",18.809999
"50","2007-03-15",18.969999
"51","2007-03-16",18.950001
"52","2007-03-19",19.200001
"53","2007-03-20",19.27
"54","2007-03-21",19.309999
"55","2007-03-22",19.02
"56","2007-03-23",19.299999
"57","2007-03-26",19.219999
"58","2007-03-27",19.08
"59","2007-03-28",18.73
"60","2007-03-29",18.6
"61","2007-03-30",18.73
"62","2007-04-02",18.73
"63","2007-04-03",19.16
"64","2007-04-04",18.9
"65","2007-04-05",18.799999
"66","2007-04-09",18.73
"67","2007-04-10",18.809999
"68","2007-04-11",18.450001
"69","2007-04-12",18.49
"70","2007-04-13",18.4
"71","2007-04-16",18.77
"72","2007-04-17",18.719999
"73","2007-04-18",18.68
"74","2007-04-19",18.1
"75","2007-04-20",19.030001
"76","2007-04-23",18.639999
"77","2007-04-24",18.379999
"78","2007-04-25",18.34
"79","2007-04-26",18.6
"80","2007-04-27",18.57
"81","2007-04-30",17.700001
"82","2007-05-01",17.93
"83","2007-05-02",17.889999
"84","2007-05-03",17.780001
"85","2007-05-04",17.92
"86","2007-05-07",18
"87","2007-05-08",17.92
"88","2007-05-09",18
"89","2007-05-10",17.42
"90","2007-05-11",17.540001
"91","2007-05-14",17.209999
"92","2007-05-15",16.879999
"93","2007-05-16",16.91
"94","2007-05-17",16.790001
"95","2007-05-18",17
"96","2007-05-21",17.1
"97","2007-05-22",17.209999
"98","2007-05-23",17
"99","2007-05-24",16.76
"100","2007-05-25",16.91
"101","2007-05-29",16.92
"102","2007-05-30",16.549999
"103","2007-05-31",16.42
"104","2007-06-01",16.639999
"105","2007-06-04",16.65
"106","2007-06-05",16.4
"107","2007-06-06",16.559999
"108","2007-06-07",16.41
"109","2007-06-08",16.540001
"110","2007-06-11",16.49
"111","2007-06-12",16.309999
"112","2007-06-13",16.6
"113","2007-06-14",16.15
"114","2007-06-15",16.549999
"115","2007-06-18",16.549999
"116","2007-06-19",16.51
"117","2007-06-20",16.469999
"118","2007-06-21",16.15
"119","2007-06-22",15.97
"120","2007-06-25",15.84
"121","2007-06-26",15.77
"122","2007-06-27",16.08
"123","2007-06-28",15.92
"124","2007-06-29",15.87
"125","2007-07-02",16
"126","2007-07-03",15.75
"127","2007-07-05",15.99
"128","2007-07-06",15.93
"129","2007-07-09",15.91
"130","2007-07-10",15.83
"131","2007-07-11",15.84
"132","2007-07-12",16.049999
"133","2007-07-13",16.08
"134","2007-07-16",16.129999
"135","2007-07-17",16
"136","2007-07-18",16.049999
"137","2007-07-19",16.139999
"138","2007-07-20",15.75
"139","2007-07-23",16.01
"140","2007-07-24",15.58
"141","2007-07-25",15.44
"142","2007-07-26",14.95
"143","2007-07-27",14.67
"144","2007-07-30",14.58
"145","2007-07-31",14.54
"146","2007-08-01",14.56
"147","2007-08-02",14.58
"148","2007-08-03",14.2
"149","2007-08-06",14.43
"150","2007-08-07",14.3
"151","2007-08-08",13.44
"152","2007-08-09",12.39
"153","2007-08-10",14.62
"154","2007-08-13",14.03
"155","2007-08-14",14.07
"156","2007-08-15",14.02
"157","2007-08-16",15.04
"158","2007-08-17",15.39
"159","2007-08-20",15.34
"160","2007-08-21",14.93
"161","2007-08-22",15.14
"162","2007-08-23",15.03
"163","2007-08-24",15.36
"164","2007-08-27",15.05
"165","2007-08-28",14.35
"166","2007-08-29",14.52
"167","2007-08-30",14.78
"168","2007-08-31",14.79
"169","2007-09-04",14.5
"170","2007-09-05",14.31
"171","2007-09-06",14.11
"172","2007-09-07",13.77
"173","2007-09-10",13.39
"174","2007-09-11",13.45
"175","2007-09-12",13.49
"176","2007-09-13",13.66
