"","date","RNST"
"1","2007-01-03",30.280001
"2","2007-01-04",30.049999
"3","2007-01-05",29.040001
"4","2007-01-08",28.41
"5","2007-01-09",28.610001
"6","2007-01-10",28.68
"7","2007-01-11",28.83
"8","2007-01-12",28.59
"9","2007-01-16",28.23
"10","2007-01-17",27.76
"11","2007-01-18",27.25
"12","2007-01-19",27.9
"13","2007-01-22",27.610001
"14","2007-01-23",28.110001
"15","2007-01-24",28.49
"16","2007-01-25",27.52
"17","2007-01-26",28.200001
"18","2007-01-29",28.120001
"19","2007-01-30",28.459999
"20","2007-01-31",28.389999
"21","2007-02-01",28
"22","2007-02-02",27.92
"23","2007-02-05",27.690001
"24","2007-02-06",25.98
"25","2007-02-07",26.950001
"26","2007-02-08",26.49
"27","2007-02-09",26.08
"28","2007-02-12",26.01
"29","2007-02-13",26.01
"30","2007-02-14",25.43
"31","2007-02-15",25
"32","2007-02-16",25.18
"33","2007-02-20",26
"34","2007-02-21",25.540001
"35","2007-02-22",26.26
"36","2007-02-23",25.58
"37","2007-02-26",25.01
"38","2007-02-27",24.32
"39","2007-02-28",24.299999
"40","2007-03-01",24.309999
"41","2007-03-02",23.5
"42","2007-03-05",22.92
"43","2007-03-06",25.08
"44","2007-03-07",23.700001
"45","2007-03-08",23.299999
"46","2007-03-09",24.129999
"47","2007-03-12",24.5
"48","2007-03-13",24.26
"49","2007-03-14",23.5
"50","2007-03-15",23.860001
"51","2007-03-16",23.67
"52","2007-03-19",24.1
"53","2007-03-20",24.200001
"54","2007-03-21",25.24
"55","2007-03-22",25.23
"56","2007-03-23",25.049999
"57","2007-03-26",25.280001
"58","2007-03-27",25.07
"59","2007-03-28",24.32
"60","2007-03-29",24.65
"61","2007-03-30",24.68
"62","2007-04-02",25.049999
"63","2007-04-03",25.68
"64","2007-04-04",25
"65","2007-04-05",24.92
"66","2007-04-09",24.07
"67","2007-04-10",25.290001
"68","2007-04-11",24.370001
"69","2007-04-12",25
"70","2007-04-13",24.690001
"71","2007-04-16",24.790001
"72","2007-04-17",24.98
"73","2007-04-18",24.530001
"74","2007-04-19",24.139999
"75","2007-04-20",24.540001
"76","2007-04-23",24.290001
"77","2007-04-24",24.33
"78","2007-04-25",24.379999
"79","2007-04-26",24.34
"80","2007-04-27",24.129999
"81","2007-04-30",23.27
"82","2007-05-01",23.15
"83","2007-05-02",23.91
"84","2007-05-03",24.309999
"85","2007-05-04",23.73
"86","2007-05-07",23.299999
"87","2007-05-08",22.629999
"88","2007-05-09",22.84
"89","2007-05-10",22.709999
"90","2007-05-11",22.85
"91","2007-05-14",22.85
"92","2007-05-15",22.5
"93","2007-05-16",22.85
"94","2007-05-17",22.84
"95","2007-05-18",23.139999
"96","2007-05-21",23.42
"97","2007-05-22",23.610001
"98","2007-05-23",23.469999
"99","2007-05-24",23.25
"100","2007-05-25",23.719999
"101","2007-05-29",24.059999
"102","2007-05-30",24.17
"103","2007-05-31",24.32
"104","2007-06-01",24.639999
"105","2007-06-04",24.469999
"106","2007-06-05",24.01
"107","2007-06-06",23.889999
"108","2007-06-07",23.67
"109","2007-06-08",24.129999
"110","2007-06-11",23.68
"111","2007-06-12",23.209999
"112","2007-06-13",23.83
"113","2007-06-14",23.889999
"114","2007-06-15",24.790001
"115","2007-06-18",24.059999
"116","2007-06-19",23.9
"117","2007-06-20",23.139999
"118","2007-06-21",22.879999
"119","2007-06-22",23.42
"120","2007-06-25",23.190001
"121","2007-06-26",23.83
"122","2007-06-27",23.860001
"123","2007-06-28",23.18
"124","2007-06-29",22.74
"125","2007-07-02",23.299999
"126","2007-07-03",23.6
"127","2007-07-05",23.16
"128","2007-07-06",23.73
"129","2007-07-09",23.700001
"130","2007-07-10",23.110001
"131","2007-07-11",22.969999
"132","2007-07-12",22.85
"133","2007-07-13",22.74
"134","2007-07-16",22.370001
"135","2007-07-17",22.469999
"136","2007-07-18",21.940001
"137","2007-07-19",22.1
"138","2007-07-20",20.860001
"139","2007-07-23",20.709999
"140","2007-07-24",19.629999
"141","2007-07-25",20.139999
"142","2007-07-26",19.33
"143","2007-07-27",19.49
"144","2007-07-30",19.709999
"145","2007-07-31",19.18
"146","2007-08-01",19.34
"147","2007-08-02",19.309999
"148","2007-08-03",18.5
"149","2007-08-06",19.6
"150","2007-08-07",19.98
"151","2007-08-08",20.73
"152","2007-08-09",20.52
"153","2007-08-10",20.34
"154","2007-08-13",19.73
"155","2007-08-14",18.9
"156","2007-08-15",18.51
"157","2007-08-16",19.76
"158","2007-08-17",19.969999
"159","2007-08-20",19.83
"160","2007-08-21",20.639999
"161","2007-08-22",21.709999
"162","2007-08-23",20.84
"163","2007-08-24",21.469999
"164","2007-08-27",20.799999
"165","2007-08-28",20.4
"166","2007-08-29",20.93
"167","2007-08-30",20.08
"168","2007-08-31",20
"169","2007-09-04",20.860001
"170","2007-09-05",20.799999
"171","2007-09-06",20.969999
"172","2007-09-07",20.58
"173","2007-09-10",20.469999
