"","date","MRCC"
"231","2013-09-27",13.27
"232","2013-09-30",12.99
"233","2013-10-01",13.21
"234","2013-10-02",13.19
"235","2013-10-03",13.57
"236","2013-10-04",13.47
"237","2013-10-07",13.87
"238","2013-10-08",13.8
"239","2013-10-09",13.56
"240","2013-10-10",13.45
"241","2013-10-11",13.43
"242","2013-10-14",13.43
"243","2013-10-15",13.35
"244","2013-10-16",13.55
"245","2013-10-17",13.5
"246","2013-10-18",13.6
"247","2013-10-21",13.4
"248","2013-10-22",13.38
"249","2013-10-23",13.18
"250","2013-10-24",13.19
"251","2013-10-25",13.34
"252","2013-10-28",13.02
"253","2013-10-29",12.99
"254","2013-10-30",12.76
"255","2013-10-31",12.86
"256","2013-11-01",12.8
"257","2013-11-04",12.72
"258","2013-11-05",12.46
"259","2013-11-06",12.5
"260","2013-11-07",11.99
"261","2013-11-08",11.85
"262","2013-11-11",12.14
"263","2013-11-12",12.11
"264","2013-11-13",12.46
"265","2013-11-14",12.76
"266","2013-11-15",12.6
"267","2013-11-18",12.62
"268","2013-11-19",12.54
"269","2013-11-20",12.58
"270","2013-11-21",12.46
"271","2013-11-22",12.51
"272","2013-11-25",12.68
"273","2013-11-26",12.6
"274","2013-11-27",12.61
"275","2013-11-29",12.93
"276","2013-12-02",12.84
"277","2013-12-03",12.6
"278","2013-12-04",12.55
"279","2013-12-05",12.38
"280","2013-12-06",12.45
"281","2013-12-09",12.39
"282","2013-12-10",12.28
"283","2013-12-11",11.95
"284","2013-12-12",11.75
"285","2013-12-13",11.9
"286","2013-12-16",11.95
"287","2013-12-17",12.05
"288","2013-12-18",11.88
"289","2013-12-19",12
"290","2013-12-20",11.96
"291","2013-12-23",11.95
"292","2013-12-24",11.91
"293","2013-12-26",12.1
"294","2013-12-27",12.46
"295","2013-12-30",12.18
"296","2013-12-31",12.2
"297","2014-01-02",12.29
"298","2014-01-03",12.3
"299","2014-01-06",12.27
"300","2014-01-07",12.21
"301","2014-01-08",12.19
"302","2014-01-09",12.27
"303","2014-01-10",12.32
"304","2014-01-13",12.33
"305","2014-01-14",12.49
"306","2014-01-15",12.7
"307","2014-01-16",12.77
"308","2014-01-17",12.74
"309","2014-01-21",12.95
"310","2014-01-22",12.89
"311","2014-01-23",12.95
"312","2014-01-24",12.88
"313","2014-01-27",13
"314","2014-01-28",13.06
"315","2014-01-29",12.99
"316","2014-01-30",13.25
"317","2014-01-31",13.14
"318","2014-02-03",13.02
"319","2014-02-04",12.89
"320","2014-02-05",12.8
"321","2014-02-06",12.97
"322","2014-02-07",13.07
"323","2014-02-10",13.2
"324","2014-02-11",13.17
"325","2014-02-12",13.19
"326","2014-02-13",13.28
"327","2014-02-14",13.14
"328","2014-02-18",13.43
"329","2014-02-19",13.36
"330","2014-02-20",13.22
"331","2014-02-21",13.19
"332","2014-02-24",13.24
"333","2014-02-25",13.01
"334","2014-02-26",12.93
"335","2014-02-27",13
"336","2014-02-28",13.25
"337","2014-03-03",13.13
"338","2014-03-04",13.13
"339","2014-03-05",13.12
"340","2014-03-06",13.19
"341","2014-03-07",13.13
"342","2014-03-10",13.19
"343","2014-03-11",13.17
"344","2014-03-12",13.13
"345","2014-03-13",13.15
"346","2014-03-14",13.1
"347","2014-03-17",13.08
"348","2014-03-18",13.14
"349","2014-03-19",13.23
"350","2014-03-20",12.99
"351","2014-03-21",13.55
"352","2014-03-24",13.25
"353","2014-03-25",13.34
"354","2014-03-26",13.35
"355","2014-03-27",13.46
"356","2014-03-28",13.53
"357","2014-03-31",13.53
"358","2014-04-01",13.3
"359","2014-04-02",13.46
"360","2014-04-03",13.44
"361","2014-04-04",13.43
"362","2014-04-07",13.33
"363","2014-04-08",13.5
"364","2014-04-09",13.35
"365","2014-04-10",13.29
"366","2014-04-11",13.12
"367","2014-04-14",13.13
"368","2014-04-15",13.1
"369","2014-04-16",13.11
"370","2014-04-17",13.13
"371","2014-04-21",13.22
"372","2014-04-22",13.2
"373","2014-04-23",13.14
"374","2014-04-24",13.05
"375","2014-04-25",13.09
"376","2014-04-28",13.05
"377","2014-04-29",13.22
"378","2014-04-30",12.99
"379","2014-05-01",13.21
"380","2014-05-02",13.27
"381","2014-05-05",13.28
"382","2014-05-06",13.08
"383","2014-05-07",12.9
"384","2014-05-08",12.97
"385","2014-05-09",12.7
"386","2014-05-12",13.1
"387","2014-05-13",13.45
"388","2014-05-14",13.4
"389","2014-05-15",13.35
"390","2014-05-16",13.41
"391","2014-05-19",13.49
"392","2014-05-20",13.38
"393","2014-05-21",13.58
"394","2014-05-22",13.46
"395","2014-05-23",13.78
"396","2014-05-27",13.7
"397","2014-05-28",13.7
"398","2014-05-29",13.89
"399","2014-05-30",13.92
"400","2014-06-02",13.69
"401","2014-06-03",13.88
"402","2014-06-04",13.92
"403","2014-06-05",13.8
"404","2014-06-06",13.53
"405","2014-06-09",13.68
"406","2014-06-10",13.75
"407","2014-06-11",13.53
"408","2014-06-12",13.81
"409","2014-06-13",13.7
"410","2014-06-16",13.65
"411","2014-06-17",13.52
"412","2014-06-18",13.64
"413","2014-06-19",13.52
"414","2014-06-20",13.38
"415","2014-06-23",13.49
"416","2014-06-24",13.52
"417","2014-06-25",13.59
"418","2014-06-26",13.61
"419","2014-06-27",13.45
"420","2014-06-30",13.27
"421","2014-07-01",13.5
"422","2014-07-02",13.6
"423","2014-07-03",13.63
"424","2014-07-07",13.65
"425","2014-07-08",13.49
"426","2014-07-09",13.48
"427","2014-07-10",13.42
"428","2014-07-11",13.36
"429","2014-07-14",13.52
"430","2014-07-15",13.47
"431","2014-07-16",13.57
"432","2014-07-17",13.38
"433","2014-07-18",13.47
"434","2014-07-21",13.55
"435","2014-07-22",13.57
"436","2014-07-23",13.55
"437","2014-07-24",13.63
"438","2014-07-25",13.5
"439","2014-07-28",13.45
"440","2014-07-29",13.63
"441","2014-07-30",13.55
"442","2014-07-31",13.29
"443","2014-08-01",13.49
"444","2014-08-04",13.31
"445","2014-08-05",13.26
"446","2014-08-06",13.48
"447","2014-08-07",13.29
"448","2014-08-08",13.35
"449","2014-08-11",13.37
"450","2014-08-12",13.39
"451","2014-08-13",13.39
"452","2014-08-14",13.6
"453","2014-08-15",13.57
"454","2014-08-18",13.64
"455","2014-08-19",13.56
"456","2014-08-20",13.66
"457","2014-08-21",13.69
"458","2014-08-22",13.78
"459","2014-08-25",13.77
"460","2014-08-26",13.79
"461","2014-08-27",13.82
"462","2014-08-28",13.84
"463","2014-08-29",13.86
"464","2014-09-02",13.85
"465","2014-09-03",13.79
"466","2014-09-04",13.91
"467","2014-09-05",13.93
"468","2014-09-08",13.94
"469","2014-09-09",14
"470","2014-09-10",13.87
"471","2014-09-11",13.88
"472","2014-09-12",13.81
"473","2014-09-15",13.79
"474","2014-09-16",13.5
"475","2014-09-17",13.77
"476","2014-09-18",13.73
"477","2014-09-19",13.68
"478","2014-09-22",13.52
"479","2014-09-23",13.66
"480","2014-09-24",13.83
"481","2014-09-25",13.62
"482","2014-09-26",13.62
"483","2014-09-29",13.78
"484","2014-09-30",13.5
"485","2014-10-01",13.61
"486","2014-10-02",13.5
"487","2014-10-03",13.48
"488","2014-10-06",13.68
"489","2014-10-07",13.65
"490","2014-10-08",13.7
"491","2014-10-09",13.67
"492","2014-10-10",13.55
"493","2014-10-13",13.48
"494","2014-10-14",13.66
