"","date","TPB"
"1","2016-05-11",10.12
"2","2016-05-12",10.25
"3","2016-05-13",10.85
"4","2016-05-16",11.6
"5","2016-05-17",11.94
"6","2016-05-18",11.77
"7","2016-05-19",10.38
"8","2016-05-20",10.38
"9","2016-05-23",10.59
"10","2016-05-24",10.5
"11","2016-05-25",10.99
"12","2016-05-26",10.88
"13","2016-05-27",10.72
"14","2016-05-31",10.26
"15","2016-06-01",10.35
"16","2016-06-02",10.37
"17","2016-06-03",10.58
"18","2016-06-06",9.69
"19","2016-06-07",9.68
"20","2016-06-08",9.38
"21","2016-06-09",8.9
"22","2016-06-10",8.276
"23","2016-06-13",7.74
"24","2016-06-14",7.94
"25","2016-06-15",7.38
"26","2016-06-16",7.24
"27","2016-06-17",7.34
"28","2016-06-20",9.39
"29","2016-06-21",10.26
"30","2016-06-22",10.06
"31","2016-06-23",9.78
"32","2016-06-24",10.18
"33","2016-06-27",9.27
"34","2016-06-28",9.97
"35","2016-06-29",9.94
"36","2016-06-30",10.27
"37","2016-07-01",10.07
"38","2016-07-05",10.27
"39","2016-07-06",10.08
"40","2016-07-07",9.98
"41","2016-07-08",10.09
"42","2016-07-11",10.36
"43","2016-07-12",10.37
"44","2016-07-13",10.41
"45","2016-07-14",10.42
"46","2016-07-15",10.95
"47","2016-07-18",11.63
"48","2016-07-19",11.1
"49","2016-07-20",10.52
"50","2016-07-21",11.34
"51","2016-07-22",11.14
"52","2016-07-25",11.24
"53","2016-07-26",11.25
"54","2016-07-27",11.21
"55","2016-07-28",11.12
"56","2016-07-29",11.15
"57","2016-08-01",10.76
"58","2016-08-02",10.8
"59","2016-08-03",10.74
"60","2016-08-04",10.74
"61","2016-08-05",10.85
"62","2016-08-08",10.86
"63","2016-08-09",10.92
"64","2016-08-10",9.26
"65","2016-08-11",10.23
"66","2016-08-12",11.34
"67","2016-08-15",12.81
"68","2016-08-16",11.02
"69","2016-08-17",11.67
"70","2016-08-18",11.64
"71","2016-08-19",11.01
"72","2016-08-22",11.57
"73","2016-08-23",12.57
"74","2016-08-24",12.9
"75","2016-08-25",12.93
"76","2016-08-26",13.1
"77","2016-08-29",13.07
"78","2016-08-30",12.68
"79","2016-08-31",12.93
"80","2016-09-01",12.8
"81","2016-09-02",13.09
"82","2016-09-06",14.43
"83","2016-09-07",14.71
"84","2016-09-08",15.98
"85","2016-09-09",15.68
"86","2016-09-12",15.26
"87","2016-09-13",14.04
"88","2016-09-14",12.92
