"","date","NL"
"1","2007-01-03",10.28
"2","2007-01-04",10.55
"3","2007-01-05",10.14
"4","2007-01-08",10.02
"5","2007-01-09",10.25
"6","2007-01-10",10.29
"7","2007-01-11",10.43
"8","2007-01-12",10.69
"9","2007-01-16",10.34
"10","2007-01-17",10.49
"11","2007-01-18",10.36
"12","2007-01-19",10.31
"13","2007-01-22",10.12
"14","2007-01-23",10.22
"15","2007-01-24",10.24
"16","2007-01-25",10.27
"17","2007-01-26",10.37
"18","2007-01-29",11.05
"19","2007-01-30",11.29
"20","2007-01-31",10.82
"21","2007-02-01",11
"22","2007-02-02",10.8
"23","2007-02-05",10.72
"24","2007-02-06",10.93
"25","2007-02-07",11.24
"26","2007-02-08",11.24
"27","2007-02-09",11.05
"28","2007-02-12",10.96
"29","2007-02-13",11.12
"30","2007-02-14",11.25
"31","2007-02-15",11.23
"32","2007-02-16",11.29
"33","2007-02-20",11.25
"34","2007-02-21",11.73
"35","2007-02-22",12.09
"36","2007-02-23",11.73
"37","2007-02-26",11.64
"38","2007-02-27",10.95
"39","2007-02-28",10.98
"40","2007-03-01",10.94
"41","2007-03-02",10.51
"42","2007-03-05",10.06
"43","2007-03-06",10.37
"44","2007-03-07",10.32
"45","2007-03-08",10.16
"46","2007-03-09",10.24
"47","2007-03-12",10.16
"48","2007-03-13",10.04
"49","2007-03-14",10.38
"50","2007-03-15",10.06
"51","2007-03-16",10.06
"52","2007-03-19",10.7
"53","2007-03-20",11.18
"54","2007-03-21",11.13
"55","2007-03-22",10.99
"56","2007-03-23",10.9
"57","2007-03-26",11.03
"58","2007-03-27",10.75
"59","2007-03-28",10.71
"60","2007-03-29",10.64
"61","2007-03-30",10.9
"62","2007-04-02",11.05
"63","2007-04-03",11.4
"64","2007-04-04",11.38
"65","2007-04-05",11.63
"66","2007-04-09",11.32
"67","2007-04-10",11.15
"68","2007-04-11",10.8
"69","2007-04-12",11.11
"70","2007-04-13",11.43
"71","2007-04-16",12.12
"72","2007-04-17",13.52
"73","2007-04-18",12.78
"74","2007-04-19",13.33
"75","2007-04-20",13.26
"76","2007-04-23",12.84
"77","2007-04-24",12.85
"78","2007-04-25",12.83
"79","2007-04-26",12.66
"80","2007-04-27",12.32
"81","2007-04-30",11.85
"82","2007-05-01",11.85
"83","2007-05-02",11.95
"84","2007-05-03",12.31
"85","2007-05-04",12.11
"86","2007-05-07",12.17
"87","2007-05-08",12.08
"88","2007-05-09",12.19
"89","2007-05-10",11.29
"90","2007-05-11",11.76
"91","2007-05-14",11.05
"92","2007-05-15",10.55
"93","2007-05-16",10.65
"94","2007-05-17",10.57
"95","2007-05-18",10.62
"96","2007-05-21",10.94
"97","2007-05-22",11.15
"98","2007-05-23",10.98
"99","2007-05-24",10.65
"100","2007-05-25",10.62
"101","2007-05-29",10.52
"102","2007-05-30",10.78
"103","2007-05-31",10.7
"104","2007-06-01",10.76
"105","2007-06-04",10.85
"106","2007-06-05",10.88
"107","2007-06-06",10.94
"108","2007-06-07",10.62
"109","2007-06-08",10.52
"110","2007-06-11",10.42
"111","2007-06-12",10.28
"112","2007-06-13",10.45
"113","2007-06-14",10.59
"114","2007-06-15",11.06
"115","2007-06-18",11.03
"116","2007-06-19",10.73
"117","2007-06-20",10.26
"118","2007-06-21",10.46
"119","2007-06-22",10.25
"120","2007-06-25",10.28
"121","2007-06-26",10.44
"122","2007-06-27",10.13
"123","2007-06-28",10.06
"124","2007-06-29",10.02
"125","2007-07-02",10.19
"126","2007-07-03",10.16
"127","2007-07-05",10.64
"128","2007-07-06",10.59
"129","2007-07-09",10.5
"130","2007-07-10",10.21
