"","date","VIAC"
"1","2019-12-05",40.860001
"2","2019-12-06",39.720001
"3","2019-12-09",38.639999
"4","2019-12-10",37.619999
"5","2019-12-11",37.290001
"6","2019-12-12",37.779999
"7","2019-12-13",38.639999
"8","2019-12-16",39.75
"9","2019-12-17",40.279999
"10","2019-12-18",41.150002
"11","2019-12-19",41.950001
"12","2019-12-20",42.389999
"13","2019-12-23",42.189999
"14","2019-12-24",42.02
"15","2019-12-26",42.66
"16","2019-12-27",41.759998
"17","2019-12-30",41.48
"18","2019-12-31",41.970001
"19","2020-01-02",42.09
"20","2020-01-03",41.450001
"21","2020-01-06",42.060001
"22","2020-01-07",42.130001
"23","2020-01-08",41.869999
"24","2020-01-09",40.810001
"25","2020-01-10",40.310001
"26","2020-01-13",40.799999
"27","2020-01-14",40.330002
"28","2020-01-15",39.689999
"29","2020-01-16",40.040001
"30","2020-01-17",39.490002
"31","2020-01-21",38.73
"32","2020-01-22",38.450001
"33","2020-01-23",36.990002
"34","2020-01-24",35.790001
"35","2020-01-27",35.130001
"36","2020-01-28",35.360001
"37","2020-01-29",34.689999
"38","2020-01-30",34.189999
"39","2020-01-31",34.130001
"40","2020-02-03",33.080002
"41","2020-02-04",33.57
"42","2020-02-05",34.34
"43","2020-02-06",34.599998
"44","2020-02-07",34.709999
"45","2020-02-10",34.209999
"46","2020-02-11",34.970001
"47","2020-02-12",35.290001
"48","2020-02-13",34.98
"49","2020-02-14",34.98
"50","2020-02-18",35.099998
"51","2020-02-19",35.669998
"52","2020-02-20",29.290001
"53","2020-02-21",28.26
"54","2020-02-24",26.93
"55","2020-02-25",25.360001
"56","2020-02-26",24.440001
"57","2020-02-27",23.889999
"58","2020-02-28",24.610001
"59","2020-03-02",24.309999
"60","2020-03-03",23.08
"61","2020-03-04",23.1
"62","2020-03-05",21.48
"63","2020-03-06",21.57
"64","2020-03-09",19.17
"65","2020-03-10",20.530001
"66","2020-03-11",19.799999
"67","2020-03-12",16.139999
"68","2020-03-13",16.4
"69","2020-03-16",13.61
"70","2020-03-17",12.74
"71","2020-03-18",12.21
"72","2020-03-19",12.62
"73","2020-03-20",11.97
"74","2020-03-23",11.28
"75","2020-03-24",14.75
"76","2020-03-25",14.74
"77","2020-03-26",13.99
"78","2020-03-27",12.79
"79","2020-03-30",14.09
"80","2020-03-31",14.01
"81","2020-04-01",12.78
"82","2020-04-02",12.76
"83","2020-04-03",12.43
"84","2020-04-06",13.94
"85","2020-04-07",14.69
"86","2020-04-08",15.8
"87","2020-04-09",16.559999
"88","2020-04-13",16.059999
"89","2020-04-14",16.27
"90","2020-04-15",15.2
"91","2020-04-16",14.63
"92","2020-04-17",15.8
"93","2020-04-20",15.52
"94","2020-04-21",15.15
"95","2020-04-22",14.93
"96","2020-04-23",15.52
"97","2020-04-24",15.63
"98","2020-04-27",16.98
"99","2020-04-28",17.450001
"100","2020-04-29",18.99
"101","2020-04-30",17.26
"102","2020-05-01",16.459999
"103","2020-05-04",16.1
"104","2020-05-05",15.26
"105","2020-05-06",14.88
"106","2020-05-07",16.42
"107","2020-05-08",18.08
"108","2020-05-11",18.040001
"109","2020-05-12",18.25
"110","2020-05-13",16.85
"111","2020-05-14",17.16
"112","2020-05-15",17.299999
"113","2020-05-18",19.049999
"114","2020-05-19",19.639999
"115","2020-05-20",19.629999
"116","2020-05-21",19.84
"117","2020-05-22",19.59
"118","2020-05-26",20.370001
"119","2020-05-27",22.01
"120","2020-05-28",21.200001
"121","2020-05-29",20.74
"122","2020-06-01",21.530001
"123","2020-06-02",21.84
"124","2020-06-03",22.719999
"125","2020-06-04",24.120001
"126","2020-06-05",NA
"127","2020-06-08",NA
"128","2020-06-09",NA
"129","2020-06-10",NA
"130","2020-06-11",NA
"131","2020-06-12",NA
"132","2020-06-15",NA
"133","2020-06-16",NA
"134","2020-06-17",NA
"135","2020-06-18",NA
"136","2020-06-19",NA
"137","2020-06-22",NA
"138","2020-06-23",23.709999
"139","2020-06-24",23.58
