"","date","ISRG"
"1","2007-01-03",31.493334
"2","2007-01-04",31.733334
"3","2007-01-05",31.360001
"4","2007-01-08",30.4
"5","2007-01-09",29.790001
"6","2007-01-10",29.036667
"7","2007-01-11",30.413334
"8","2007-01-12",31.343334
"9","2007-01-16",31.036667
"10","2007-01-17",31.583334
"11","2007-01-18",31.186666
"12","2007-01-19",31.136667
"13","2007-01-22",32.360001
"14","2007-01-23",32.533333
"15","2007-01-24",32.286667
"16","2007-01-25",31.719999
"17","2007-01-26",31.66
"18","2007-01-29",32.506668
"19","2007-01-30",32.733334
"20","2007-01-31",32.803333
"21","2007-02-01",33.106667
"22","2007-02-02",38.923332
"23","2007-02-05",38.283333
"24","2007-02-06",38.5
"25","2007-02-07",38.176666
"26","2007-02-08",38.173332
"27","2007-02-09",37.353333
"28","2007-02-12",37.833332
"29","2007-02-13",37.733334
"30","2007-02-14",37.946667
"31","2007-02-15",37.553333
"32","2007-02-16",38.136665
"33","2007-02-20",38.333332
"34","2007-02-21",38.293335
"35","2007-02-22",37.896667
"36","2007-02-23",37.693333
"37","2007-02-26",37.75
"38","2007-02-27",36.503334
"39","2007-02-28",37.033333
"40","2007-03-01",36.333332
"41","2007-03-02",35.84
"42","2007-03-05",34.743332
"43","2007-03-06",36.173332
"44","2007-03-07",36.080002
"45","2007-03-08",36.639999
"46","2007-03-09",36.916668
"47","2007-03-12",36.746666
"48","2007-03-13",35.966667
"49","2007-03-14",36.306667
"50","2007-03-15",37.196667
"51","2007-03-16",37.223331
"52","2007-03-19",38.076668
"53","2007-03-20",38.543335
"54","2007-03-21",38.733334
"55","2007-03-22",40.220001
"56","2007-03-23",40.556667
"57","2007-03-26",41.126667
"58","2007-03-27",41.103333
"59","2007-03-28",40.790001
"60","2007-03-29",41.003334
"61","2007-03-30",40.523335
"62","2007-04-02",40.646667
"63","2007-04-03",41.09
"64","2007-04-04",41.706665
"65","2007-04-05",41.506668
"66","2007-04-09",41.256668
"67","2007-04-10",40.939999
"68","2007-04-11",41.003334
"69","2007-04-12",41.063332
"70","2007-04-13",41.580002
"71","2007-04-16",41.830002
"72","2007-04-17",41.75
"73","2007-04-18",40.836666
"74","2007-04-19",40.396667
"75","2007-04-20",43.916668
"76","2007-04-23",44.75
"77","2007-04-24",44.470001
"78","2007-04-25",44.576668
"79","2007-04-26",44.646667
"80","2007-04-27",44.436668
"81","2007-04-30",43.220001
"82","2007-05-01",43.689999
"83","2007-05-02",44.693333
"84","2007-05-03",45.150002
"85","2007-05-04",44.646667
"86","2007-05-07",44.816666
"87","2007-05-08",44.823334
"88","2007-05-09",45.003334
"89","2007-05-10",43.603333
"90","2007-05-11",43.633335
"91","2007-05-14",43.406666
"92","2007-05-15",43.393333
"93","2007-05-16",43.116665
"94","2007-05-17",43.09
"95","2007-05-18",44.213333
"96","2007-05-21",44.306667
"97","2007-05-22",44.529999
"98","2007-05-23",45.696667
"99","2007-05-24",45.52
"100","2007-05-25",45.663334
"101","2007-05-29",45.566666
"102","2007-05-30",45.896667
"103","2007-05-31",45.876667
"104","2007-06-01",46.343334
"105","2007-06-04",47.796665
"106","2007-06-05",47.563332
"107","2007-06-06",46.903332
"108","2007-06-07",45.776669
"109","2007-06-08",46.333332
"110","2007-06-11",46.77
"111","2007-06-12",45.98
"112","2007-06-13",46.693333
"113","2007-06-14",47.086666
"114","2007-06-15",46.853333
