"","date","MSB"
"1","2007-01-03",26.43
"2","2007-01-04",27.17
"3","2007-01-05",26.959999
"4","2007-01-08",27.370001
"5","2007-01-09",27.459999
"6","2007-01-10",27.959999
"7","2007-01-11",28.23
"8","2007-01-12",28.93
"9","2007-01-16",24.43
"10","2007-01-17",25.450001
"11","2007-01-18",25.459999
"12","2007-01-19",25.51
"13","2007-01-22",24.709999
"14","2007-01-23",25.200001
"15","2007-01-24",25.41
"16","2007-01-25",25.51
"17","2007-01-26",25.120001
"18","2007-01-29",24.43
"19","2007-01-30",25.120001
"20","2007-01-31",25.33
"21","2007-02-01",25.879999
"22","2007-02-02",24.110001
"23","2007-02-05",22.83
"24","2007-02-06",23.530001
"25","2007-02-07",23.190001
"26","2007-02-08",22.58
"27","2007-02-09",22.879999
"28","2007-02-12",22.610001
"29","2007-02-13",23.1
"30","2007-02-14",22.98
"31","2007-02-15",22.530001
"32","2007-02-16",22.469999
"33","2007-02-20",23.35
"34","2007-02-21",23.120001
"35","2007-02-22",23.530001
"36","2007-02-23",23.549999
"37","2007-02-26",23.700001
"38","2007-02-27",22.459999
"39","2007-02-28",23.5
"40","2007-03-01",23.1
"41","2007-03-02",22.719999
"42","2007-03-05",20.85
"43","2007-03-06",21.74
"44","2007-03-07",22.43
"45","2007-03-08",22.35
"46","2007-03-09",22.700001
"47","2007-03-12",22.870001
"48","2007-03-13",22.27
"49","2007-03-14",22.540001
"50","2007-03-15",22.85
"51","2007-03-16",23.040001
"52","2007-03-19",23.200001
"53","2007-03-20",23.25
"54","2007-03-21",24.030001
"55","2007-03-22",23.84
"56","2007-03-23",23.639999
"57","2007-03-26",24.01
"58","2007-03-27",23.99
"59","2007-03-28",23.950001
"60","2007-03-29",23.65
"61","2007-03-30",23.5
"62","2007-04-02",23.459999
"63","2007-04-03",23.32
"64","2007-04-04",23.540001
"65","2007-04-05",23.41
"66","2007-04-09",23.35
"67","2007-04-10",23.15
"68","2007-04-11",22.98
"69","2007-04-12",22.879999
"70","2007-04-13",22.030001
"71","2007-04-16",20.5
"72","2007-04-17",20.450001
"73","2007-04-18",20.16
"74","2007-04-19",19.73
"75","2007-04-20",21.17
"76","2007-04-23",21.219999
"77","2007-04-24",21.17
"78","2007-04-25",21.25
"79","2007-04-26",20.52
"80","2007-04-27",21.030001
"81","2007-04-30",20.76
"82","2007-05-01",20.120001
"83","2007-05-02",20.35
"84","2007-05-03",20.379999
"85","2007-05-04",20.040001
"86","2007-05-07",20.43
"87","2007-05-08",20.43
"88","2007-05-09",21.459999
"89","2007-05-10",20.76
"90","2007-05-11",20.690001
"91","2007-05-14",20.540001
"92","2007-05-15",20.52
"93","2007-05-16",20.74
"94","2007-05-17",20.4
"95","2007-05-18",20.809999
"96","2007-05-21",21.639999
"97","2007-05-22",21.15
"98","2007-05-23",21.559999
"99","2007-05-24",20.969999
"100","2007-05-25",21.6
"101","2007-05-29",21.530001
"102","2007-05-30",21.23
"103","2007-05-31",21.83
"104","2007-06-01",22.799999
"105","2007-06-04",22.030001
"106","2007-06-05",21.870001
"107","2007-06-06",21.9
"108","2007-06-07",21.49
"109","2007-06-08",21.459999
"110","2007-06-11",21.77
"111","2007-06-12",21.370001
"112","2007-06-13",21.68
"113","2007-06-14",22.290001
"114","2007-06-15",22.32
"115","2007-06-18",21.82
"116","2007-06-19",21.34
"117","2007-06-20",21.299999
"118","2007-06-21",21.379999
"119","2007-06-22",20.809999
"120","2007-06-25",20.799999
"121","2007-06-26",20.610001
"122","2007-06-27",20.709999
"123","2007-06-28",20.629999
"124","2007-06-29",20.75
"125","2007-07-02",20.73
"126","2007-07-03",21.299999
"127","2007-07-05",21.540001
"128","2007-07-06",20.950001
"129","2007-07-09",20.549999
"130","2007-07-10",20.809999
"131","2007-07-11",21.32
"132","2007-07-12",21.77
"133","2007-07-13",21.49
"134","2007-07-16",21.16
"135","2007-07-17",20.879999
"136","2007-07-18",20.58
"137","2007-07-19",20.610001
"138","2007-07-20",20.66
