"","date","PRMW"
"1","2020-03-04",15.41
"2","2020-03-05",15.3
"3","2020-03-06",15.09
"4","2020-03-09",14.09
"5","2020-03-10",14.67
"6","2020-03-11",13.58
"7","2020-03-12",11.7
"8","2020-03-13",13.32
"9","2020-03-16",10.39
"10","2020-03-17",8.57
"11","2020-03-18",7.14
"12","2020-03-19",8.78
"13","2020-03-20",8.21
"14","2020-03-23",8.24
"15","2020-03-24",8.61
"16","2020-03-25",8.75
"17","2020-03-26",8.92
"18","2020-03-27",8.77
"19","2020-03-30",9
"20","2020-03-31",9.06
"21","2020-04-01",8.92
"22","2020-04-02",9.28
"23","2020-04-03",8.64
"24","2020-04-06",8.82
"25","2020-04-07",8.87
"26","2020-04-08",9.13
"27","2020-04-09",9.43
"28","2020-04-13",9.58
"29","2020-04-14",9.66
"30","2020-04-15",9.06
"31","2020-04-16",9.36
"32","2020-04-17",9.66
"33","2020-04-20",9.64
"34","2020-04-21",9.31
"35","2020-04-22",9.25
"36","2020-04-23",9.5
"37","2020-04-24",9.73
"38","2020-04-27",9.92
"39","2020-04-28",10.2
"40","2020-04-29",10.41
"41","2020-04-30",10.26
"42","2020-05-01",10.06
"43","2020-05-04",9.76
"44","2020-05-05",9.85
"45","2020-05-06",9.49
"46","2020-05-07",10.75
"47","2020-05-08",11.31
"48","2020-05-11",10.67
"49","2020-05-12",10.71
"50","2020-05-13",10.07
"51","2020-05-14",10.21
"52","2020-05-15",10.08
"53","2020-05-18",10.55
"54","2020-05-19",11.03
"55","2020-05-20",11.56
"56","2020-05-21",11.32
"57","2020-05-22",11.34
"58","2020-05-26",11.55
"59","2020-05-27",12.11
"60","2020-05-28",11.74
"61","2020-05-29",12.03
"62","2020-06-01",12.45
"63","2020-06-02",12.42
"64","2020-06-03",12.31
"65","2020-06-04",12.46
"66","2020-06-05",12.44
"67","2020-06-08",12.99
"68","2020-06-09",12.87
"69","2020-06-10",12.64
"70","2020-06-11",12.55
"71","2020-06-12",12.56
"72","2020-06-15",12.99
"73","2020-06-16",13.33
"74","2020-06-17",13.2
"75","2020-06-18",13.7
"76","2020-06-19",14.1
"77","2020-06-22",14.43
"78","2020-06-23",14.59
"79","2020-06-24",14.61
"80","2020-06-25",14.4
"81","2020-06-26",13.63
"82","2020-06-29",13.41
"83","2020-06-30",13.75
"84","2020-07-01",13.74
"85","2020-07-02",13.74
"86","2020-07-06",13.81
"87","2020-07-07",13.64
"88","2020-07-08",13.5
"89","2020-07-09",13.43
"90","2020-07-10",13.28
"91","2020-07-13",13.24
"92","2020-07-14",13.72
"93","2020-07-15",13.81
"94","2020-07-16",13.74
"95","2020-07-17",13.71
"96","2020-07-20",13.71
"97","2020-07-21",14.04
"98","2020-07-22",14.11
"99","2020-07-23",14.02
"100","2020-07-24",13.92
"101","2020-07-27",14.23
"102","2020-07-28",14.08
"103","2020-07-29",14.14
"104","2020-07-30",14.3
"105","2020-07-31",14.21
"106","2020-08-03",14.14
"107","2020-08-04",14.15
"108","2020-08-05",14.59
"109","2020-08-06",14.4
"110","2020-08-07",14.32
"111","2020-08-10",14.57
"112","2020-08-11",14.89
"113","2020-08-12",15.09
"114","2020-08-13",14.92
"115","2020-08-14",14.76
"116","2020-08-17",14.71
"117","2020-08-18",14.75
"118","2020-08-19",14.57
"119","2020-08-20",14.48
"120","2020-08-21",14.2
"121","2020-08-24",14.3
"122","2020-08-25",14.21
"123","2020-08-26",13.97
"124","2020-08-27",13.89
"125","2020-08-28",14
"126","2020-08-31",13.68
"127","2020-09-01",14.01
"128","2020-09-02",14.12
"129","2020-09-03",13.98
"130","2020-09-04",13.92
"131","2020-09-08",13.52
"132","2020-09-09",13.75
"133","2020-09-10",13.67
"134","2020-09-11",14
"135","2020-09-14",14.44
"136","2020-09-15",14.5
"137","2020-09-16",14.45
"138","2020-09-17",14.6
"139","2020-09-18",14.6
"140","2020-09-21",14.25
"141","2020-09-22",14.38
"142","2020-09-23",13.92
"143","2020-09-24",13.71
"144","2020-09-25",13.84
"145","2020-09-28",14.19
"146","2020-09-29",13.95
"147","2020-09-30",14.2
"148","2020-10-01",14.26
"149","2020-10-02",14.2
"150","2020-10-05",14.28
"151","2020-10-06",14.25
"152","2020-10-07",14.45
"153","2020-10-08",14.44
"154","2020-10-09",14.4
"155","2020-10-12",14.54
"156","2020-10-13",14.4
"157","2020-10-14",14.23
"158","2020-10-15",14.1
"159","2020-10-16",14.21
"160","2020-10-19",13.96
"161","2020-10-20",13.94
"162","2020-10-21",13.78
"163","2020-10-22",13.83
"164","2020-10-23",13.88
"165","2020-10-26",13.74
"166","2020-10-27",13.27
"167","2020-10-28",12.72
"168","2020-10-29",12.67
"169","2020-10-30",12.53
"170","2020-11-02",12.72
"171","2020-11-03",12.9
"172","2020-11-04",13.43
"173","2020-11-05",14
"174","2020-11-06",13.93
"175","2020-11-09",14.67
"176","2020-11-10",14.71
"177","2020-11-11",14.86
"178","2020-11-12",14.59
"179","2020-11-13",14.91
"180","2020-11-16",15.1
"181","2020-11-17",15.08
"182","2020-11-18",14.86
"183","2020-11-19",14.94
"184","2020-11-20",14.79
"185","2020-11-23",14.77
"186","2020-11-24",14.93
"187","2020-11-25",15
"188","2020-11-27",15.02
