"","date","HAYN"
"1","2007-03-21",67.860001
"2","2007-03-22",70.68
"3","2007-03-23",71
"4","2007-03-26",73.029999
"5","2007-03-27",73.989998
"6","2007-03-28",71.230003
"7","2007-03-29",71.709999
"8","2007-03-30",72.93
"9","2007-04-02",72.5
"10","2007-04-03",71.089996
"11","2007-04-04",74.589996
"12","2007-04-05",74.400002
"13","2007-04-09",76.629997
"14","2007-04-10",76.989998
"15","2007-04-11",75.82
"16","2007-04-12",77.300003
"17","2007-04-13",77.419998
"18","2007-04-16",79.809998
"19","2007-04-17",80
"20","2007-04-18",79.75
"21","2007-04-19",78.82
"22","2007-04-20",78.599998
"23","2007-04-23",77.5
"24","2007-04-24",76.959999
"25","2007-04-25",78.550003
"26","2007-04-26",78.120003
"27","2007-04-27",79.139999
"28","2007-04-30",77.959999
"29","2007-05-01",76.889999
"30","2007-05-02",78.43
"31","2007-05-03",77.209999
"32","2007-05-04",77.970001
"33","2007-05-07",78.949997
"34","2007-05-08",84.480003
"35","2007-05-09",91
"36","2007-05-10",90.269997
"37","2007-05-11",89.660004
"38","2007-05-14",89.68
"39","2007-05-15",88.690002
"40","2007-05-16",88.709999
"41","2007-05-17",87.860001
"42","2007-05-18",89
"43","2007-05-21",89.940002
"44","2007-05-22",88.25
"45","2007-05-23",86.550003
"46","2007-05-24",83.720001
"47","2007-05-25",85.199997
"48","2007-05-29",87.129997
"49","2007-05-30",87
"50","2007-05-31",88.660004
"51","2007-06-01",89.75
"52","2007-06-04",88.339996
"53","2007-06-05",87.860001
"54","2007-06-06",87.089996
"55","2007-06-07",86.449997
"56","2007-06-08",87.379997
"57","2007-06-11",85.889999
"58","2007-06-12",82.5
"59","2007-06-13",82.25
"60","2007-06-14",82.5
"61","2007-06-15",82.599998
"62","2007-06-18",83.839996
"63","2007-06-19",87.860001
"64","2007-06-20",87.860001
"65","2007-06-21",89.080002
"66","2007-06-22",90
"67","2007-06-25",87.010002
"68","2007-06-26",87.349998
"69","2007-06-27",87.5
"70","2007-06-28",86
"71","2007-06-29",84.43
"72","2007-07-02",86.559998
"73","2007-07-03",85.559998
"74","2007-07-05",86.099998
"75","2007-07-06",91.300003
