"","date","BIGC"
"1","2020-08-05",72.269997
"2","2020-08-06",93.510002
"3","2020-08-07",79
"4","2020-08-10",76.720001
"5","2020-08-11",72.57
"6","2020-08-12",79.800003
"7","2020-08-13",76.199997
"8","2020-08-14",75.309998
"9","2020-08-17",73.68
"10","2020-08-18",71.800003
"11","2020-08-19",65.550003
"12","2020-08-20",64.5
"13","2020-08-21",76.099998
"14","2020-08-24",76.050003
"15","2020-08-25",104.089996
"16","2020-08-26",139
"17","2020-08-27",141
"18","2020-08-28",130.979996
"19","2020-08-31",117.800003
"20","2020-09-01",111.989998
"21","2020-09-02",112
"22","2020-09-03",93.489998
"23","2020-09-04",106.980003
"24","2020-09-08",95.339996
"25","2020-09-09",91.5
"26","2020-09-10",83.160004
"27","2020-09-11",82.870003
"28","2020-09-14",81.75
"29","2020-09-15",84.379997
"30","2020-09-16",80.260002
"31","2020-09-17",74.010002
"32","2020-09-18",74.959999
"33","2020-09-21",76.099998
"34","2020-09-22",76.089996
"35","2020-09-23",78.32
"36","2020-09-24",77.540001
"37","2020-09-25",79.989998
"38","2020-09-28",78.550003
"39","2020-09-29",87.790001
"40","2020-09-30",83.300003
"41","2020-10-01",89.169998
"42","2020-10-02",84.669998
"43","2020-10-05",92.389999
"44","2020-10-06",87.599998
"45","2020-10-07",92.800003
"46","2020-10-08",91.110001
"47","2020-10-09",97.760002
"48","2020-10-12",101.32
"49","2020-10-13",102.139999
"50","2020-10-14",105.989998
"51","2020-10-15",105.629997
"52","2020-10-16",102.940002
"53","2020-10-19",94.739998
"54","2020-10-20",91.389999
"55","2020-10-21",95.790001
"56","2020-10-22",89.949997
"57","2020-10-23",90.110001
"58","2020-10-26",83.309998
"59","2020-10-27",83.800003
"60","2020-10-28",79.650002
"61","2020-10-29",80.5
"62","2020-10-30",73.400002
"63","2020-11-02",72.480003
"64","2020-11-03",77.419998
"65","2020-11-04",82.599998
"66","2020-11-05",85.339996
"67","2020-11-06",79.5
"68","2020-11-09",72.410004
"69","2020-11-10",74.620003
"70","2020-11-11",72.800003
"71","2020-11-12",73.32
"72","2020-11-13",66.790001
"73","2020-11-16",65.540001
"74","2020-11-17",67.5
"75","2020-11-18",67.959999
"76","2020-11-19",67.489998
"77","2020-11-20",67.629997
"78","2020-11-23",75.389999
"79","2020-11-24",80.550003
"80","2020-11-25",79.459999
"81","2020-11-27",80.120003
