"","date","SYNH"
"1","2014-11-07",20.49
"2","2014-11-10",20.67
"3","2014-11-11",20.959999
"4","2014-11-12",20.9
"5","2014-11-13",21.35
"6","2014-11-14",22.209999
"7","2014-11-17",22.1
"8","2014-11-18",22.690001
"9","2014-11-19",22.559999
"10","2014-11-20",22.6
"11","2014-11-21",23.57
"12","2014-11-24",23.99
"13","2014-11-25",23.959999
"14","2014-11-26",24
"15","2014-11-28",24.389999
"16","2014-12-01",24
"17","2014-12-02",24.200001
"18","2014-12-03",24.99
"19","2014-12-04",23.98
"20","2014-12-05",23.559999
"21","2014-12-08",24.610001
"22","2014-12-09",24.940001
"23","2014-12-10",24.84
"24","2014-12-11",24.15
"25","2014-12-12",22.77
"26","2014-12-15",23.450001
"27","2014-12-16",23.620001
"28","2014-12-17",23.83
"29","2014-12-18",24.48
"30","2014-12-19",24.879999
"31","2014-12-22",25.129999
"32","2014-12-23",25.690001
"33","2014-12-24",26.129999
"34","2014-12-26",25.91
"35","2014-12-29",26.655001
"36","2014-12-30",26.07
"37","2014-12-31",25.690001
"38","2015-01-02",24.93
"39","2015-01-05",25.129999
"40","2015-01-06",25.51
"41","2015-01-07",25.6
"42","2015-01-08",26.84
"43","2015-01-09",27.33
"44","2015-01-12",27.59
"45","2015-01-13",26.9
"46","2015-01-14",26.91
"47","2015-01-15",26.879999
"48","2015-01-16",26.959999
"49","2015-01-20",26.200001
"50","2015-01-21",25.5
"51","2015-01-22",24.58
"52","2015-01-23",23.75
"53","2015-01-26",24.85
"54","2015-01-27",24.59
"55","2015-01-28",24.700001
"56","2015-01-29",24.15
"57","2015-01-30",23.299999
"58","2015-02-02",23.110001
"59","2015-02-03",23.030001
"60","2015-02-04",23.42
"61","2015-02-05",23.940001
"62","2015-02-06",22.709999
"63","2015-02-09",22.629999
"64","2015-02-10",22.82
"65","2015-02-11",22.68
"66","2015-02-12",24.639999
"67","2015-02-13",24.190001
"68","2015-02-17",25.15
"69","2015-02-18",24.83
"70","2015-02-19",25.559999
"71","2015-02-20",25.610001
"72","2015-02-23",25.99
"73","2015-02-24",27.93
"74","2015-02-25",30.889999
"75","2015-02-26",30.51
"76","2015-02-27",29.93
"77","2015-03-02",29.98
"78","2015-03-03",29.65
"79","2015-03-04",29.49
"80","2015-03-05",29.889999
"81","2015-03-06",30.280001
"82","2015-03-09",30.549999
"83","2015-03-10",30.41
"84","2015-03-11",30.709999
"85","2015-03-12",31.889999
"86","2015-03-13",31.780001
"87","2015-03-16",31.98
"88","2015-03-17",31.43
"89","2015-03-18",32.119999
"90","2015-03-19",33.080002
"91","2015-03-20",32.919998
"92","2015-03-23",32.990002
"93","2015-03-24",32.990002
"94","2015-03-25",31.620001
"95","2015-03-26",32.009998
"96","2015-03-27",31.940001
"97","2015-03-30",32.57
"98","2015-03-31",32.73
"99","2015-04-01",32
