"","date","EKSO"
"223","2014-12-04",157.5
"224","2014-12-05",157.5
"225","2014-12-08",162.75
"226","2014-12-09",161.699997
"227","2014-12-10",161.699997
"228","2014-12-11",151.199997
"229","2014-12-12",155.399994
"230","2014-12-15",141.75
"231","2014-12-16",120.75
"232","2014-12-17",129.149994
"233","2014-12-18",130.199997
"234","2014-12-19",151.199997
"235","2014-12-22",132.300003
"236","2014-12-23",137.550003
"237","2014-12-24",143.850006
"238","2014-12-26",151.199997
"239","2014-12-29",144.899994
"240","2014-12-30",148.050003
"241","2014-12-31",142.800003
"242","2015-01-02",143.850006
"243","2015-01-05",141.75
"244","2015-01-06",138.600006
"245","2015-01-07",140.699997
"246","2015-01-08",141.75
"247","2015-01-09",150.149994
"248","2015-01-12",147
"249","2015-01-13",132.300003
"250","2015-01-14",134.399994
"251","2015-01-15",134.399994
"252","2015-01-16",135.449997
"253","2015-01-20",142.485001
"254","2015-01-21",139.440002
"255","2015-01-22",134.399994
"256","2015-01-23",130.199997
"257","2015-01-26",131.25
"258","2015-01-27",126.945
"259","2015-01-28",124.739998
"260","2015-01-29",121.800003
"261","2015-01-30",147
"262","2015-02-02",152.25
"263","2015-02-03",147
"264","2015-02-04",144.375
"265","2015-02-05",145.949997
"266","2015-02-06",147
"267","2015-02-09",144.899994
"268","2015-02-10",139.649994
"269","2015-02-11",137.550003
"270","2015-02-12",136.5
"271","2015-02-13",139.649994
"272","2015-02-17",134.399994
"273","2015-02-18",145.949997
"274","2015-02-19",138.600006
"275","2015-02-20",137.550003
"276","2015-02-23",133.350006
"277","2015-02-24",132.300003
"278","2015-02-25",132.300003
"279","2015-02-26",133.350006
"280","2015-02-27",135.554993
"281","2015-03-02",134.399994
"282","2015-03-03",131.25
"283","2015-03-04",128.100006
"284","2015-03-05",132.300003
"285","2015-03-06",134.399994
"286","2015-03-09",129.149994
"287","2015-03-10",128.100006
"288","2015-03-11",130.199997
"289","2015-03-12",129.149994
"290","2015-03-13",135.449997
"291","2015-03-16",136.5
"292","2015-03-17",140.699997
"293","2015-03-18",128.625
"294","2015-03-19",128.100006
"295","2015-03-20",130.199997
"296","2015-03-23",131.25
"297","2015-03-24",129.149994
"298","2015-03-25",132.300003
"299","2015-03-26",137.550003
"300","2015-03-27",145.949997
"301","2015-03-30",153.300003
"302","2015-03-31",162.75
"303","2015-04-01",208.949997
"304","2015-04-02",219.449997
"305","2015-04-06",196.350006
"306","2015-04-07",196.350006
"307","2015-04-08",201.600006
"308","2015-04-09",208.949997
"309","2015-04-10",203.699997
"310","2015-04-13",211.050003
"311","2015-04-14",211.050003
"312","2015-04-15",208.949997
"313","2015-04-16",204.75
"314","2015-04-17",206.850006
"315","2015-04-20",202.649994
"316","2015-04-21",197.399994
"317","2015-04-22",177.449997
"318","2015-04-23",177.449997
"319","2015-04-24",171.149994
"320","2015-04-27",176.399994
"321","2015-04-28",172.199997
