"","date","FSS"
"1","2007-01-03",16.120001
"2","2007-01-04",16.219999
"3","2007-01-05",15.95
"4","2007-01-08",16.02
"5","2007-01-09",16.1
"6","2007-01-10",16.209999
"7","2007-01-11",16.67
"8","2007-01-12",16.66
"9","2007-01-16",16.73
"10","2007-01-17",16.530001
"11","2007-01-18",16.17
"12","2007-01-19",16.41
"13","2007-01-22",16.030001
"14","2007-01-23",16.139999
"15","2007-01-24",16.43
"16","2007-01-25",16.049999
"17","2007-01-26",16.26
"18","2007-01-29",16.32
"19","2007-01-30",16.450001
"20","2007-01-31",16.42
"21","2007-02-01",16.459999
"22","2007-02-02",16.52
"23","2007-02-05",16.190001
"24","2007-02-06",16.440001
"25","2007-02-07",16.57
"26","2007-02-08",16.58
"27","2007-02-09",16.24
"28","2007-02-12",16.139999
"29","2007-02-13",16.52
"30","2007-02-14",16.6
"31","2007-02-15",16.469999
"32","2007-02-16",16.620001
"33","2007-02-20",16.68
"34","2007-02-21",16.84
"35","2007-02-22",16.799999
"36","2007-02-23",16.450001
"37","2007-02-26",16.1
"38","2007-02-27",15.09
"39","2007-02-28",15.04
"40","2007-03-01",15.25
"41","2007-03-02",14.73
"42","2007-03-05",14.33
"43","2007-03-06",14.61
"44","2007-03-07",14.64
"45","2007-03-08",14.59
"46","2007-03-09",14.86
"47","2007-03-12",14.97
"48","2007-03-13",14.97
"49","2007-03-14",15
"50","2007-03-15",15.5
"51","2007-03-16",15.37
"52","2007-03-19",15.57
"53","2007-03-20",15.74
"54","2007-03-21",15.98
"55","2007-03-22",16.040001
"56","2007-03-23",16.01
"57","2007-03-26",15.82
"58","2007-03-27",15.52
"59","2007-03-28",15.41
"60","2007-03-29",15.52
"61","2007-03-30",15.52
"62","2007-04-02",15.62
"63","2007-04-03",15.69
"64","2007-04-04",15.78
"65","2007-04-05",15.9
"66","2007-04-09",15.83
"67","2007-04-10",15.97
"68","2007-04-11",15.78
"69","2007-04-12",15.97
"70","2007-04-13",16.1
"71","2007-04-16",16.48
"72","2007-04-17",16.469999
"73","2007-04-18",16.309999
