"","date","KN"
"1","2014-02-14",28.690001
"2","2014-02-18",28.34
"3","2014-02-19",28.370001
"4","2014-02-20",29.09
"5","2014-02-21",29
"6","2014-02-24",29.02
"7","2014-02-25",29.290001
"8","2014-02-26",30
"9","2014-02-27",29.860001
"10","2014-02-28",32.150002
"11","2014-03-03",31.299999
"12","2014-03-04",30.57
"13","2014-03-05",30.299999
"14","2014-03-06",30.25
"15","2014-03-07",29.530001
"16","2014-03-10",28.540001
"17","2014-03-11",28.969999
"18","2014-03-12",30.25
"19","2014-03-13",31.17
"20","2014-03-14",31.02
"21","2014-03-17",31.43
"22","2014-03-18",32.91
"23","2014-03-19",32.009998
"24","2014-03-20",31.48
"25","2014-03-21",31.92
"26","2014-03-24",31.51
"27","2014-03-25",32.049999
"28","2014-03-26",31.530001
"29","2014-03-27",31.610001
"30","2014-03-28",31.6
"31","2014-03-31",31.57
"32","2014-04-01",31.58
"33","2014-04-02",31.610001
"34","2014-04-03",31.65
"35","2014-04-04",31.25
"36","2014-04-07",31.08
"37","2014-04-08",31.290001
"38","2014-04-09",31.639999
"39","2014-04-10",31.360001
"40","2014-04-11",30.82
"41","2014-04-14",30.200001
"42","2014-04-15",30.459999
"43","2014-04-16",29.99
"44","2014-04-17",30.68
"45","2014-04-21",30.6
"46","2014-04-22",30.790001
"47","2014-04-23",31.4
"48","2014-04-24",31.469999
"49","2014-04-25",31.309999
"50","2014-04-28",30.92
"51","2014-04-29",29.52
"52","2014-04-30",27.93
"53","2014-05-01",28.34
"54","2014-05-02",29.07
"55","2014-05-05",28.58
"56","2014-05-06",29.389999
"57","2014-05-07",29.889999
"58","2014-05-08",29.26
"59","2014-05-09",29.66
"60","2014-05-12",30.15
"61","2014-05-13",30.18
"62","2014-05-14",30.08
"63","2014-05-15",30.219999
"64","2014-05-16",29.9
"65","2014-05-19",29.860001
"66","2014-05-20",29.540001
"67","2014-05-21",29.120001
"68","2014-05-22",28.9
"69","2014-05-23",28.68
"70","2014-05-27",28.16
"71","2014-05-28",28.200001
