"","date","MMS"
"1","2007-01-03",7.5575
"2","2007-01-04",7.5925
"3","2007-01-05",7.51
"4","2007-01-08",7.52
"5","2007-01-09",7.5225
"6","2007-01-10",7.62
"7","2007-01-11",7.75
"8","2007-01-12",7.7075
"9","2007-01-16",7.6325
"10","2007-01-17",7.5325
"11","2007-01-18",7.4425
"12","2007-01-19",7.4825
"13","2007-01-22",7.485
"14","2007-01-23",7.4875
"15","2007-01-24",7.6
"16","2007-01-25",7.4475
"17","2007-01-26",7.4925
"18","2007-01-29",7.5
"19","2007-01-30",7.5675
"20","2007-01-31",7.5375
"21","2007-02-01",7.5675
"22","2007-02-02",7.71
"23","2007-02-05",7.6375
"24","2007-02-06",7.4975
"25","2007-02-07",7.6125
"26","2007-02-08",7.2625
"27","2007-02-09",7.3725
"28","2007-02-12",7.335
"29","2007-02-13",7.4375
"30","2007-02-14",7.4325
"31","2007-02-15",7.415
"32","2007-02-16",7.5025
"33","2007-02-20",7.6075
"34","2007-02-21",7.6625
"35","2007-02-22",7.6625
"36","2007-02-23",7.6975
"37","2007-02-26",7.73
"38","2007-02-27",7.5625
"39","2007-02-28",7.535
"40","2007-03-01",7.445
"41","2007-03-02",7.32
"42","2007-03-05",7.235
"43","2007-03-06",7.4725
"44","2007-03-07",7.56
"45","2007-03-08",7.54
"46","2007-03-09",7.5525
"47","2007-03-12",7.6075
"48","2007-03-13",8.2625
"49","2007-03-14",8.3975
"50","2007-03-15",8.475
"51","2007-03-16",8.5
"52","2007-03-19",8.5275
"53","2007-03-20",8.45
"54","2007-03-21",8.5325
"55","2007-03-22",8.685
"56","2007-03-23",8.715
"57","2007-03-26",8.8
"58","2007-03-27",8.7425
"59","2007-03-28",8.72
"60","2007-03-29",8.59
"61","2007-03-30",8.62
"62","2007-04-02",8.6625
"63","2007-04-03",8.725
"64","2007-04-04",8.7375
"65","2007-04-05",8.73
"66","2007-04-09",8.7325
"67","2007-04-10",8.7625
"68","2007-04-11",8.775
"69","2007-04-12",8.7625
"70","2007-04-13",8.77
"71","2007-04-16",8.8325
"72","2007-04-17",8.86
"73","2007-04-18",8.8
"74","2007-04-19",8.775
"75","2007-04-20",8.9225
"76","2007-04-23",8.8825
"77","2007-04-24",8.875
"78","2007-04-25",8.925
"79","2007-04-26",8.9
"80","2007-04-27",8.8625
"81","2007-04-30",8.735
"82","2007-05-01",8.6775
"83","2007-05-02",8.78
"84","2007-05-03",8.93
"85","2007-05-04",8.865
"86","2007-05-07",8.86
"87","2007-05-08",9
"88","2007-05-09",9.5475
"89","2007-05-10",9.9825
"90","2007-05-11",10.125
"91","2007-05-14",10.095
"92","2007-05-15",9.97
"93","2007-05-16",10.455
"94","2007-05-17",10.51
"95","2007-05-18",10.4825
"96","2007-05-21",10.5
"97","2007-05-22",10.8675
"98","2007-05-23",10.4125
"99","2007-05-24",10.4275
"100","2007-05-25",10.54
"101","2007-05-29",10.54
"102","2007-05-30",10.675
"103","2007-05-31",10.805
"104","2007-06-01",10.905
"105","2007-06-04",11.0175
"106","2007-06-05",11.0375
"107","2007-06-06",11.0225
"108","2007-06-07",10.6425
"109","2007-06-08",10.925
"110","2007-06-11",10.8875
"111","2007-06-12",10.7125
"112","2007-06-13",10.8375
"113","2007-06-14",10.905
"114","2007-06-15",10.8875
"115","2007-06-18",10.87
"116","2007-06-19",10.895
"117","2007-06-20",10.825
"118","2007-06-21",10.8525
"119","2007-06-22",10.8225
"120","2007-06-25",10.71
"121","2007-06-26",11.01
"122","2007-06-27",11.11
"123","2007-06-28",10.94
"124","2007-06-29",10.845
"125","2007-07-02",10.78
"126","2007-07-03",10.9
"127","2007-07-05",10.9075
"128","2007-07-06",10.9825
"129","2007-07-09",10.935
"130","2007-07-10",10.7525
"131","2007-07-11",10.685
"132","2007-07-12",10.9425
"133","2007-07-13",10.85
"134","2007-07-16",10.73
"135","2007-07-17",10.715
"136","2007-07-18",10.655
"137","2007-07-19",10.72
"138","2007-07-20",10.5175
"139","2007-07-23",10.5125
"140","2007-07-24",11.0975
"141","2007-07-25",11.0025
"142","2007-07-26",10.515
"143","2007-07-27",10.1425
"144","2007-07-30",10.5225
"145","2007-07-31",10.4475
"146","2007-08-01",10.6575
"147","2007-08-02",10.69
"148","2007-08-03",10.2525
"149","2007-08-06",9.935
"150","2007-08-07",9.58
"151","2007-08-08",10.1375
"152","2007-08-09",9.975
"153","2007-08-10",10.3575
"154","2007-08-13",10.565
"155","2007-08-14",10.385
