"","date","AFG"
"1","2007-01-03",36.490002
"2","2007-01-04",35.709999
"3","2007-01-05",35.029999
"4","2007-01-08",35.02
"5","2007-01-09",34.919998
"6","2007-01-10",34.689999
"7","2007-01-11",35.169998
"8","2007-01-12",35.25
"9","2007-01-16",35.220001
"10","2007-01-17",35.450001
"11","2007-01-18",35.27
"12","2007-01-19",35.23
"13","2007-01-22",34.93
"14","2007-01-23",35.099998
"15","2007-01-24",35.360001
"16","2007-01-25",35.259998
"17","2007-01-26",35.400002
"18","2007-01-29",35.200001
"19","2007-01-30",35.400002
"20","2007-01-31",35.32
"21","2007-02-01",35.860001
"22","2007-02-02",35.950001
"23","2007-02-05",35.939999
"24","2007-02-06",35.919998
"25","2007-02-07",35.860001
"26","2007-02-08",35.740002
"27","2007-02-09",35.599998
"28","2007-02-12",35.790001
"29","2007-02-13",36.34
"30","2007-02-14",36.41
"31","2007-02-15",36.459999
"32","2007-02-16",36.119999
"33","2007-02-20",36.32
"34","2007-02-21",36.5
"35","2007-02-22",36.360001
"36","2007-02-23",36.290001
"37","2007-02-26",35.939999
"38","2007-02-27",34.77
"39","2007-02-28",34.970001
"40","2007-03-01",34.880001
"41","2007-03-02",34.619999
"42","2007-03-05",32.990002
"43","2007-03-06",33.240002
"44","2007-03-07",33.529999
"45","2007-03-08",33.66
"46","2007-03-09",33.75
"47","2007-03-12",34.060001
"48","2007-03-13",33.200001
"49","2007-03-14",33.5
"50","2007-03-15",33.43
"51","2007-03-16",33.41
"52","2007-03-19",33.580002
"53","2007-03-20",33.740002
"54","2007-03-21",34.27
"55","2007-03-22",34.150002
"56","2007-03-23",34.380001
"57","2007-03-26",34.43
"58","2007-03-27",34.34
"59","2007-03-28",34.25
"60","2007-03-29",34.040001
"61","2007-03-30",34.040001
"62","2007-04-02",34.139999
"63","2007-04-03",34.34
"64","2007-04-04",34.759998
"65","2007-04-05",34.830002
"66","2007-04-09",34.889999
"67","2007-04-10",34.919998
"68","2007-04-11",34.560001
"69","2007-04-12",34.669998
"70","2007-04-13",34.779999
"71","2007-04-16",35.080002
"72","2007-04-17",35.299999
"73","2007-04-18",35.150002
"74","2007-04-19",35.110001
"75","2007-04-20",35.419998
"76","2007-04-23",35.389999
"77","2007-04-24",35.18
"78","2007-04-25",35.540001
"79","2007-04-26",35.389999
"80","2007-04-27",35.349998
"81","2007-04-30",35.27
"82","2007-05-01",35.400002
"83","2007-05-02",35.560001
"84","2007-05-03",35.700001
"85","2007-05-04",35.880001
"86","2007-05-07",36.029999
"87","2007-05-08",36.049999
"88","2007-05-09",36.200001
"89","2007-05-10",35.959999
"90","2007-05-11",36.110001
"91","2007-05-14",36.049999
"92","2007-05-15",36.110001
"93","2007-05-16",36.040001
"94","2007-05-17",36
"95","2007-05-18",35.959999
"96","2007-05-21",36.049999
"97","2007-05-22",35.91
"98","2007-05-23",35.970001
"99","2007-05-24",35.130001
"100","2007-05-25",35.200001
"101","2007-05-29",35.369999
"102","2007-05-30",35.540001
"103","2007-05-31",35.650002
"104","2007-06-01",36.080002
"105","2007-06-04",36.259998
"106","2007-06-05",36.009998
"107","2007-06-06",35.610001
"108","2007-06-07",34.93
"109","2007-06-08",35.150002
"110","2007-06-11",34.950001
"111","2007-06-12",34.669998
"112","2007-06-13",34.830002
"113","2007-06-14",34.990002
"114","2007-06-15",35.169998
"115","2007-06-18",34.919998
"116","2007-06-19",35.130001
"117","2007-06-20",34.75
"118","2007-06-21",34.75
"119","2007-06-22",34.299999
"120","2007-06-25",34.130001
"121","2007-06-26",33.91
"122","2007-06-27",33.970001
"123","2007-06-28",34.119999
"124","2007-06-29",34.150002
"125","2007-07-02",34.52
"126","2007-07-03",34.560001
"127","2007-07-05",34.349998
"128","2007-07-06",34.099998
"129","2007-07-09",34.150002
"130","2007-07-10",33.400002
"131","2007-07-11",33.16
"132","2007-07-12",33.330002
"133","2007-07-13",33.580002
"134","2007-07-16",33.16
"135","2007-07-17",32.529999
"136","2007-07-18",32.290001
"137","2007-07-19",32.18
"138","2007-07-20",31.809999
"139","2007-07-23",31.48
"140","2007-07-24",30.51
"141","2007-07-25",30.67
"142","2007-07-26",29.51
"143","2007-07-27",28.76
"144","2007-07-30",28.83
"145","2007-07-31",28.09
"146","2007-08-01",30.959999
"147","2007-08-02",29.76
"148","2007-08-03",28.190001
"149","2007-08-06",27.82
"150","2007-08-07",26.92
"151","2007-08-08",26.92
"152","2007-08-09",25.57
"153","2007-08-10",27.9
"154","2007-08-13",28.35
"155","2007-08-14",27.65
"156","2007-08-15",26.780001
"157","2007-08-16",27.700001
