"","date","NVTA"
"1","2015-02-12",17.049999
"2","2015-02-13",17.799999
"3","2015-02-17",19.700001
"4","2015-02-18",21.629999
"5","2015-02-19",19.91
"6","2015-02-20",20.299999
"7","2015-02-23",19.74
"8","2015-02-24",18.5
"9","2015-02-25",18.65
"10","2015-02-26",18.879999
"11","2015-02-27",18.68
"12","2015-03-02",18.780001
"13","2015-03-03",20.209999
"14","2015-03-04",19.99
"15","2015-03-05",18.27
"16","2015-03-06",18.700001
"17","2015-03-09",17.559999
"18","2015-03-10",17.5
"19","2015-03-11",17.5
"20","2015-03-12",17.190001
"21","2015-03-13",17.690001
"22","2015-03-16",17.790001
"23","2015-03-17",18.27
"24","2015-03-18",19.4
"25","2015-03-19",18.469999
"26","2015-03-20",18.52
"27","2015-03-23",18.959999
"28","2015-03-24",19.530001
"29","2015-03-25",17.799999
"30","2015-03-26",17.450001
"31","2015-03-27",16.879999
"32","2015-03-30",17.1
"33","2015-03-31",16.76
"34","2015-04-01",16.01
"35","2015-04-02",16.09
"36","2015-04-06",17
"37","2015-04-07",16.690001
"38","2015-04-08",17.02
"39","2015-04-09",16.58
"40","2015-04-10",16.84
"41","2015-04-13",16.870001
"42","2015-04-14",16.83
"43","2015-04-15",17.08
"44","2015-04-16",17.1
"45","2015-04-17",16.4
"46","2015-04-20",15.88
"47","2015-04-21",13.88
"48","2015-04-22",12.76
"49","2015-04-23",12.82
"50","2015-04-24",13.23
"51","2015-04-27",11.78
"52","2015-04-28",11.14
"53","2015-04-29",11.28
"54","2015-04-30",10.95
"55","2015-05-01",11.33
"56","2015-05-04",11.37
"57","2015-05-05",11.47
"58","2015-05-06",12.07
"59","2015-05-07",11.67
"60","2015-05-08",12.57
"61","2015-05-11",11.98
"62","2015-05-12",12.56
"63","2015-05-13",12.45
"64","2015-05-14",14
"65","2015-05-15",13.53
"66","2015-05-18",15.4
"67","2015-05-19",14.97
"68","2015-05-20",14.87
"69","2015-05-21",14.62
"70","2015-05-22",13.8
"71","2015-05-26",13.59
"72","2015-05-27",13.03
"73","2015-05-28",12.86
"74","2015-05-29",12.45
"75","2015-06-01",12.75
"76","2015-06-02",13.04
"77","2015-06-03",14.39
"78","2015-06-04",14
"79","2015-06-05",14
"80","2015-06-08",14.76
"81","2015-06-09",14.11
