"","date","EXFO"
"1","2007-01-03",5.62
"2","2007-01-04",5.55
"3","2007-01-05",5.6
"4","2007-01-08",5.71
"5","2007-01-09",5.65
"6","2007-01-10",6.09
"7","2007-01-11",6.23
"8","2007-01-12",6.3
"9","2007-01-16",6.25
"10","2007-01-17",6.36
"11","2007-01-18",6.42
"12","2007-01-19",7.06
"13","2007-01-22",7.48
"14","2007-01-23",7.33
"15","2007-01-24",7.4
"16","2007-01-25",7.32
"17","2007-01-26",7.22
"18","2007-01-29",6.76
"19","2007-01-30",6.72
"20","2007-01-31",6.68
"21","2007-02-01",6.6
"22","2007-02-02",6.8
"23","2007-02-05",6.87
"24","2007-02-06",6.99
"25","2007-02-07",7.1
"26","2007-02-08",6.95
"27","2007-02-09",7.06
"28","2007-02-12",6.76
"29","2007-02-13",6.84
"30","2007-02-14",7.03
"31","2007-02-15",7.19
"32","2007-02-16",7.28
"33","2007-02-20",7.31
"34","2007-02-21",7.3
"35","2007-02-22",7
"36","2007-02-23",6.98
"37","2007-02-26",7.01
"38","2007-02-27",6.73
"39","2007-02-28",6.62
"40","2007-03-01",6.48
"41","2007-03-02",6.43
"42","2007-03-05",6.13
"43","2007-03-06",6.44
"44","2007-03-07",6.47
"45","2007-03-08",6.5
"46","2007-03-09",6.37
"47","2007-03-12",6.39
"48","2007-03-13",6.08
"49","2007-03-14",6.1
"50","2007-03-15",6.32
"51","2007-03-16",6.26
"52","2007-03-19",6.29
"53","2007-03-20",6.3
"54","2007-03-21",6.2
"55","2007-03-22",6.03
"56","2007-03-23",6.1
"57","2007-03-26",6.07
"58","2007-03-27",6.02
"59","2007-03-28",6.19
"60","2007-03-29",6.18
"61","2007-03-30",6.19
"62","2007-04-02",6.17
"63","2007-04-03",6.07
"64","2007-04-04",5.92
"65","2007-04-05",6.23
"66","2007-04-09",6.03
"67","2007-04-10",6
"68","2007-04-11",6.03
"69","2007-04-12",6.09
"70","2007-04-13",6.25
"71","2007-04-16",6.28
"72","2007-04-17",6.33
"73","2007-04-18",6.84
"74","2007-04-19",6.87
"75","2007-04-20",6.92
"76","2007-04-23",6.73
"77","2007-04-24",6.77
"78","2007-04-25",6.94
"79","2007-04-26",6.75
"80","2007-04-27",6.57
"81","2007-04-30",6.65
"82","2007-05-01",6.51
"83","2007-05-02",6.45
"84","2007-05-03",6.45
"85","2007-05-04",6.45
"86","2007-05-07",6.34
"87","2007-05-08",6.25
"88","2007-05-09",6.14
"89","2007-05-10",6.01
"90","2007-05-11",6.13
"91","2007-05-14",6.3
"92","2007-05-15",6.29
"93","2007-05-16",6.4
"94","2007-05-17",6.31
"95","2007-05-18",6.39
"96","2007-05-21",6.36
"97","2007-05-22",6.44
"98","2007-05-23",6.39
"99","2007-05-24",6.57
"100","2007-05-25",6.54
"101","2007-05-29",6.61
"102","2007-05-30",6.52
"103","2007-05-31",6.65
"104","2007-06-01",6.75
"105","2007-06-04",6.83
"106","2007-06-05",6.69
"107","2007-06-06",7.01
"108","2007-06-07",6.71
"109","2007-06-08",6.78
"110","2007-06-11",6.78
"111","2007-06-12",6.6
"112","2007-06-13",6.77
"113","2007-06-14",6.74
"114","2007-06-15",6.83
"115","2007-06-18",6.78
"116","2007-06-19",6.91
"117","2007-06-20",6.71
"118","2007-06-21",6.82
"119","2007-06-22",6.69
"120","2007-06-25",6.69
"121","2007-06-26",6.66
"122","2007-06-27",7
"123","2007-06-28",7.03
"124","2007-06-29",6.98
"125","2007-07-02",6.83
"126","2007-07-03",7.06
"127","2007-07-05",7.44
"128","2007-07-06",7.57
"129","2007-07-09",7.36
"130","2007-07-10",7.42
"131","2007-07-11",7.26
"132","2007-07-12",7.32
"133","2007-07-13",7.36
"134","2007-07-16",7.39
"135","2007-07-17",7.5
"136","2007-07-18",7.53
"137","2007-07-19",7.44
"138","2007-07-20",7.23
"139","2007-07-23",7.22
"140","2007-07-24",7.22
"141","2007-07-25",7.52
"142","2007-07-26",7.19
"143","2007-07-27",7.22
"144","2007-07-30",7.22
"145","2007-07-31",7.43
"146","2007-08-01",7.35
"147","2007-08-02",7.44
"148","2007-08-03",7.34
"149","2007-08-06",7
"150","2007-08-07",7.27
"151","2007-08-08",7.55
"152","2007-08-09",7.09
"153","2007-08-10",6.85
"154","2007-08-13",6.98
"155","2007-08-14",6.64
"156","2007-08-15",6.41
"157","2007-08-16",5.94
"158","2007-08-17",6.41
"159","2007-08-20",6.18
"160","2007-08-21",6.39
"161","2007-08-22",6.28
"162","2007-08-23",6.45
"163","2007-08-24",6.64
"164","2007-08-27",6.82
"165","2007-08-28",6.58
"166","2007-08-29",6.58
"167","2007-08-30",6.5
"168","2007-08-31",6.66
"169","2007-09-04",6.92
"170","2007-09-05",6.97
"171","2007-09-06",6.95
"172","2007-09-07",6.83
"173","2007-09-10",6.81
"174","2007-09-11",6.86
"175","2007-09-12",6.91
"176","2007-09-13",6.89
"177","2007-09-14",6.95
"178","2007-09-17",6.83
"179","2007-09-18",7.11
"180","2007-09-19",7.26
"181","2007-09-20",7.28
"182","2007-09-21",7.28
"183","2007-09-24",7.26
"184","2007-09-25",6.98
"185","2007-09-26",6.66
"186","2007-09-27",6.61
"187","2007-09-28",6.74
"188","2007-10-01",6.71
"189","2007-10-02",6.7
"190","2007-10-03",6.8
"191","2007-10-04",6.69
"192","2007-10-05",6.83
"193","2007-10-08",6.93
"194","2007-10-09",6.95
"195","2007-10-10",6.99
"196","2007-10-11",6.91
"197","2007-10-12",7.07
"198","2007-10-15",6.99
"199","2007-10-16",6.9
"200","2007-10-17",6.22
"201","2007-10-18",6.47
"202","2007-10-19",6.22
"203","2007-10-22",6.2
"204","2007-10-23",6.2
"205","2007-10-24",6.17
"206","2007-10-25",6.17
"207","2007-10-26",6.26
"208","2007-10-29",6.37
"209","2007-10-30",6.54
"210","2007-10-31",6.43
"211","2007-11-01",6.35
"212","2007-11-02",6.34
"213","2007-11-05",6.41
"214","2007-11-06",6.38
"215","2007-11-07",6.19
"216","2007-11-08",5.93
"217","2007-11-09",5.86
"218","2007-11-12",6.09
"219","2007-11-13",5.96
"220","2007-11-14",5.98
"221","2007-11-15",5.93
"222","2007-11-16",5.86
"223","2007-11-19",5.48
"224","2007-11-20",5.37
"225","2007-11-21",5.23
"226","2007-11-23",5.28
"227","2007-11-26",5.1
"228","2007-11-27",5.25
"229","2007-11-28",5.26
"230","2007-11-29",5.22
"231","2007-11-30",5.22
"232","2007-12-03",5.07
"233","2007-12-04",5.23
"234","2007-12-05",5.27
"235","2007-12-06",5.5
"236","2007-12-07",5.1
"237","2007-12-10",5.22
"238","2007-12-11",5.22
"239","2007-12-12",5.09
"240","2007-12-13",5.1
"241","2007-12-14",5.19
"242","2007-12-17",5.06
"243","2007-12-18",5.05
"244","2007-12-19",4.91
"245","2007-12-20",4.96
"246","2007-12-21",5.06
"247","2007-12-24",4.91
"248","2007-12-26",5.1
"249","2007-12-27",4.92
"250","2007-12-28",4.95
"251","2007-12-31",4.94
"252","2008-01-02",4.83
"253","2008-01-03",4.78
"254","2008-01-04",4.61
"255","2008-01-07",4.19
"256","2008-01-08",4.19
"257","2008-01-09",3.97
"258","2008-01-10",3.92
"259","2008-01-11",3.93
"260","2008-01-14",4.15
"261","2008-01-15",4.3
"262","2008-01-16",4.36
"263","2008-01-17",4.38
"264","2008-01-18",4.31
"265","2008-01-22",4.18
"266","2008-01-23",4.11
"267","2008-01-24",4.33
"268","2008-01-25",4.2
"269","2008-01-28",4.17
"270","2008-01-29",4.27
"271","2008-01-30",4.35
"272","2008-01-31",4.35
"273","2008-02-01",4.44
"274","2008-02-04",4.35
"275","2008-02-05",4.3
"276","2008-02-06",4.2
"277","2008-02-07",4.23
"278","2008-02-08",4.3
"279","2008-02-11",4.45
"280","2008-02-12",4.52
"281","2008-02-13",4.89
"282","2008-02-14",4.69
"283","2008-02-15",4.71
"284","2008-02-19",4.48
"285","2008-02-20",4.51
"286","2008-02-21",4.42
"287","2008-02-22",4.38
"288","2008-02-25",4.69
"289","2008-02-26",4.52
"290","2008-02-27",4.55
"291","2008-02-28",4.53
"292","2008-02-29",4.42
"293","2008-03-03",4.31
"294","2008-03-04",4.23
"295","2008-03-05",4.25
"296","2008-03-06",4.17
"297","2008-03-07",4.14
"298","2008-03-10",4.09
"299","2008-03-11",4.42
"300","2008-03-12",4.43
"301","2008-03-13",4.35
"302","2008-03-14",4.14
"303","2008-03-17",4.06
"304","2008-03-18",4.4
"305","2008-03-19",4.32
"306","2008-03-20",4.27
"307","2008-03-24",4.38
"308","2008-03-25",4.3
"309","2008-03-26",4.31
"310","2008-03-27",4.32
"311","2008-03-28",4.54
"312","2008-03-31",4.83
"313","2008-04-01",4.85
"314","2008-04-02",5.9
"315","2008-04-03",5.63
"316","2008-04-04",5.82
"317","2008-04-07",6
"318","2008-04-08",6
"319","2008-04-09",5.8
"320","2008-04-10",5.76
"321","2008-04-11",5.48
"322","2008-04-14",5.48
