"","date","LAZ"
"1","2007-01-03",47.639999
"2","2007-01-04",47.869999
"3","2007-01-05",46.73
"4","2007-01-08",47.09
"5","2007-01-09",50.189999
"6","2007-01-10",51.43
"7","2007-01-11",52.650002
"8","2007-01-12",52.650002
"9","2007-01-16",53.25
"10","2007-01-17",53.369999
"11","2007-01-18",51.209999
"12","2007-01-19",51.049999
"13","2007-01-22",50.279999
"14","2007-01-23",50.080002
"15","2007-01-24",51.470001
"16","2007-01-25",50
"17","2007-01-26",49.869999
"18","2007-01-29",50
"19","2007-01-30",50.48
"20","2007-01-31",50.759998
"21","2007-02-01",50.419998
"22","2007-02-02",51.200001
"23","2007-02-05",51.580002
"24","2007-02-06",52.23
"25","2007-02-07",54.599998
"26","2007-02-08",55
"27","2007-02-09",53.720001
"28","2007-02-12",52.48
"29","2007-02-13",53.299999
"30","2007-02-14",53.75
"31","2007-02-15",53.23
"32","2007-02-16",53
"33","2007-02-20",54
"34","2007-02-21",54.59
"35","2007-02-22",55.049999
"36","2007-02-23",54.450001
"37","2007-02-26",53.490002
"38","2007-02-27",51.040001
"39","2007-02-28",51.43
"40","2007-03-01",50.240002
"41","2007-03-02",49.099998
"42","2007-03-05",47.240002
"43","2007-03-06",49.5
"44","2007-03-07",49.049999
"45","2007-03-08",50.380001
"46","2007-03-09",50.23
"47","2007-03-12",50.349998
"48","2007-03-13",47.400002
"49","2007-03-14",48.150002
"50","2007-03-15",49.66
"51","2007-03-16",49.18
"52","2007-03-19",50.130001
"53","2007-03-20",50.830002
"54","2007-03-21",52.66
"55","2007-03-22",51.700001
"56","2007-03-23",51.779999
"57","2007-03-26",52.060001
"58","2007-03-27",51.66
"59","2007-03-28",50.220001
"60","2007-03-29",50.939999
"61","2007-03-30",50.18
"62","2007-04-02",49.650002
"63","2007-04-03",50.73
"64","2007-04-04",51.09
"65","2007-04-05",51.509998
"66","2007-04-09",51.299999
"67","2007-04-10",51.369999
"68","2007-04-11",50.560001
