"","date","TAST"
"1","2007-01-03",14.2
"2","2007-01-04",14
"3","2007-01-05",14
"4","2007-01-08",14.05
"5","2007-01-09",14.07
"6","2007-01-10",13.85
"7","2007-01-11",13.75
"8","2007-01-12",14.19
"9","2007-01-16",14.17
"10","2007-01-17",14.15
"11","2007-01-18",14.15
"12","2007-01-19",14.15
"13","2007-01-22",14.26
"14","2007-01-23",14.48
"15","2007-01-24",14.97
"16","2007-01-25",14.9
"17","2007-01-26",14.84
"18","2007-01-29",14.79
"19","2007-01-30",14.73
"20","2007-01-31",14.42
"21","2007-02-01",14.42
"22","2007-02-02",14.3
"23","2007-02-05",14.55
"24","2007-02-06",14.62
"25","2007-02-07",14.73
"26","2007-02-08",14.86
"27","2007-02-09",14.87
"28","2007-02-12",14.34
"29","2007-02-13",14.32
"30","2007-02-14",14.3
"31","2007-02-15",14.08
"32","2007-02-16",14
"33","2007-02-20",14
"34","2007-02-21",13.9
"35","2007-02-22",13.66
"36","2007-02-23",13.6
"37","2007-02-26",13.55
"38","2007-02-27",13.37
"39","2007-02-28",13.3
"40","2007-03-01",13.4
"41","2007-03-02",13.26
"42","2007-03-05",13.96
"43","2007-03-06",13.63
"44","2007-03-07",13.71
"45","2007-03-08",13.17
"46","2007-03-09",13.75
"47","2007-03-12",13.66
"48","2007-03-13",13.62
"49","2007-03-14",13.46
"50","2007-03-15",13.33
"51","2007-03-16",13.35
"52","2007-03-19",14.09
"53","2007-03-20",14.08
"54","2007-03-21",14.17
"55","2007-03-22",14.16
"56","2007-03-23",14.76
"57","2007-03-26",14.86
"58","2007-03-27",14.91
"59","2007-03-28",14.91
"60","2007-03-29",14.72
"61","2007-03-30",14.51
"62","2007-04-02",15
"63","2007-04-03",15
"64","2007-04-04",15
"65","2007-04-05",15.05
"66","2007-04-09",15.31
"67","2007-04-10",15.45
"68","2007-04-11",15.01
"69","2007-04-12",15.23
"70","2007-04-13",15.03
"71","2007-04-16",15.32
"72","2007-04-17",15.4
"73","2007-04-18",15.08
"74","2007-04-19",15.16
"75","2007-04-20",15.25
"76","2007-04-23",15.2
"77","2007-04-24",15.3
"78","2007-04-25",15.3
"79","2007-04-26",15.53
"80","2007-04-27",15.41
"81","2007-04-30",15.02
"82","2007-05-01",15.47
"83","2007-05-02",15.62
"84","2007-05-03",15.43
"85","2007-05-04",15.6
"86","2007-05-07",15.25
"87","2007-05-08",15.16
"88","2007-05-09",15.55
"89","2007-05-10",15.5
"90","2007-05-11",15.21
"91","2007-05-14",15.25
"92","2007-05-15",15.1
"93","2007-05-16",15.01
"94","2007-05-17",14.96
"95","2007-05-18",15.05
"96","2007-05-21",15.29
"97","2007-05-22",15.14
"98","2007-05-23",15.1
"99","2007-05-24",15.12
"100","2007-05-25",15.19
"101","2007-05-29",15.27
"102","2007-05-30",15.48
"103","2007-05-31",15.81
"104","2007-06-01",15.98
"105","2007-06-04",16.139999
"106","2007-06-05",16
"107","2007-06-06",15.75
"108","2007-06-07",15.26
"109","2007-06-08",15
"110","2007-06-11",15.09
"111","2007-06-12",15.01
"112","2007-06-13",15.2
"113","2007-06-14",15.28
"114","2007-06-15",15.58
"115","2007-06-18",15.66
"116","2007-06-19",15.25
"117","2007-06-20",15.42
"118","2007-06-21",15.54
"119","2007-06-22",15.74
"120","2007-06-25",15.4
"121","2007-06-26",15.6
"122","2007-06-27",15.08
"123","2007-06-28",15.18
"124","2007-06-29",15.25
"125","2007-07-02",15.05
"126","2007-07-03",15.05
"127","2007-07-05",15
"128","2007-07-06",14.95
"129","2007-07-09",14.64
"130","2007-07-10",14.37
"131","2007-07-11",14.28
"132","2007-07-12",14.49
"133","2007-07-13",14.38
"134","2007-07-16",14.28
"135","2007-07-17",14.38
"136","2007-07-18",14.4
"137","2007-07-19",14.3
"138","2007-07-20",14.2
"139","2007-07-23",14.15
"140","2007-07-24",13.92
"141","2007-07-25",13.53
"142","2007-07-26",13.25
"143","2007-07-27",12.16
"144","2007-07-30",11.9
"145","2007-07-31",11.9
"146","2007-08-01",11.63
"147","2007-08-02",11.45
"148","2007-08-03",10.91
"149","2007-08-06",10.99
"150","2007-08-07",11.01
"151","2007-08-08",10.9
"152","2007-08-09",10.47
"153","2007-08-10",10.61
"154","2007-08-13",10.56
"155","2007-08-14",10.33
"156","2007-08-15",10.2
"157","2007-08-16",9.95
"158","2007-08-17",10.8
"159","2007-08-20",11.37
"160","2007-08-21",11.1
"161","2007-08-22",11.28
"162","2007-08-23",11.14
"163","2007-08-24",11.48
"164","2007-08-27",11.42
"165","2007-08-28",10.83
"166","2007-08-29",10.82
"167","2007-08-30",10.78
"168","2007-08-31",10.96
"169","2007-09-04",11.05
"170","2007-09-05",11.04
"171","2007-09-06",12.05
"172","2007-09-07",11.55
"173","2007-09-10",11.31
"174","2007-09-11",11.44
"175","2007-09-12",11.11
"176","2007-09-13",11.17
"177","2007-09-14",11.01
"178","2007-09-17",10.89
"179","2007-09-18",10.93
"180","2007-09-19",10.95
"181","2007-09-20",10.89
"182","2007-09-21",10.69
"183","2007-09-24",10.59
