"","date","JMP"
"1","2007-05-11",12.3
"2","2007-05-14",12
"3","2007-05-15",11.78
"4","2007-05-16",11.84
"5","2007-05-17",11.7
"6","2007-05-18",11.85
"7","2007-05-21",11.6
"8","2007-05-22",11.52
"9","2007-05-23",11.55
"10","2007-05-24",11.1
"11","2007-05-25",11.25
"12","2007-05-29",11.25
"13","2007-05-30",11.29
"14","2007-05-31",11.45
"15","2007-06-01",11.37
"16","2007-06-04",11.15
"17","2007-06-05",10.9
"18","2007-06-06",10.65
"19","2007-06-07",10.58
"20","2007-06-08",10.77
"21","2007-06-11",10.61
"22","2007-06-12",10.78
"23","2007-06-13",10.74
"24","2007-06-14",10.83
"25","2007-06-15",10.49
"26","2007-06-18",10.5
"27","2007-06-19",10.35
"28","2007-06-20",10.37
"29","2007-06-21",10.2
"30","2007-06-22",10.39
"31","2007-06-25",10.22
"32","2007-06-26",10.06
"33","2007-06-27",10
"34","2007-06-28",10.42
"35","2007-06-29",10.45
"36","2007-07-02",10.3
"37","2007-07-03",10.15
"38","2007-07-05",10.13
"39","2007-07-06",9.99
"40","2007-07-09",10
"41","2007-07-10",10.01
"42","2007-07-11",10.15
"43","2007-07-12",10.1
"44","2007-07-13",9.95
"45","2007-07-16",9.95
"46","2007-07-17",10
"47","2007-07-18",10
"48","2007-07-19",9.95
"49","2007-07-20",10.01
"50","2007-07-23",9.8
"51","2007-07-24",9.73
"52","2007-07-25",9.74
"53","2007-07-26",9.05
"54","2007-07-27",8.9
"55","2007-07-30",8.69
"56","2007-07-31",8.74
"57","2007-08-01",8.02
"58","2007-08-02",7.74
"59","2007-08-03",7.29
"60","2007-08-06",6.9
"61","2007-08-07",7.24
"62","2007-08-08",7.55
"63","2007-08-09",7.33
"64","2007-08-10",7.24
"65","2007-08-13",7.55
"66","2007-08-14",7.48
"67","2007-08-15",7.69
"68","2007-08-16",7.63
"69","2007-08-17",8.08
"70","2007-08-20",8.17
"71","2007-08-21",8.3
"72","2007-08-22",9.26
"73","2007-08-23",9.09
"74","2007-08-24",8.98
"75","2007-08-27",9.1
"76","2007-08-28",8.66
"77","2007-08-29",8.65
"78","2007-08-30",8.83
"79","2007-08-31",9.06
"80","2007-09-04",9.24
"81","2007-09-05",8.95
"82","2007-09-06",8.75
"83","2007-09-07",8.65
"84","2007-09-10",8.55
"85","2007-09-11",8.91
"86","2007-09-12",8.78
"87","2007-09-13",8.7
"88","2007-09-14",8.78
"89","2007-09-17",8.77
"90","2007-09-18",8.9
"91","2007-09-19",9.25
"92","2007-09-20",9
"93","2007-09-21",9.21
"94","2007-09-24",9.23
"95","2007-09-25",9.35
"96","2007-09-26",9.29
"97","2007-09-27",9.37
"98","2007-09-28",9.38
"99","2007-10-01",9.25
"100","2007-10-02",9.19
"101","2007-10-03",8.9
"102","2007-10-04",8.82
"103","2007-10-05",8.54
"104","2007-10-08",8.43
"105","2007-10-09",8.58
"106","2007-10-10",8.67
"107","2007-10-11",8.59
"108","2007-10-12",8.65
"109","2007-10-15",8.68
"110","2007-10-16",8.55
"111","2007-10-17",8.37
"112","2007-10-18",8.04
"113","2007-10-19",7.45
"114","2007-10-22",7.25
"115","2007-10-23",7.26
"116","2007-10-24",7.3
"117","2007-10-25",7.15
"118","2007-10-26",7.28
"119","2007-10-29",7.37
"120","2007-10-30",7.4
"121","2007-10-31",6.99
"122","2007-11-01",6.59
"123","2007-11-02",7.34
"124","2007-11-05",7.08
"125","2007-11-06",6.88
"126","2007-11-07",6.58
"127","2007-11-08",6.46
"128","2007-11-09",6.27
"129","2007-11-12",6.61
"130","2007-11-13",7.3
"131","2007-11-14",6.99
"132","2007-11-15",7
"133","2007-11-16",7.49
"134","2007-11-19",7.31
"135","2007-11-20",7.78
"136","2007-11-21",8.36
"137","2007-11-23",8.91
"138","2007-11-26",8.04
"139","2007-11-27",7.41
"140","2007-11-28",7.95
"141","2007-11-29",8
"142","2007-11-30",7.98
"143","2007-12-03",8.14
"144","2007-12-04",8.62
"145","2007-12-05",8.99
"146","2007-12-06",9.5
"147","2007-12-07",9.4
"148","2007-12-10",9
"149","2007-12-11",9
"150","2007-12-12",8.59
"151","2007-12-13",8.38
"152","2007-12-14",8.49
"153","2007-12-17",7.95
"154","2007-12-18",8.21
"155","2007-12-19",8.22
"156","2007-12-20",8.15
"157","2007-12-21",8.45
"158","2007-12-24",8.27
"159","2007-12-26",8.39
"160","2007-12-27",8.2
"161","2007-12-28",8.61
"162","2007-12-31",8.48
"163","2008-01-02",8.15
"164","2008-01-03",7.8
"165","2008-01-04",7.75
"166","2008-01-07",7.37
"167","2008-01-08",7
"168","2008-01-09",6.74
"169","2008-01-10",7
"170","2008-01-11",7.08
"171","2008-01-14",7.21
"172","2008-01-15",7.15
"173","2008-01-16",7.32
"174","2008-01-17",7.15
"175","2008-01-18",6.7
"176","2008-01-22",6.74
"177","2008-01-23",6.77
"178","2008-01-24",6.56
"179","2008-01-25",6.78
"180","2008-01-28",7.59
"181","2008-01-29",8
"182","2008-01-30",7.97
"183","2008-01-31",7.96
"184","2008-02-01",7.86
"185","2008-02-04",8.01
"186","2008-02-05",8
"187","2008-02-06",7.98
"188","2008-02-07",8.06
"189","2008-02-08",7.96
"190","2008-02-11",8.09
"191","2008-02-12",7.96
"192","2008-02-13",7.58
"193","2008-02-14",7.09
"194","2008-02-15",6.97
"195","2008-02-19",6.92
"196","2008-02-20",7.22
"197","2008-02-21",7.16
"198","2008-02-22",7.31
"199","2008-02-25",7.39
"200","2008-02-26",7.35
"201","2008-02-27",7.2
"202","2008-02-28",7.15
"203","2008-02-29",7.01
"204","2008-03-03",6.9
"205","2008-03-04",6.96
"206","2008-03-05",6.9
"207","2008-03-06",6.44
"208","2008-03-07",6.36
"209","2008-03-10",5.98
"210","2008-03-11",5.97
"211","2008-03-12",6
"212","2008-03-13",6.4
"213","2008-03-14",6.21
"214","2008-03-17",6.17
"215","2008-03-18",7.29
"216","2008-03-19",6.77
"217","2008-03-20",7.2
"218","2008-03-24",7.26
"219","2008-03-25",7.1
"220","2008-03-26",6.82
"221","2008-03-27",6.6
"222","2008-03-28",6.73
"223","2008-03-31",7
"224","2008-04-01",7.36
"225","2008-04-02",6.98
"226","2008-04-03",6.75
"227","2008-04-04",6.92
"228","2008-04-07",6.99
"229","2008-04-08",6.91
"230","2008-04-09",6.88
"231","2008-04-10",6.76
"232","2008-04-11",6.84
"233","2008-04-14",7.05
"234","2008-04-15",6.85
"235","2008-04-16",7
"236","2008-04-17",6.98
"237","2008-04-18",6.99
"238","2008-04-21",6.98
"239","2008-04-22",6.93
"240","2008-04-23",6.65
"241","2008-04-24",6.84
"242","2008-04-25",6.89
"243","2008-04-28",7.3
"244","2008-04-29",7.1
"245","2008-04-30",7
"246","2008-05-01",7
"247","2008-05-02",7
"248","2008-05-05",6.75
"249","2008-05-06",6.65
"250","2008-05-07",6.71
"251","2008-05-08",7
"252","2008-05-09",7
"253","2008-05-12",6.89
"254","2008-05-13",6.81
"255","2008-05-14",6.66
"256","2008-05-15",6.54
"257","2008-05-16",6.75
"258","2008-05-19",6.73
"259","2008-05-20",6.69
"260","2008-05-21",6.66
"261","2008-05-22",6.68
"262","2008-05-23",6.8
"263","2008-05-27",6.83
"264","2008-05-28",6.63
"265","2008-05-29",6.64
"266","2008-05-30",7.25
"267","2008-06-02",7.13
"268","2008-06-03",7.65
"269","2008-06-04",7.16
"270","2008-06-05",7.18
"271","2008-06-06",7.35
"272","2008-06-09",7.11
"273","2008-06-10",7.24
"274","2008-06-11",6.99
"275","2008-06-12",7.13
"276","2008-06-13",7.05
"277","2008-06-16",7.16
"278","2008-06-17",6.88
"279","2008-06-18",6.72
"280","2008-06-19",6.72
"281","2008-06-20",6.72
"282","2008-06-23",6.67
"283","2008-06-24",6.63
"284","2008-06-25",6.74
