"","date","SOHO"
"1","2007-01-03",9.72
"2","2007-01-04",9.58
"3","2007-01-05",9.55
"4","2007-01-08",9.56
"5","2007-01-09",9.69
"6","2007-01-10",9.75
"7","2007-01-11",9.92
"8","2007-01-12",9.78
"9","2007-01-16",9.93
"10","2007-01-17",9.9
"11","2007-01-18",9.83
"12","2007-01-19",9.79
"13","2007-01-22",9.86
"14","2007-01-23",9.79
"15","2007-01-24",9.74
"16","2007-01-25",9.87
"17","2007-01-26",9.95
"18","2007-01-29",9.88
"19","2007-01-30",9.9
"20","2007-01-31",10
"21","2007-02-01",9.94
"22","2007-02-02",9.92
"23","2007-02-05",9.87
"24","2007-02-06",10
"25","2007-02-07",9.9
"26","2007-02-08",9.95
"27","2007-02-09",9.87
"28","2007-02-12",9.84
"29","2007-02-13",9.81
"30","2007-02-14",9.78
"31","2007-02-15",9.83
"32","2007-02-16",9.97
"33","2007-02-20",9.97
"34","2007-02-21",9.9
"35","2007-02-22",10.07
"36","2007-02-23",10.19
"37","2007-02-26",10.36
"38","2007-02-27",10.15
"39","2007-02-28",10.05
"40","2007-03-01",10.39
"41","2007-03-02",10.1
"42","2007-03-05",10.01
"43","2007-03-06",10.19
"44","2007-03-07",10.25
"45","2007-03-08",10.14
"46","2007-03-09",10.06
"47","2007-03-12",10.18
"48","2007-03-13",10.07
"49","2007-03-14",9.91
"50","2007-03-15",10.3
"51","2007-03-16",10.2
"52","2007-03-19",10.1
"53","2007-03-20",10.05
"54","2007-03-21",10.02
"55","2007-03-22",10.01
"56","2007-03-23",10
"57","2007-03-26",10
"58","2007-03-27",9.96
"59","2007-03-28",9.94
"60","2007-03-29",10
"61","2007-03-30",9.91
"62","2007-04-02",9.99
"63","2007-04-03",9.98
"64","2007-04-04",10.04
"65","2007-04-05",10.2
"66","2007-04-09",10.22
"67","2007-04-10",10.12
"68","2007-04-11",10.26
"69","2007-04-12",10.15
"70","2007-04-13",10.24
"71","2007-04-16",10.55
"72","2007-04-17",10.4
"73","2007-04-18",10.27
"74","2007-04-19",10.34
"75","2007-04-20",10.36
"76","2007-04-23",10.36
"77","2007-04-24",10.3
"78","2007-04-25",10.4
"79","2007-04-26",10.55
"80","2007-04-27",10.45
"81","2007-04-30",10.55
"82","2007-05-01",10.36
"83","2007-05-02",10.49
"84","2007-05-03",10.44
"85","2007-05-04",10.5
"86","2007-05-07",10.45
"87","2007-05-08",10.45
"88","2007-05-09",10.69
"89","2007-05-10",10.7
"90","2007-05-11",10.75
"91","2007-05-14",10.39
"92","2007-05-15",10.45
"93","2007-05-16",10.4
"94","2007-05-17",10.5
"95","2007-05-18",10.6
"96","2007-05-21",10.7
"97","2007-05-22",10.84
"98","2007-05-23",10.6
"99","2007-05-24",10.5
"100","2007-05-25",10.63
"101","2007-05-29",10.75
"102","2007-05-30",10.66
"103","2007-05-31",10.9
"104","2007-06-01",10.72
"105","2007-06-04",10.72
"106","2007-06-05",10.6
"107","2007-06-06",10.55
"108","2007-06-07",10.56
"109","2007-06-08",10.52
"110","2007-06-11",10.5
"111","2007-06-12",10.44
"112","2007-06-13",10.46
"113","2007-06-14",10.5
"114","2007-06-15",10.25
"115","2007-06-18",10.5
"116","2007-06-19",10.55
"117","2007-06-20",10.35
"118","2007-06-21",10.22
"119","2007-06-22",10.25
"120","2007-06-25",10.31
"121","2007-06-26",10.42
"122","2007-06-27",10.53
"123","2007-06-28",10.8
"124","2007-06-29",10.6
"125","2007-07-02",10.81
"126","2007-07-03",10.85
"127","2007-07-05",11
"128","2007-07-06",10.77
"129","2007-07-09",10.81
"130","2007-07-10",10.87
"131","2007-07-11",10.65
"132","2007-07-12",10.9
