"","date","SLG"
"1","2007-01-03",133.449997
"2","2007-01-04",133.880005
"3","2007-01-05",132
"4","2007-01-08",131.809998
"5","2007-01-09",133.800003
"6","2007-01-10",135.800003
"7","2007-01-11",137.190002
"8","2007-01-12",138.259995
"9","2007-01-16",139.600006
"10","2007-01-17",139.309998
"11","2007-01-18",140.339996
"12","2007-01-19",143
"13","2007-01-22",142.449997
"14","2007-01-23",143.130005
"15","2007-01-24",145.699997
"16","2007-01-25",146.429993
"17","2007-01-26",148.009995
"18","2007-01-29",146.869995
"19","2007-01-30",144.899994
"20","2007-01-31",146.580002
"21","2007-02-01",148.839996
"22","2007-02-02",150.970001
"23","2007-02-05",152.380005
"24","2007-02-06",152.759995
"25","2007-02-07",156.100006
"26","2007-02-08",155.039993
"27","2007-02-09",152.479996
"28","2007-02-12",148.080002
"29","2007-02-13",151.199997
"30","2007-02-14",149.520004
"31","2007-02-15",150.899994
"32","2007-02-16",151.639999
"33","2007-02-20",152.210007
"34","2007-02-21",151.800003
"35","2007-02-22",151
"36","2007-02-23",147.25
"37","2007-02-26",146.710007
"38","2007-02-27",143.399994
"39","2007-02-28",145.880005
"40","2007-03-01",145.389999
"41","2007-03-02",141.860001
"42","2007-03-05",137.149994
"43","2007-03-06",141.619995
"44","2007-03-07",138.509995
"45","2007-03-08",140.889999
"46","2007-03-09",141.580002
"47","2007-03-12",142.399994
"48","2007-03-13",139.470001
"49","2007-03-14",139.360001
"50","2007-03-15",139.610001
"51","2007-03-16",138.460007
"52","2007-03-19",138.649994
"53","2007-03-20",138.639999
"54","2007-03-21",137.110001
"55","2007-03-22",138.380005
"56","2007-03-23",138.619995
"57","2007-03-26",137.240005
"58","2007-03-27",134.949997
"59","2007-03-28",133.220001
"60","2007-03-29",133.75
"61","2007-03-30",137.179993
"62","2007-04-02",139.080002
"63","2007-04-03",139.270004
"64","2007-04-04",137.729996
"65","2007-04-05",136.839996
"66","2007-04-09",139.229996
"67","2007-04-10",139.899994
"68","2007-04-11",137.490005
"69","2007-04-12",137.389999
"70","2007-04-13",139.149994
"71","2007-04-16",139.190002
"72","2007-04-17",141.419998
"73","2007-04-18",139.610001
"74","2007-04-19",139.820007
"75","2007-04-20",140.029999
"76","2007-04-23",142.610001
"77","2007-04-24",142.070007
"78","2007-04-25",141.539993
"79","2007-04-26",141.449997
"80","2007-04-27",143.470001
"81","2007-04-30",140.899994
"82","2007-05-01",139.639999
"83","2007-05-02",140.600006
"84","2007-05-03",140.559998
"85","2007-05-04",138.729996
"86","2007-05-07",138.5
"87","2007-05-08",136.759995
"88","2007-05-09",139.350006
"89","2007-05-10",137.690002
"90","2007-05-11",139.139999
"91","2007-05-14",138.070007
"92","2007-05-15",136.449997
"93","2007-05-16",134.529999
"94","2007-05-17",132
"95","2007-05-18",130.889999
"96","2007-05-21",132.610001
"97","2007-05-22",133.820007
