"","date","IRDM"
"1","2008-03-20",9.08
"2","2008-03-24",9.1
"3","2008-03-25",9.05
"4","2008-03-26",9.08
"5","2008-03-27",9.08
"6","2008-03-28",9.08
"7","2008-03-31",9.1
"8","2008-04-01",9.08
"9","2008-04-02",9.05
"10","2008-04-03",9.05
"11","2008-04-04",9.05
"12","2008-04-07",9.05
"13","2008-04-08",9.07
"14","2008-04-09",9.07
"15","2008-04-10",9.08
"16","2008-04-11",9.09
"17","2008-04-14",9.08
"18","2008-04-15",9.15
"19","2008-04-16",9.15
"20","2008-04-17",9.15
"21","2008-04-18",9.15
"22","2008-04-21",9.15
"23","2008-04-22",9.15
"24","2008-04-23",9.1
"25","2008-04-24",9.1
"26","2008-04-25",9.1
"27","2008-04-28",9.1
"28","2008-04-29",9.12
"29","2008-04-30",9.12
"30","2008-05-01",9.1
"31","2008-05-02",9.11
"32","2008-05-05",9.11
"33","2008-05-06",9.11
"34","2008-05-07",9.11
"35","2008-05-08",9.11
"36","2008-05-09",9.17
"37","2008-05-12",9.16
"38","2008-05-13",9.17
"39","2008-05-14",9.13
"40","2008-05-15",9.16
"41","2008-05-16",9.15
"42","2008-05-19",9.15
"43","2008-05-20",9.15
"44","2008-05-21",9.15
"45","2008-05-22",9.17
"46","2008-05-23",9.17
"47","2008-05-27",9.2
"48","2008-05-28",9.2
"49","2008-05-29",9.15
"50","2008-05-30",9.17
"51","2008-06-02",9.2
"52","2008-06-03",9.2
"53","2008-06-04",9.24
"54","2008-06-05",9.22
"55","2008-06-06",9.23
"56","2008-06-09",9.22
"57","2008-06-10",9.21
"58","2008-06-11",9.2
"59","2008-06-12",9.22
"60","2008-06-13",9.22
"61","2008-06-16",9.25
"62","2008-06-17",9.25
"63","2008-06-18",9.25
"64","2008-06-19",9.25
"65","2008-06-20",9.3
"66","2008-06-23",9.3
"67","2008-06-24",9.3
"68","2008-06-25",9.3
"69","2008-06-26",9.3
"70","2008-06-27",9.35
"71","2008-06-30",9.3
"72","2008-07-01",9.3
"73","2008-07-02",9.3
"74","2008-07-03",9.3
"75","2008-07-07",9.3
"76","2008-07-08",9.3
"77","2008-07-09",9.26
"78","2008-07-10",9.26
"79","2008-07-11",9.26
"80","2008-07-14",9.15
"81","2008-07-15",9.21
"82","2008-07-16",9.22
"83","2008-07-17",9.25
"84","2008-07-18",9.26
"85","2008-07-21",9.28
"86","2008-07-22",9.28
"87","2008-07-23",9.28
"88","2008-07-24",9.26
"89","2008-07-25",9.28
"90","2008-07-28",9.28
"91","2008-07-29",9.28
"92","2008-07-30",9.28
"93","2008-07-31",9.29
"94","2008-08-01",9.29
"95","2008-08-04",9.32
"96","2008-08-05",9.32
"97","2008-08-06",9.32
"98","2008-08-07",9.32
"99","2008-08-08",9.32
"100","2008-08-11",9.32
"101","2008-08-12",9.32
"102","2008-08-13",9.31
"103","2008-08-14",9.35
"104","2008-08-15",9.34
"105","2008-08-18",9.36
"106","2008-08-19",9.36
"107","2008-08-20",9.32
"108","2008-08-21",9.32
"109","2008-08-22",9.32
"110","2008-08-25",9.35
"111","2008-08-26",9.4
"112","2008-08-27",9.4
"113","2008-08-28",9.4
"114","2008-08-29",9.4
"115","2008-09-02",9.4
"116","2008-09-03",9.4
"117","2008-09-04",9.41
"118","2008-09-05",9.41
"119","2008-09-08",9.41
"120","2008-09-09",9.4
"121","2008-09-10",9.39
"122","2008-09-11",9.39
"123","2008-09-12",9.32
"124","2008-09-15",9.32
"125","2008-09-16",9.32
"126","2008-09-17",9.15
"127","2008-09-18",9.15
"128","2008-09-19",9.15
"129","2008-09-22",9.23
"130","2008-09-23",9.39
"131","2008-09-24",9.4
"132","2008-09-25",9.3
"133","2008-09-26",9.3
"134","2008-09-29",9.19
"135","2008-09-30",9.2
"136","2008-10-01",9.19
"137","2008-10-02",9
"138","2008-10-03",8.9
"139","2008-10-06",8.85
"140","2008-10-07",8.6
"141","2008-10-08",8.7
"142","2008-10-09",8.75
"143","2008-10-10",8.65
"144","2008-10-13",8.75
"145","2008-10-14",8.65
"146","2008-10-15",8.75
"147","2008-10-16",8.7
"148","2008-10-17",8.65
"149","2008-10-20",8.79
"150","2008-10-21",8.8
"151","2008-10-22",8.75
"152","2008-10-23",8.79
"153","2008-10-24",8.8
"154","2008-10-27",8.8
"155","2008-10-28",8.8
"156","2008-10-29",8.7
"157","2008-10-30",8.8
"158","2008-10-31",8.8
"159","2008-11-03",8.84
"160","2008-11-04",8.81
"161","2008-11-05",8.75
"162","2008-11-06",9
"163","2008-11-07",8.95
"164","2008-11-10",8.95
"165","2008-11-11",8.95
"166","2008-11-12",8.95
"167","2008-11-13",8.91
"168","2008-11-14",8.92
"169","2008-11-17",8.9
"170","2008-11-18",8.89
"171","2008-11-19",8.95
"172","2008-11-20",8.9
"173","2008-11-21",8.9
"174","2008-11-24",8.9
"175","2008-11-25",8.84
"176","2008-11-26",8.84
"177","2008-11-28",8.84
"178","2008-12-01",8.84
"179","2008-12-02",8.84
"180","2008-12-03",8.85
"181","2008-12-04",8.9
"182","2008-12-05",8.85
"183","2008-12-08",8.9
"184","2008-12-09",8.91
"185","2008-12-10",8.94
"186","2008-12-11",8.94
"187","2008-12-12",8.93
"188","2008-12-15",8.93
"189","2008-12-16",8.93
"190","2008-12-17",8.9
"191","2008-12-18",8.88
"192","2008-12-19",8.88
"193","2008-12-22",8.87
"194","2008-12-23",8.9
"195","2008-12-24",8.9
"196","2008-12-26",8.93
"197","2008-12-29",8.96
"198","2008-12-30",8.96
"199","2008-12-31",9
"200","2009-01-02",9.1
"201","2009-01-05",9.12
"202","2009-01-06",9.15
"203","2009-01-07",9.15
"204","2009-01-08",9.16
"205","2009-01-09",9.18
"206","2009-01-12",9.2
"207","2009-01-13",9.2
"208","2009-01-14",9.16
"209","2009-01-15",9.2
"210","2009-01-16",9.32
"211","2009-01-20",9.2
"212","2009-01-21",9.25
"213","2009-01-22",9.25
"214","2009-01-23",9.25
"215","2009-01-26",9.28
"216","2009-01-27",9.28
"217","2009-01-28",9.28
"218","2009-01-29",9.21
"219","2009-01-30",9.21
"220","2009-02-02",9.28
"221","2009-02-03",9.28
"222","2009-02-04",9.26
"223","2009-02-05",9.36
"224","2009-02-06",9.36
"225","2009-02-09",9.36
"226","2009-02-10",9.31
"227","2009-02-11",9.28
"228","2009-02-12",9.34
"229","2009-02-13",9.33
"230","2009-02-17",9.3
"231","2009-02-18",9.35
"232","2009-02-19",9.39
"233","2009-02-20",9.39
"234","2009-02-23",9.38
"235","2009-02-24",9.38
"236","2009-02-25",9.39
"237","2009-02-26",9.37
"238","2009-02-27",9.37
"239","2009-03-02",9.38
"240","2009-03-03",9.4
"241","2009-03-04",9.4
"242","2009-03-05",9.4
"243","2009-03-06",9.39
"244","2009-03-09",9.4
"245","2009-03-10",9.4
"246","2009-03-11",9.42
"247","2009-03-12",9.42
"248","2009-03-13",9.42
"249","2009-03-16",9.42
"250","2009-03-17",9.39
"251","2009-03-18",9.37
"252","2009-03-19",9.37
"253","2009-03-20",9.36
"254","2009-03-23",9.38
"255","2009-03-24",9.25
"256","2009-03-25",9.38
"257","2009-03-26",9.36
"258","2009-03-27",9.36
"259","2009-03-30",9.37
"260","2009-03-31",9.37
"261","2009-04-01",9.38
"262","2009-04-02",9.39
"263","2009-04-03",9.44
"264","2009-04-06",9.48
"265","2009-04-07",9.48
"266","2009-04-08",9.47
"267","2009-04-09",9.41
"268","2009-04-13",9.41
"269","2009-04-14",9.47
"270","2009-04-15",9.48
"271","2009-04-16",9.5
"272","2009-04-17",9.47
"273","2009-04-20",9.47
"274","2009-04-21",9.49
"275","2009-04-22",9.48
"276","2009-04-23",9.52
"277","2009-04-24",9.51
"278","2009-04-27",9.5
"279","2009-04-28",9.49
"280","2009-04-29",9.54
"281","2009-04-30",9.53
"282","2009-05-01",9.53
"283","2009-05-04",9.57
"284","2009-05-05",9.57
"285","2009-05-06",9.56
"286","2009-05-07",9.6
"287","2009-05-08",9.6
"288","2009-05-11",9.56
"289","2009-05-12",9.56
"290","2009-05-13",9.56
"291","2009-05-14",9.55
"292","2009-05-15",9.57
"293","2009-05-18",9.6
"294","2009-05-19",9.75
"295","2009-05-20",9.72
"296","2009-05-21",9.74
"297","2009-05-22",9.69
"298","2009-05-26",9.7
"299","2009-05-27",9.69
"300","2009-05-28",9.73
"301","2009-05-29",9.73
"302","2009-06-01",9.72
"303","2009-06-02",9.69
"304","2009-06-03",9.69
"305","2009-06-04",9.74
"306","2009-06-05",9.75
"307","2009-06-08",9.79
"308","2009-06-09",9.75
"309","2009-06-10",9.75
"310","2009-06-11",9.73
"311","2009-06-12",9.75
"312","2009-06-15",9.73
"313","2009-06-16",9.75
"314","2009-06-17",9.75
"315","2009-06-18",9.79
"316","2009-06-19",9.79
"317","2009-06-22",9.8
"318","2009-06-23",9.78
"319","2009-06-24",9.83
"320","2009-06-25",9.8
"321","2009-06-26",9.79
"322","2009-06-29",9.8
"323","2009-06-30",9.8
"324","2009-07-01",9.74
"325","2009-07-02",9.79
"326","2009-07-06",9.77
"327","2009-07-07",9.75
"328","2009-07-08",9.79
"329","2009-07-09",9.79
"330","2009-07-10",9.78
"331","2009-07-13",9.75
"332","2009-07-14",9.77
"333","2009-07-15",9.74
"334","2009-07-16",9.76
"335","2009-07-17",9.71
"336","2009-07-20",9.75
"337","2009-07-21",9.77
"338","2009-07-22",9.76
"339","2009-07-23",9.76
"340","2009-07-24",9.75
"341","2009-07-27",9.78
"342","2009-07-28",9.76
"343","2009-07-29",9.78
"344","2009-07-30",9.81
"345","2009-07-31",9.82
"346","2009-08-03",9.81
"347","2009-08-04",9.8
"348","2009-08-05",9.8
"349","2009-08-06",9.82
"350","2009-08-07",9.82
"351","2009-08-10",9.81
"352","2009-08-11",9.76
"353","2009-08-12",9.79
"354","2009-08-13",9.85
"355","2009-08-14",9.9
"356","2009-08-17",9.9
"357","2009-08-18",9.89
"358","2009-08-19",9.9
"359","2009-08-20",9.92
"360","2009-08-21",9.95
"361","2009-08-24",9.98
"362","2009-08-25",9.97
"363","2009-08-26",9.98
"364","2009-08-27",9.95
"365","2009-08-28",9.97
"366","2009-08-31",9.92
"367","2009-09-01",10.05
"368","2009-09-02",10
"369","2009-09-03",9.95
"370","2009-09-04",9.95
"371","2009-09-08",10.02
"372","2009-09-09",10.01
"373","2009-09-10",10.01
"374","2009-09-11",10
"375","2009-09-14",10.01
"376","2009-09-15",10.01
"377","2009-09-16",10
"378","2009-09-17",10.01
"379","2009-09-18",10.01
"380","2009-09-21",9.97
"381","2009-09-22",9.95
"382","2009-09-23",10.1
"383","2009-09-24",10.03
"384","2009-09-25",10.02
"385","2009-09-28",10.7
"386","2009-09-29",11.55
"387","2009-09-30",11.41
"388","2009-10-01",11
"389","2009-10-02",10.64
"390","2009-10-05",10.4
"391","2009-10-06",9.65
"392","2009-10-07",9.12
"393","2009-10-08",9
"394","2009-10-09",8.64
"395","2009-10-12",8.61
"396","2009-10-13",8.55
"397","2009-10-14",8.37
"398","2009-10-15",8.31
"399","2009-10-16",8.1
"400","2009-10-19",8.38
"401","2009-10-20",8.81
"402","2009-10-21",9.11
"403","2009-10-22",9.65
"404","2009-10-23",9.71
"405","2009-10-26",9.82
"406","2009-10-27",9.81
"407","2009-10-28",9.25
"408","2009-10-29",9.1
"409","2009-10-30",8.9
"410","2009-11-02",8.87
"411","2009-11-03",9.06
"412","2009-11-04",8.83
"413","2009-11-05",8.81
"414","2009-11-06",8.76
"415","2009-11-09",9.1
"416","2009-11-10",9.45
"417","2009-11-11",9.4
"418","2009-11-12",9.4
"419","2009-11-13",8.88
"420","2009-11-16",8.66
"421","2009-11-17",8.6
"422","2009-11-18",8.96
"423","2009-11-19",8.73
"424","2009-11-20",8.53
"425","2009-11-23",8.53
"426","2009-11-24",8.4
"427","2009-11-25",8.4
"428","2009-11-27",8.29
"429","2009-11-30",8.19
"430","2009-12-01",8.32
"431","2009-12-02",8
