"","date","FSM"
"1","2007-01-08",1.81
"2","2007-01-09",1.79
"3","2007-01-10",1.88
"4","2007-01-11",1.87
"5","2007-01-12",2
"6","2007-01-16",2.1
"7","2007-01-17",2.1
"8","2007-01-18",2.14
"9","2007-01-19",2.11
"10","2007-01-22",2.09
"11","2007-01-23",2.25
"12","2007-01-24",2.29
"13","2007-01-25",2.37
"14","2007-01-26",2.36
"15","2007-01-29",2.35
"16","2007-01-30",2.34
"17","2007-01-31",2.33
"18","2007-02-01",2.3
"19","2007-02-02",2.27
"20","2007-02-05",2.27
"21","2007-02-06",2.33
"22","2007-02-07",2.4
"23","2007-02-08",2.46
"24","2007-02-09",2.6
"25","2007-02-12",2.63
"26","2007-02-13",2.69
"27","2007-02-14",2.68
"28","2007-02-15",2.71
"29","2007-02-16",2.7
"30","2007-02-20",2.67
"31","2007-02-21",2.76
"32","2007-02-22",2.65
"33","2007-02-23",2.81
"34","2007-02-26",2.78
"35","2007-02-27",2.61
"36","2007-02-28",2.6
"37","2007-03-01",2.5
"38","2007-03-02",2.39
"39","2007-03-05",2.41
"40","2007-03-06",2.75
"41","2007-03-07",2.99
"42","2007-03-08",2.99
"43","2007-03-09",2.99
"44","2007-03-12",2.92
"45","2007-03-13",2.82
"46","2007-03-14",2.68
"47","2007-03-15",2.77
"48","2007-03-16",2.75
"49","2007-03-19",2.75
"50","2007-03-20",2.81
"51","2007-03-21",2.81
"52","2007-03-22",2.78
"53","2007-03-23",2.7
"54","2007-03-26",2.68
"55","2007-03-27",2.7
"56","2007-03-28",2.68
"57","2007-03-29",2.64
"58","2007-03-30",2.51
"59","2007-04-02",2.52
"60","2007-04-03",2.52
"61","2007-04-04",2.71
"62","2007-04-05",2.66
"63","2007-04-09",2.7
"64","2007-04-10",2.75
"65","2007-04-11",2.64
"66","2007-04-12",2.69
"67","2007-04-13",2.74
"68","2007-04-16",2.89
"69","2007-04-17",2.88
"70","2007-04-18",2.77
"71","2007-04-19",2.7
"72","2007-04-20",2.76
"73","2007-04-23",2.78
"74","2007-04-24",2.73
"75","2007-04-25",2.73
"76","2007-04-26",2.71
"77","2007-04-27",2.75
"78","2007-04-30",2.64
"79","2007-05-01",2.62
"80","2007-05-02",2.77
"81","2007-05-03",2.7
"82","2007-05-04",2.97
"83","2007-05-07",2.95
"84","2007-05-08",2.87
"85","2007-05-09",2.79
"86","2007-05-10",2.7
"87","2007-05-11",2.72
"88","2007-05-14",2.72
"89","2007-05-15",2.63
"90","2007-05-16",2.54
"91","2007-05-17",2.6
"92","2007-05-18",2.6
"93","2007-05-21",2.6
"94","2007-05-22",2.52
"95","2007-05-23",2.64
"96","2007-05-24",2.55
"97","2007-05-25",2.51
"98","2007-05-29",2.6
"99","2007-05-30",2.91
"100","2007-05-31",2.91
"101","2007-06-01",3
"102","2007-06-04",3
"103","2007-06-05",2.98
"104","2007-06-06",2.85
"105","2007-06-07",2.75
"106","2007-06-08",2.76
"107","2007-06-11",2.8
"108","2007-06-12",2.71
"109","2007-06-13",2.7
"110","2007-06-14",2.84
"111","2007-06-15",2.92
"112","2007-06-18",3.11
"113","2007-06-19",3.23
"114","2007-06-20",3.22
"115","2007-06-21",3.18
"116","2007-06-22",3.07
"117","2007-06-25",3.06
"118","2007-06-26",2.93
