"","date","WHLRD"
"1","2017-07-21",24.024
"2","2017-07-24",24
"3","2017-07-25",24.049999
"4","2017-07-26",23.85
"5","2017-07-27",23.5
"6","2017-07-28",23.700001
"7","2017-07-31",23.68
"8","2017-08-01",23.700001
"9","2017-08-02",23.700001
"10","2017-08-03",23.559999
"11","2017-08-04",23.34
"12","2017-08-07",23.639999
"13","2017-08-08",23.639999
"14","2017-08-09",23.806
"15","2017-08-10",23.809999
"16","2017-08-11",23.42
"17","2017-08-14",23.120001
"18","2017-08-15",22.9
"19","2017-08-16",22.9
"20","2017-08-17",22.450001
"21","2017-08-18",22.26
"22","2017-08-21",21.809999
"23","2017-08-22",22.049999
"24","2017-08-23",22.033001
"25","2017-08-24",22.040001
"26","2017-08-25",22.039
"27","2017-08-28",22.039
"28","2017-08-29",22.084999
"29","2017-08-30",22.01
"30","2017-08-31",22.427999
"31","2017-09-01",22.26
"32","2017-09-05",22.374001
"33","2017-09-06",22.58
"34","2017-09-07",22.700001
"35","2017-09-08",22.68
"36","2017-09-11",22.627001
"37","2017-09-12",22.799999
"38","2017-09-13",23
"39","2017-09-14",22.944
"40","2017-09-15",22.889999
"41","2017-09-18",22.98
"42","2017-09-19",22.65
"43","2017-09-20",22.799999
"44","2017-09-21",22.85
"45","2017-09-22",22.719999
"46","2017-09-25",23.142
"47","2017-09-26",23.08
"48","2017-09-27",23.058001
"49","2017-09-28",22.450001
"50","2017-09-29",22.67
"51","2017-10-02",22.700001
"52","2017-10-03",22.67
"53","2017-10-04",22.6
"54","2017-10-05",22.59
"55","2017-10-06",22.51
"56","2017-10-09",22.43
"57","2017-10-10",22.809999
"58","2017-10-11",22.676001
"59","2017-10-12",22.620001
"60","2017-10-13",22.68
"61","2017-10-16",22.040001
"62","2017-10-17",21.450001
"63","2017-10-18",20.700001
"64","2017-10-19",20.25
"65","2017-10-20",20.200001
"66","2017-10-23",20.5
"67","2017-10-24",20.18
"68","2017-10-25",20.200001
"69","2017-10-26",20.18
"70","2017-10-27",20.51
"71","2017-10-30",20.5
"72","2017-10-31",20.450001
"73","2017-11-01",20.290001
"74","2017-11-02",20.25
"75","2017-11-03",19.17
"76","2017-11-06",19.02
"77","2017-11-07",19.02
"78","2017-11-08",19.09
"79","2017-11-09",20.309999
"80","2017-11-10",20.57
"81","2017-11-13",20.57
"82","2017-11-14",20.5
"83","2017-11-15",20.5
"84","2017-11-16",20.65
"85","2017-11-17",20.389999
"86","2017-11-20",20.434999
"87","2017-11-21",20.450001
"88","2017-11-22",20.679001
"89","2017-11-24",20.679001
"90","2017-11-27",20.75
"91","2017-11-28",20.68
"92","2017-11-29",20.805
"93","2017-11-30",20.92
"94","2017-12-01",20.950001
"95","2017-12-04",21
"96","2017-12-05",21.101
"97","2017-12-06",21.08
"98","2017-12-07",21.24
"99","2017-12-08",21.530001
"100","2017-12-11",21.360001
"101","2017-12-12",21.5
"102","2017-12-13",20.969999
"103","2017-12-14",21.299999
"104","2017-12-15",21.5
"105","2017-12-18",21.23
"106","2017-12-19",21.302
"107","2017-12-20",21.370001
"108","2017-12-21",21.427999
"109","2017-12-22",21.469999
"110","2017-12-26",21.809999
"111","2017-12-27",21.65
"112","2017-12-28",20.35
"113","2017-12-29",20.1
"114","2018-01-02",19.559999
"115","2018-01-03",19.33
"116","2018-01-04",18.799999
"117","2018-01-05",18.434
"118","2018-01-08",18.360001
"119","2018-01-09",17.35
"120","2018-01-10",16.5
"121","2018-01-11",18.5
"122","2018-01-12",17.52
"123","2018-01-16",17.045
"124","2018-01-17",17.309999
"125","2018-01-18",17.34
"126","2018-01-19",17.290001
"127","2018-01-22",17.42
"128","2018-01-23",17.27
"129","2018-01-24",17.299999
"130","2018-01-25",17.184999
"131","2018-01-26",17.209999
"132","2018-01-29",17.135
"133","2018-01-30",17.530001
"134","2018-01-31",17.5
"135","2018-02-01",17.549999
"136","2018-02-02",17.25
"137","2018-02-05",17.48
"138","2018-02-06",17.1
"139","2018-02-07",17.500999
"140","2018-02-08",17.59
"141","2018-02-09",18.33
"142","2018-02-12",17.75
"143","2018-02-13",17.549999
"144","2018-02-14",17.700001
"145","2018-02-15",17.700001
"146","2018-02-16",17.75
"147","2018-02-20",17.34
"148","2018-02-21",16.959999
"149","2018-02-22",16.68
"150","2018-02-23",16.459999
"151","2018-02-26",16.6
"152","2018-02-27",17.030001
"153","2018-02-28",17.16
"154","2018-03-01",16.964001
"155","2018-03-02",17
"156","2018-03-05",16.6
"157","2018-03-06",16.02
"158","2018-03-07",15.51
"159","2018-03-08",15.6
"160","2018-03-09",15.75
"161","2018-03-12",15.75
"162","2018-03-13",15.96
"163","2018-03-14",15.81
"164","2018-03-15",15.25
"165","2018-03-16",15.63
"166","2018-03-19",15.48
"167","2018-03-20",15.43
"168","2018-03-21",15.58
"169","2018-03-22",15.75
"170","2018-03-23",15.75
"171","2018-03-26",15.56
