"","date","AUVI"
"1","2020-08-31",11.6
"2","2020-09-01",8.6
"3","2020-09-02",7.25
"4","2020-09-03",6.35
"5","2020-09-04",5.7
"6","2020-09-08",7.49
"7","2020-09-09",6.39
"8","2020-09-10",5.94
"9","2020-09-11",5.96
"10","2020-09-14",6.22
"11","2020-09-15",6.46
"12","2020-09-16",6.25
"13","2020-09-17",6.19
"14","2020-09-18",6.2
"15","2020-09-21",6.8
"16","2020-09-22",8.24
"17","2020-09-23",7.1
"18","2020-09-24",7.61
"19","2020-09-25",7.4
"20","2020-09-28",7.36
"21","2020-09-29",7.3
"22","2020-09-30",7.27
"23","2020-10-01",7.14
"24","2020-10-02",7.1
"25","2020-10-05",7.13
"26","2020-10-06",6.68
"27","2020-10-07",6.9
"28","2020-10-08",6.81
"29","2020-10-09",6.62
"30","2020-10-12",6.56
"31","2020-10-13",6.6
"32","2020-10-14",7.06
"33","2020-10-15",7.495
"34","2020-10-16",7.14
"35","2020-10-19",7.11
"36","2020-10-20",7.08
"37","2020-10-21",6.75
"38","2020-10-22",6.61
"39","2020-10-23",6.75
"40","2020-10-26",6.76
"41","2020-10-27",6.37
"42","2020-10-28",8.14
"43","2020-10-29",7.04
"44","2020-10-30",6.46
"45","2020-11-02",6.08
"46","2020-11-03",6
"47","2020-11-04",6.06
"48","2020-11-05",5.36
"49","2020-11-06",6.31
"50","2020-11-09",6.39
"51","2020-11-10",5.2
"52","2020-11-11",5.22
"53","2020-11-12",5.22
"54","2020-11-13",5.16
"55","2020-11-16",4.95
"56","2020-11-17",5.04
"57","2020-11-18",5.05
"58","2020-11-19",5.19
"59","2020-11-20",5.1
"60","2020-11-23",5.1
"61","2020-11-24",4.99
"62","2020-11-25",5.04
"63","2020-11-27",5.08
