"","date","GD"
"1","2007-01-03",73.949997
"2","2007-01-04",74.419998
"3","2007-01-05",74.589996
"4","2007-01-08",78
"5","2007-01-09",78.309998
"6","2007-01-10",79.290001
"7","2007-01-11",80.510002
"8","2007-01-12",80.089996
"9","2007-01-16",79.660004
"10","2007-01-17",80.07
"11","2007-01-18",78.860001
"12","2007-01-19",79.529999
"13","2007-01-22",78.760002
"14","2007-01-23",80.889999
"15","2007-01-24",79.849998
"16","2007-01-25",77.75
"17","2007-01-26",78.050003
"18","2007-01-29",77.169998
"19","2007-01-30",77.029999
"20","2007-01-31",78.150002
"21","2007-02-01",79.089996
"22","2007-02-02",78.669998
"23","2007-02-05",79.07
"24","2007-02-06",79.57
"25","2007-02-07",79.440002
"26","2007-02-08",79.239998
"27","2007-02-09",79.559998
"28","2007-02-12",78.779999
"29","2007-02-13",79.809998
"30","2007-02-14",79.629997
"31","2007-02-15",79.489998
"32","2007-02-16",79.25
"33","2007-02-20",79.290001
"34","2007-02-21",78.720001
"35","2007-02-22",79.18
"36","2007-02-23",79.050003
"37","2007-02-26",78.089996
"38","2007-02-27",75.330002
"39","2007-02-28",76.379997
"40","2007-03-01",76.410004
"41","2007-03-02",75.459999
"42","2007-03-05",75.129997
"43","2007-03-06",76.489998
"44","2007-03-07",76.029999
"45","2007-03-08",77.089996
"46","2007-03-09",77.32
"47","2007-03-12",78.779999
"48","2007-03-13",76.769997
"49","2007-03-14",77.580002
"50","2007-03-15",77.480003
"51","2007-03-16",77.550003
"52","2007-03-19",78.32
"53","2007-03-20",78.419998
"54","2007-03-21",78.540001
"55","2007-03-22",77.419998
"56","2007-03-23",77.629997
"57","2007-03-26",77.589996
"58","2007-03-27",77.550003
"59","2007-03-28",76.830002
"60","2007-03-29",76.650002
"61","2007-03-30",76.400002
"62","2007-04-02",76.269997
"63","2007-04-03",77.379997
"64","2007-04-04",78.260002
"65","2007-04-05",78.110001
"66","2007-04-09",78.519997
"67","2007-04-10",78.389999
"68","2007-04-11",76.720001
"69","2007-04-12",77.339996
"70","2007-04-13",76.720001
