"","date","FUND"
"1","2007-01-03",10.79
"2","2007-01-04",10.59
"3","2007-01-05",10.55
"4","2007-01-08",10.44
"5","2007-01-09",10.44
"6","2007-01-10",10.25
"7","2007-01-11",10.37
"8","2007-01-12",10.57
"9","2007-01-16",10.62
"10","2007-01-17",10.59
"11","2007-01-18",10.6
"12","2007-01-19",10.57
"13","2007-01-22",10.5
"14","2007-01-23",10.42
"15","2007-01-24",10.57
"16","2007-01-25",10.61
"17","2007-01-26",10.5
"18","2007-01-29",10.55
"19","2007-01-30",10.48
"20","2007-01-31",10.8
"21","2007-02-01",11.1
"22","2007-02-02",11
"23","2007-02-05",11.18
"24","2007-02-06",11.08
"25","2007-02-07",11.2
"26","2007-02-08",11.32
"27","2007-02-09",11.3
"28","2007-02-12",11.25
"29","2007-02-13",11.32
"30","2007-02-14",11.5
"31","2007-02-15",11.5
"32","2007-02-16",11.36
"33","2007-02-20",11.47
"34","2007-02-21",11.73
"35","2007-02-22",11.45
"36","2007-02-23",11.57
"37","2007-02-26",11.5
"38","2007-02-27",10.99
"39","2007-02-28",11.38
"40","2007-03-01",11.01
"41","2007-03-02",10.81
"42","2007-03-05",10.54
"43","2007-03-06",10.8
"44","2007-03-07",10.78
"45","2007-03-08",10.81
"46","2007-03-09",10.83
"47","2007-03-12",10.85
"48","2007-03-13",10.51
"49","2007-03-14",10.64
"50","2007-03-15",10.7
"51","2007-03-16",10.72
"52","2007-03-19",10.82
"53","2007-03-20",10.94
"54","2007-03-21",11.06
"55","2007-03-22",11.24
"56","2007-03-23",11.43
"57","2007-03-26",11.2
"58","2007-03-27",11.3
"59","2007-03-28",11.13
"60","2007-03-29",11.18
"61","2007-03-30",11.32
"62","2007-04-02",11.35
"63","2007-04-03",11.4
"64","2007-04-04",11.4
"65","2007-04-05",11.46
"66","2007-04-09",11.4
"67","2007-04-10",11.34
"68","2007-04-11",11.21
"69","2007-04-12",11.45
"70","2007-04-13",11.45
"71","2007-04-16",11.54
"72","2007-04-17",11.49
"73","2007-04-18",11.35
"74","2007-04-19",11.36
"75","2007-04-20",11.42
"76","2007-04-23",11.41
"77","2007-04-24",11.41
"78","2007-04-25",11.49
"79","2007-04-26",11.49
"80","2007-04-27",11.52
"81","2007-04-30",11.48
"82","2007-05-01",11.31
"83","2007-05-02",11.21
"84","2007-05-03",11.26
"85","2007-05-04",11.31
"86","2007-05-07",11.33
"87","2007-05-08",11.31
"88","2007-05-09",11.26
"89","2007-05-10",11.37
"90","2007-05-11",11.58
"91","2007-05-14",11.46
"92","2007-05-15",11.46
"93","2007-05-16",11.39
"94","2007-05-17",11.41
"95","2007-05-18",11.45
"96","2007-05-21",11.53
