"","date","PRTK"
"1","2009-02-03",50.400002
"2","2009-02-04",49.200001
"3","2009-02-05",45.599998
"4","2009-02-06",46.200001
"5","2009-02-09",47.52
"6","2009-02-10",46.799999
"7","2009-02-11",47.759998
"8","2009-02-12",49.68
"9","2009-02-13",46.799999
"10","2009-02-17",42.240002
"11","2009-02-18",43.799999
"12","2009-02-19",43.799999
"13","2009-02-20",42
"14","2009-02-23",42.48
"15","2009-02-24",43.080002
"16","2009-02-25",38.639999
"17","2009-02-26",40.32
"18","2009-02-27",39.959999
"19","2009-03-02",39.119999
"20","2009-03-03",37.080002
"21","2009-03-04",36.119999
"22","2009-03-05",37.200001
"23","2009-03-06",36
"24","2009-03-09",36
"25","2009-03-10",36.48
"26","2009-03-11",36
"27","2009-03-12",37.200001
"28","2009-03-13",35.16
"29","2009-03-16",36
"30","2009-03-17",35.639999
"31","2009-03-18",36
"32","2009-03-19",36
"33","2009-03-20",37.799999
"34","2009-03-23",37.560001
"35","2009-03-24",36
"36","2009-03-25",35.639999
"37","2009-03-26",36.959999
"38","2009-03-27",35.759998
"39","2009-03-30",36.119999
"40","2009-03-31",36
"41","2009-04-01",36
"42","2009-04-02",35.400002
"43","2009-04-03",35.52
"44","2009-04-06",35.400002
"45","2009-04-07",35.400002
"46","2009-04-08",35.16
"47","2009-04-09",34.200001
"48","2009-04-13",34.439999
"49","2009-04-14",34.919998
"50","2009-04-15",34.799999
"51","2009-04-16",35.880001
"52","2009-04-17",34.919998
"53","2009-04-20",34.799999
"54","2009-04-21",34.799999
"55","2009-04-22",34.799999
"56","2009-04-23",34.560001
"57","2009-04-24",34.200001
"58","2009-04-27",33.599998
"59","2009-04-28",33.720001
"60","2009-04-29",33.84
"61","2009-04-30",34.799999
"62","2009-05-01",34.200001
"63","2009-05-04",35.400002
"64","2009-05-05",35.52
"65","2009-05-06",36.720001
"66","2009-05-07",40.439999
"67","2009-05-08",52.799999
"68","2009-05-11",64.919998
"69","2009-05-12",57.360001
"70","2009-05-13",60
"71","2009-05-14",62.52
"72","2009-05-15",59.52
"73","2009-05-18",63.84
"74","2009-05-19",60
"75","2009-05-20",58.799999
"76","2009-05-21",61.799999
"77","2009-05-22",59.759998
"78","2009-05-26",60.959999
"79","2009-05-27",58.919998
"80","2009-05-28",61.439999
"81","2009-05-29",63.599998
"82","2009-06-01",71.519997
"83","2009-06-02",71.639999
"84","2009-06-03",70.800003
"85","2009-06-04",68.160004
"86","2009-06-05",68.040001
"87","2009-06-08",68.400002
"88","2009-06-09",66
"89","2009-06-10",66
"90","2009-06-11",59.279999
"91","2009-06-12",56.639999
"92","2009-06-15",57
"93","2009-06-16",57.599998
"94","2009-06-17",56.880001
"95","2009-06-18",57.599998
"96","2009-06-19",58.439999
"97","2009-06-22",56.52
"98","2009-06-23",59.16
"99","2009-06-24",57
"100","2009-06-25",59.16
"101","2009-06-26",65.400002
"102","2009-06-29",62.040001
"103","2009-06-30",62.040001
"104","2009-07-01",59.759998
"105","2009-07-02",57.599998
"106","2009-07-06",57.360001
"107","2009-07-07",57.360001
"108","2009-07-08",56.16
"109","2009-07-09",56.400002
"110","2009-07-10",56.400002
"111","2009-07-13",56.639999
"112","2009-07-14",56.16
"113","2009-07-15",55.799999
"114","2009-07-16",54.720001
"115","2009-07-17",55.080002
"116","2009-07-20",55.799999
"117","2009-07-21",58.32
"118","2009-07-22",62.16
"119","2009-07-23",63.360001
"120","2009-07-24",66.959999
"121","2009-07-27",67.800003
"122","2009-07-28",69.360001
"123","2009-07-29",70.68
"124","2009-07-30",72
