"","date","ACIU"
"1","2016-09-23",15.66
"2","2016-09-26",16.5
"3","2016-09-27",18.209999
"4","2016-09-28",19.299999
"5","2016-09-29",17.540001
"6","2016-09-30",16.469999
"7","2016-10-03",17.860001
"8","2016-10-04",17.52
"9","2016-10-05",16.66
"10","2016-10-06",16.08
"11","2016-10-07",15.81
"12","2016-10-10",15.25
"13","2016-10-11",15.1
"14","2016-10-12",14.48
"15","2016-10-13",14.01
"16","2016-10-14",13.96
"17","2016-10-17",14.43
"18","2016-10-18",15.19
"19","2016-10-19",14.75
"20","2016-10-20",14.96
"21","2016-10-21",15.68
"22","2016-10-24",15.18
"23","2016-10-25",15.74
"24","2016-10-26",15.75
"25","2016-10-27",14.91
"26","2016-10-28",14.56
"27","2016-10-31",13.62
"28","2016-11-01",12.81
"29","2016-11-02",12.05
"30","2016-11-03",12.08
"31","2016-11-04",11.86
"32","2016-11-07",11.51
"33","2016-11-08",10.52
"34","2016-11-09",13.29
"35","2016-11-10",14.15
"36","2016-11-11",15.11
"37","2016-11-14",14.7
"38","2016-11-15",15.36
"39","2016-11-16",15.57
"40","2016-11-17",16.110001
"41","2016-11-18",15.3
"42","2016-11-21",14.08
"43","2016-11-22",13.7
"44","2016-11-23",11.53
"45","2016-11-25",12.61
"46","2016-11-28",12.13
"47","2016-11-29",11.86
"48","2016-11-30",11.59
"49","2016-12-01",11.58
"50","2016-12-02",11.5
"51","2016-12-05",11.93
"52","2016-12-06",11.99
"53","2016-12-07",11.65
"54","2016-12-08",12.05
"55","2016-12-09",14.93
"56","2016-12-12",12.87
"57","2016-12-13",13.36
"58","2016-12-14",13.61
"59","2016-12-15",13.55
"60","2016-12-16",14.32
"61","2016-12-19",14.53
"62","2016-12-20",14.33
"63","2016-12-21",12.85
"64","2016-12-22",12.56
"65","2016-12-23",13.23
"66","2016-12-27",13.52
"67","2016-12-28",12.7
"68","2016-12-29",12.54
"69","2016-12-30",12.98
"70","2017-01-03",13.01
"71","2017-01-04",13.65
"72","2017-01-05",13.53
"73","2017-01-06",13.66
"74","2017-01-09",13.34
"75","2017-01-10",13.29
"76","2017-01-11",13.42
"77","2017-01-12",13.05
"78","2017-01-13",13.5
"79","2017-01-17",13.2
"80","2017-01-18",12.98
"81","2017-01-19",12.65
"82","2017-01-20",12.6
"83","2017-01-23",12.4
"84","2017-01-24",12.05
"85","2017-01-25",12.15
"86","2017-01-26",12.25
"87","2017-01-27",12.12
"88","2017-01-30",11.76
"89","2017-01-31",12.02
"90","2017-02-01",11.98
"91","2017-02-02",12.09
"92","2017-02-03",12.14
"93","2017-02-06",12
"94","2017-02-07",12.01
"95","2017-02-08",12.18
"96","2017-02-09",11.63
"97","2017-02-10",12.01
"98","2017-02-13",12.19
"99","2017-02-14",12.94
"100","2017-02-15",12.67
"101","2017-02-16",12.72
"102","2017-02-17",12.71
"103","2017-02-21",12.69
"104","2017-02-22",12.3
"105","2017-02-23",12.32
"106","2017-02-24",11.85
"107","2017-02-27",12.26
"108","2017-02-28",12.44
"109","2017-03-01",12.56
"110","2017-03-02",12.65
"111","2017-03-03",12.96
"112","2017-03-06",12.5
"113","2017-03-07",11.5
"114","2017-03-08",11.63
"115","2017-03-09",12.02
"116","2017-03-10",11.81
"117","2017-03-13",12.2
"118","2017-03-14",11.61
"119","2017-03-15",12.27
"120","2017-03-16",12.35
"121","2017-03-17",12.07
"122","2017-03-20",11.55
"123","2017-03-21",11.55
"124","2017-03-22",11.47
"125","2017-03-23",11.04
"126","2017-03-24",11.02
"127","2017-03-27",11.13
"128","2017-03-28",11.62
"129","2017-03-29",11.58
"130","2017-03-30",11.57
"131","2017-03-31",10.36
"132","2017-04-03",10.17
"133","2017-04-04",9.51
"134","2017-04-05",9.67
"135","2017-04-06",9.94
"136","2017-04-07",10.08
"137","2017-04-10",10.15
"138","2017-04-11",10.16
"139","2017-04-12",10.04
"140","2017-04-13",10.1
"141","2017-04-17",10.01
"142","2017-04-18",10.01
"143","2017-04-19",9.98
"144","2017-04-20",9.86
"145","2017-04-21",9.66
"146","2017-04-24",9.6
"147","2017-04-25",9.61
"148","2017-04-26",9.57
"149","2017-04-27",9.55
"150","2017-04-28",9.55
"151","2017-05-01",8.93
"152","2017-05-02",9.29
"153","2017-05-03",9
"154","2017-05-04",9.1
"155","2017-05-05",9
"156","2017-05-08",9.12
"157","2017-05-09",9.02
"158","2017-05-10",9.06
"159","2017-05-11",8.95
"160","2017-05-12",9.1
"161","2017-05-15",9.01
"162","2017-05-16",8.64
"163","2017-05-17",8.74
"164","2017-05-18",8.8
"165","2017-05-19",8.88
"166","2017-05-22",9.06
"167","2017-05-23",8.91
"168","2017-05-24",8.96
"169","2017-05-25",8.91
"170","2017-05-26",8.91
"171","2017-05-30",8.9
"172","2017-05-31",8.9
"173","2017-06-01",8.82
"174","2017-06-02",8.84
"175","2017-06-05",9.45
"176","2017-06-06",9.03
"177","2017-06-07",9.29
