"","date","NTZ"
"1","2007-01-03",43.799999
"2","2007-01-04",43.799999
"3","2007-01-05",44.049999
"4","2007-01-08",44.450001
"5","2007-01-09",44.099998
"6","2007-01-10",42.400002
"7","2007-01-11",42.900002
"8","2007-01-12",43.099998
"9","2007-01-16",42.150002
"10","2007-01-17",44.5
"11","2007-01-18",48
"12","2007-01-19",45.5
"13","2007-01-22",46.650002
"14","2007-01-23",46.049999
"15","2007-01-24",46.450001
"16","2007-01-25",45.400002
"17","2007-01-26",45.549999
"18","2007-01-29",45.549999
"19","2007-01-30",45.299999
"20","2007-01-31",45.299999
"21","2007-02-01",47.150002
"22","2007-02-02",47.349998
"23","2007-02-05",47.400002
"24","2007-02-06",47.049999
"25","2007-02-07",46.450001
"26","2007-02-08",46.849998
"27","2007-02-09",47.5
"28","2007-02-12",45.5
"29","2007-02-13",46.099998
"30","2007-02-14",45.25
"31","2007-02-15",45.450001
"32","2007-02-16",45
"33","2007-02-20",44.5
"34","2007-02-21",43
"35","2007-02-22",43.799999
"36","2007-02-23",43
"37","2007-02-26",44
"38","2007-02-27",44.099998
"39","2007-02-28",43.75
"40","2007-03-01",43.75
"41","2007-03-02",43.549999
"42","2007-03-05",42.900002
"43","2007-03-06",43
"44","2007-03-07",41.450001
"45","2007-03-08",43.200001
"46","2007-03-09",43.150002
"47","2007-03-12",44.549999
"48","2007-03-13",42.75
"49","2007-03-14",42.549999
"50","2007-03-15",42.799999
"51","2007-03-16",43.5
"52","2007-03-19",43.5
"53","2007-03-20",43.75
"54","2007-03-21",44.25
"55","2007-03-22",44.299999
"56","2007-03-23",45.200001
"57","2007-03-26",45.349998
"58","2007-03-27",42.549999
"59","2007-03-28",40.75
"60","2007-03-29",40.950001
"61","2007-03-30",40.849998
"62","2007-04-02",41.75
"63","2007-04-03",41.5
"64","2007-04-04",40.099998
"65","2007-04-05",39.799999
"66","2007-04-09",39.599998
"67","2007-04-10",39.200001
"68","2007-04-11",37.799999
"69","2007-04-12",37.799999
"70","2007-04-13",37.549999
"71","2007-04-16",38.099998
"72","2007-04-17",39
"73","2007-04-18",37.599998
"74","2007-04-19",37.950001
"75","2007-04-20",38.049999
"76","2007-04-23",37.650002
"77","2007-04-24",38.049999
"78","2007-04-25",37.599998
"79","2007-04-26",37.950001
"80","2007-04-27",38.299999
"81","2007-04-30",38.25
"82","2007-05-01",39.450001
"83","2007-05-02",40.700001
"84","2007-05-03",40.299999
"85","2007-05-04",41.150002
"86","2007-05-07",39.799999
"87","2007-05-08",39.75
"88","2007-05-09",40.900002
"89","2007-05-10",39.75
"90","2007-05-11",39.950001
"91","2007-05-14",42.099998
"92","2007-05-15",41.799999
"93","2007-05-16",41.299999
"94","2007-05-17",41.5
"95","2007-05-18",41.400002
"96","2007-05-21",41.25
"97","2007-05-22",42.650002
"98","2007-05-23",42
"99","2007-05-24",40
"100","2007-05-25",39.099998
"101","2007-05-29",39
"102","2007-05-30",39.099998
"103","2007-05-31",39
"104","2007-06-01",38
"105","2007-06-04",37.25
"106","2007-06-05",37.75
"107","2007-06-06",35.900002
"108","2007-06-07",36.5
"109","2007-06-08",37.25
"110","2007-06-11",37.900002
"111","2007-06-12",38.049999
"112","2007-06-13",38.25
"113","2007-06-14",40.900002
"114","2007-06-15",41.049999
"115","2007-06-18",39.200001
"116","2007-06-19",39.25
"117","2007-06-20",39.799999
"118","2007-06-21",39.25
"119","2007-06-22",38.799999
"120","2007-06-25",39.099998
"121","2007-06-26",39.099998
"122","2007-06-27",38.400002
"123","2007-06-28",39.349998
"124","2007-06-29",39.75
"125","2007-07-02",40.450001
"126","2007-07-03",41.549999
"127","2007-07-05",39.900002
"128","2007-07-06",38.599998
"129","2007-07-09",39.650002
"130","2007-07-10",39.25
"131","2007-07-11",39.299999
