"","date","RCM"
"1","2017-03-16",2.75
"2","2017-03-17",2.9
"3","2017-03-20",2.9
"4","2017-03-21",2.75
"5","2017-03-22",2.72
"6","2017-03-23",2.89
"7","2017-03-24",2.83
"8","2017-03-27",2.9
"9","2017-03-28",2.85
"10","2017-03-29",2.89
"11","2017-03-30",2.98
"12","2017-03-31",3.09
"13","2017-04-03",3.08
"14","2017-04-04",3.1
"15","2017-04-05",3.16
"16","2017-04-06",3.21
"17","2017-04-07",3.27
"18","2017-04-10",3.37
"19","2017-04-11",3.43
"20","2017-04-12",3.46
"21","2017-04-13",3.5
"22","2017-04-17",3.45
"23","2017-04-18",3.45
"24","2017-04-19",3.48
"25","2017-04-20",3.59
"26","2017-04-21",3.58
"27","2017-04-24",3.75
"28","2017-04-25",3.98
"29","2017-04-26",3.91
"30","2017-04-27",3.88
"31","2017-04-28",3.89
"32","2017-05-01",3.96
"33","2017-05-02",3.96
"34","2017-05-03",3.88
"35","2017-05-04",3.89
"36","2017-05-05",3.75
"37","2017-05-08",3.74
"38","2017-05-09",3.62
"39","2017-05-10",3.82
"40","2017-05-11",3.83
"41","2017-05-12",3.74
"42","2017-05-15",3.67
"43","2017-05-16",3.64
"44","2017-05-17",3.55
"45","2017-05-18",3.4
"46","2017-05-19",3.51
"47","2017-05-22",3.41
"48","2017-05-23",3.41
"49","2017-05-24",3.38
"50","2017-05-25",3.51
"51","2017-05-26",3.47
"52","2017-05-30",3.45
"53","2017-05-31",3.57
"54","2017-06-01",3.75
"55","2017-06-02",3.75
"56","2017-06-05",3.72
"57","2017-06-06",3.62
"58","2017-06-07",3.69
"59","2017-06-08",3.68
"60","2017-06-09",3.73
"61","2017-06-12",3.85
"62","2017-06-13",3.95
"63","2017-06-14",4.07
"64","2017-06-15",4.24
"65","2017-06-16",3.99
"66","2017-06-19",4.04
"67","2017-06-20",4.07
"68","2017-06-21",3.84
"69","2017-06-22",3.79
"70","2017-06-23",3.75
"71","2017-06-26",3.88
"72","2017-06-27",3.75
"73","2017-06-28",3.87
"74","2017-06-29",3.74
"75","2017-06-30",3.75
"76","2017-07-03",3.55
"77","2017-07-05",3.85
"78","2017-07-06",3.69
"79","2017-07-07",3.68
"80","2017-07-10",3.7
"81","2017-07-11",3.7
"82","2017-07-12",3.74
"83","2017-07-13",3.68
"84","2017-07-14",3.71
"85","2017-07-17",3.59
"86","2017-07-18",3.56
"87","2017-07-19",3.49
"88","2017-07-20",3.5
"89","2017-07-21",3.46
"90","2017-07-24",3.47
"91","2017-07-25",3.53
"92","2017-07-26",3.44
"93","2017-07-27",3.4
"94","2017-07-28",3.3
"95","2017-07-31",3.39
"96","2017-08-01",3.33
"97","2017-08-02",3.29
"98","2017-08-03",3.36
"99","2017-08-04",3.2
"100","2017-08-07",3.2
"101","2017-08-08",3.26
"102","2017-08-09",3.21
"103","2017-08-10",3.13
"104","2017-08-11",3.08
"105","2017-08-14",3.27
"106","2017-08-15",3.33
"107","2017-08-16",3.22
"108","2017-08-17",3.16
"109","2017-08-18",3.17
"110","2017-08-21",3.16
"111","2017-08-22",3.18
"112","2017-08-23",3.18
"113","2017-08-24",3.23
"114","2017-08-25",3.2
"115","2017-08-28",3.21
"116","2017-08-29",3.24
"117","2017-08-30",3.25
"118","2017-08-31",3.3
"119","2017-09-01",3.27
"120","2017-09-05",3.26
"121","2017-09-06",3.23
"122","2017-09-07",3.27
"123","2017-09-08",3.26
"124","2017-09-11",3.28
"125","2017-09-12",3.17
"126","2017-09-13",3.11
"127","2017-09-14",3.15
"128","2017-09-15",3.29
"129","2017-09-18",3.28
"130","2017-09-19",3.32
"131","2017-09-20",3.38
"132","2017-09-21",3.62
"133","2017-09-22",3.59
"134","2017-09-25",3.45
"135","2017-09-26",3.51
"136","2017-09-27",3.66
"137","2017-09-28",3.71
"138","2017-09-29",3.71
"139","2017-10-02",3.76
"140","2017-10-03",3.76
"141","2017-10-04",3.73
"142","2017-10-05",3.75
"143","2017-10-06",3.72
"144","2017-10-09",3.79
"145","2017-10-10",3.66
"146","2017-10-11",3.59
"147","2017-10-12",3.49
"148","2017-10-13",3.53
"149","2017-10-16",3.59
"150","2017-10-17",3.63
