"","date","ATRO"
"1","2007-01-03",6.269349
"2","2007-01-04",6.450908
"3","2007-01-05",6.517603
"4","2007-01-08",6.417561
"5","2007-01-09",6.550951
"6","2007-01-10",6.60653
"7","2007-01-11",6.891838
"8","2007-01-12",6.869606
"9","2007-01-16",6.891838
"10","2007-01-17",6.739921
"11","2007-01-18",6.828848
"12","2007-01-19",6.817732
"13","2007-01-22",6.521309
"14","2007-01-23",6.480551
"15","2007-01-24",6.484256
"16","2007-01-25",6.424971
"17","2007-01-26",6.595415
"18","2007-01-29",6.632467
"19","2007-01-30",6.791795
"20","2007-01-31",6.854785
"21","2007-02-01",6.762153
"22","2007-02-02",6.969649
"23","2007-02-05",6.650994
"24","2007-02-06",6.680636
"25","2007-02-07",6.925185
"26","2007-02-08",6.999291
"27","2007-02-09",7.273482
"28","2007-02-12",7.640306
"29","2007-02-13",7.666243
"30","2007-02-14",7.632895
"31","2007-02-15",7.36241
"32","2007-02-16",7.632895
"33","2007-02-20",7.75517
"34","2007-02-21",7.814455
"35","2007-02-22",7.210493
"36","2007-02-23",7.30683
"37","2007-02-26",7.040049
"38","2007-02-27",6.847374
"39","2007-02-28",6.632467
"40","2007-03-01",6.706573
"41","2007-03-02",6.665815
"42","2007-03-05",6.691752
"43","2007-03-06",6.828848
"44","2007-03-07",6.539835
"45","2007-03-08",6.591709
"46","2007-03-09",6.684341
"47","2007-03-12",6.969649
"48","2007-03-13",6.40274
"49","2007-03-14",6.306402
"50","2007-03-15",6.576888
"51","2007-03-16",6.495372
"52","2007-03-19",6.576888
"53","2007-03-20",6.521309
"54","2007-03-21",6.558362
"55","2007-03-22",6.476845
"56","2007-03-23",6.387918
"57","2007-03-26",6.324928
"58","2007-03-27",6.424971
"59","2007-03-28",6.369392
"60","2007-03-29",6.439793
"61","2007-03-30",6.521309
"62","2007-04-02",6.47314
"63","2007-04-03",6.406445
"64","2007-04-04",6.465729
"65","2007-04-05",6.387918
"66","2007-04-09",6.280465
"67","2007-04-10",6.22118
"68","2007-04-11",6.072969
"69","2007-04-12",6.043326
