"","date","MESO"
"1","2010-01-20",10.25
"2","2010-01-21",10.25
"3","2010-01-22",9.55
"4","2010-01-25",9.55
"5","2010-01-26",9.55
"6","2010-01-27",9.55
"7","2010-01-28",9.75
"8","2010-01-29",9.75
"9","2010-02-01",9.75
"10","2010-02-02",9.75
"11","2010-02-03",9.75
"12","2010-02-04",8.5
"13","2010-02-05",8.5
"14","2010-02-08",8.5
"15","2010-02-09",8.5
"16","2010-02-10",8.5
"17","2010-02-11",8.5
"18","2010-02-12",8.5
"19","2010-02-16",8.5
"20","2010-02-17",8.5
"21","2010-02-18",8.5
"22","2010-02-19",8.5
"23","2010-02-22",8.5
"24","2010-02-23",8.5
"25","2010-02-24",8.5
"26","2010-02-25",8.5
"27","2010-02-26",8.5
"28","2010-03-01",8.5
"29","2010-03-02",8.5
"30","2010-03-03",8.5
"31","2010-03-04",8.5
"32","2010-03-05",8.5
"33","2010-03-08",8.5
"34","2010-03-09",8.5
"35","2010-03-10",8.5
"36","2010-03-11",8.5
"37","2010-03-12",8.5
"38","2010-03-15",8.5
"39","2010-03-16",8.5
"40","2010-03-17",8.5
"41","2010-03-18",8.5
"42","2010-03-19",8.5
"43","2010-03-22",8.5
"44","2010-03-23",8.5
"45","2010-03-24",8.5
"46","2010-03-25",8.5
"47","2010-03-26",8.5
"48","2010-03-29",8.5
"49","2010-03-30",8.5
"50","2010-03-31",8.5
"51","2010-04-01",9.4
"52","2010-04-05",9.4
"53","2010-04-06",9.4
"54","2010-04-07",9.8
"55","2010-04-08",10.25
"56","2010-04-09",10.25
"57","2010-04-12",10.25
"58","2010-04-13",10.25
"59","2010-04-14",10.1
"60","2010-04-15",10.1
"61","2010-04-16",10.1
"62","2010-04-19",10.1
"63","2010-04-20",9.85
"64","2010-04-21",9.85
"65","2010-04-22",9.7
"66","2010-04-23",9.6
"67","2010-04-26",9.6
"68","2010-04-27",9.6
"69","2010-04-28",9.6
"70","2010-04-29",9.6
"71","2010-04-30",9.1
"72","2010-05-03",9.1
"73","2010-05-04",9.1
"74","2010-05-05",9.1
"75","2010-05-06",9.1
"76","2010-05-07",8.95
"77","2010-05-10",8.95
"78","2010-05-11",8.95
"79","2010-05-12",8.95
"80","2010-05-13",9.15
"81","2010-05-14",9.75
"82","2010-05-17",8.9
"83","2010-05-18",9
"84","2010-05-19",8.75
"85","2010-05-20",7.5
"86","2010-05-21",7.5
"87","2010-05-24",7.5
"88","2010-05-25",7.5
"89","2010-05-26",7.5
"90","2010-05-27",7.5
"91","2010-05-28",7.5
"92","2010-06-01",7.5
"93","2010-06-02",7.5
"94","2010-06-03",7.75
"95","2010-06-04",7.75
"96","2010-06-07",7.75
"97","2010-06-08",7.75
"98","2010-06-09",7.75
"99","2010-06-10",7.75
"100","2010-06-11",7.75
"101","2010-06-14",7.75
"102","2010-06-15",7.75
"103","2010-06-16",7.75
"104","2010-06-17",7.75
"105","2010-06-18",7.75
"106","2010-06-21",7.75
"107","2010-06-22",7.75
"108","2010-06-23",7.75
"109","2010-06-24",7.75
"110","2010-06-25",7.75
"111","2010-06-28",7.75
"112","2010-06-29",7.75
"113","2010-06-30",7.75
"114","2010-07-01",7.75
"115","2010-07-02",7.75
"116","2010-07-06",8
"117","2010-07-07",8
"118","2010-07-08",8.05
"119","2010-07-09",8.05
"120","2010-07-12",8.05
"121","2010-07-13",8.05
"122","2010-07-14",8.05
"123","2010-07-15",12
"124","2010-07-16",12
"125","2010-07-19",12
"126","2010-07-20",12
"127","2010-07-21",8.45
"128","2010-07-22",8.45
"129","2010-07-23",8.25
"130","2010-07-26",8.25
"131","2010-07-27",8.25
"132","2010-07-28",8.25
"133","2010-07-29",8.25
"134","2010-07-30",8.25
"135","2010-08-02",8.25
"136","2010-08-03",8.25
"137","2010-08-04",9
"138","2010-08-05",9
"139","2010-08-06",9.15
"140","2010-08-09",9.3
"141","2010-08-10",9.3
"142","2010-08-11",9.3
"143","2010-08-12",9.3
"144","2010-08-13",9.3
"145","2010-08-16",9.3
"146","2010-08-17",9.3
"147","2010-08-18",9.3
"148","2010-08-19",9.3
"149","2010-08-20",9.3
"150","2010-08-23",8.5
"151","2010-08-24",8.05
"152","2010-08-25",8.05
"153","2010-08-26",8.05
"154","2010-08-27",8.05
"155","2010-08-30",8.25
"156","2010-08-31",8.25
"157","2010-09-01",8.25
"158","2010-09-02",8.4
"159","2010-09-03",9.1
"160","2010-09-07",9.1
"161","2010-09-08",9.1
"162","2010-09-09",9.1
"163","2010-09-10",10.62
"164","2010-09-13",10.62
"165","2010-09-14",10.62
"166","2010-09-15",11.13
"167","2010-09-16",11.05
"168","2010-09-17",11.81
"169","2010-09-20",11.35
"170","2010-09-21",11.75
"171","2010-09-22",11.75
"172","2010-09-23",11.75
"173","2010-09-24",13.54
"174","2010-09-27",13.54
"175","2010-09-28",13.54
"176","2010-09-29",12.51
"177","2010-09-30",12.45
"178","2010-10-01",12.45
"179","2010-10-04",12.4
"180","2010-10-05",12.13
"181","2010-10-06",12.13
"182","2010-10-07",12.13
"183","2010-10-08",13.15
"184","2010-10-11",12.65
"185","2010-10-12",12.65
"186","2010-10-13",12.65
"187","2010-10-14",12.74
"188","2010-10-15",12.74
"189","2010-10-18",12.7
"190","2010-10-19",11.85
"191","2010-10-20",11.88
"192","2010-10-21",11.88
"193","2010-10-22",11.88
"194","2010-10-25",11.88
"195","2010-10-26",11.56
"196","2010-10-27",11.56
"197","2010-10-28",11.56
"198","2010-10-29",11.56
"199","2010-11-01",13.03
"200","2010-11-02",13.03
"201","2010-11-03",13.61
"202","2010-11-04",13.61
"203","2010-11-05",14.1
"204","2010-11-08",13.51
"205","2010-11-09",13.99
"206","2010-11-10",13.99
"207","2010-11-11",13.99
"208","2010-11-12",14.62
"209","2010-11-15",14.62
"210","2010-11-16",14.73
"211","2010-11-17",14.71
"212","2010-11-18",14.69
"213","2010-11-19",14.7
"214","2010-11-22",15.99
"215","2010-11-23",15.99
"216","2010-11-24",15.8
"217","2010-11-26",15.52
"218","2010-11-29",16.17
"219","2010-11-30",16.719999
"220","2010-12-01",17.299999
"221","2010-12-02",17.299999
"222","2010-12-03",17.299999
"223","2010-12-06",17.299999
"224","2010-12-07",17.25
"225","2010-12-08",20.25
"226","2010-12-09",24.950001
"227","2010-12-10",23.25
"228","2010-12-13",24.549999
"229","2010-12-14",23.23
"230","2010-12-15",23.23
"231","2010-12-16",21.84
"232","2010-12-17",21.84
"233","2010-12-20",21.959999
"234","2010-12-21",21.959999
"235","2010-12-22",22.540001
"236","2010-12-23",23
"237","2010-12-27",23
"238","2010-12-28",23
"239","2010-12-29",23
"240","2010-12-30",23.76
"241","2010-12-31",23.92
"242","2011-01-03",23.92
"243","2011-01-04",23.25
"244","2011-01-05",23.25
"245","2011-01-06",23.25
"246","2011-01-07",22.700001
"247","2011-01-10",22.99
"248","2011-01-11",22.99
"249","2011-01-12",26.59
"250","2011-01-13",26.59
"251","2011-01-14",28.27
"252","2011-01-18",28.27
"253","2011-01-19",28.57
"254","2011-01-20",28.379999
"255","2011-01-21",28.379999
"256","2011-01-24",28.379999
"257","2011-01-25",28.379999
"258","2011-01-26",29.75
"259","2011-01-27",29.65
"260","2011-01-28",29.1
"261","2011-01-31",28.889999
"262","2011-02-01",29.07
"263","2011-02-02",27.940001
"264","2011-02-03",28.190001
"265","2011-02-04",28.190001
"266","2011-02-07",28.08
"267","2011-02-08",28.08
"268","2011-02-09",28.08
"269","2011-02-10",28.08
"270","2011-02-11",28.1
"271","2011-02-14",28.1
"272","2011-02-15",26.99
"273","2011-02-16",27.219999
"274","2011-02-17",27.219999
"275","2011-02-18",27.219999
"276","2011-02-22",27.219999
"277","2011-02-23",27.219999
"278","2011-02-24",27.219999
"279","2011-02-25",26.049999
"280","2011-02-28",26.700001
"281","2011-03-01",27.450001
"282","2011-03-02",27.450001
"283","2011-03-03",29.280001
"284","2011-03-04",32.200001
"285","2011-03-07",33.630001
"286","2011-03-08",34.060001
"287","2011-03-09",33.029999
"288","2011-03-10",33.029999
"289","2011-03-11",32.860001
"290","2011-03-14",32.860001
"291","2011-03-15",32.860001
"292","2011-03-16",34.259998
"293","2011-03-17",34.259998
"294","2011-03-18",34.25
"295","2011-03-21",34.25
"296","2011-03-22",34.25
"297","2011-03-23",37.779999
"298","2011-03-24",38.32
"299","2011-03-25",38.32
"300","2011-03-28",40.959999
"301","2011-03-29",42.25
"302","2011-03-30",40.25
"303","2011-03-31",37.490002
"304","2011-04-01",38.189999
"305","2011-04-04",40.380001
"306","2011-04-05",40.549999
"307","2011-04-06",40.509998
"308","2011-04-07",40.509998
"309","2011-04-08",40.700001
"310","2011-04-11",40.529999
"311","2011-04-12",40.259998
"312","2011-04-13",40.439999
"313","2011-04-14",40.439999
"314","2011-04-15",40.48
"315","2011-04-18",42
"316","2011-04-19",42
"317","2011-04-20",43.82
"318","2011-04-21",44.48
"319","2011-04-25",44.48
"320","2011-04-26",45.119999
"321","2011-04-27",44.27
"322","2011-04-28",45.209999
"323","2011-04-29",45.209999
"324","2011-05-02",45.209999
"325","2011-05-03",44.349998
"326","2011-05-04",47.25
"327","2011-05-05",49.220001
"328","2011-05-06",49.689999
"329","2011-05-09",50.599998
"330","2011-05-10",52.099998
"331","2011-05-11",51.720001
"332","2011-05-12",49.549999
"333","2011-05-13",45.990002
"334","2011-05-16",46.91
"335","2011-05-17",46.970001
"336","2011-05-18",47.75
"337","2011-05-19",47.75
"338","2011-05-20",49.52
"339","2011-05-23",45.25
"340","2011-05-24",45.09
"341","2011-05-25",42.5
"342","2011-05-26",43.220001
"343","2011-05-27",42.779999
"344","2011-05-31",42.91
"345","2011-06-01",41.41
"346","2011-06-02",40.98
"347","2011-06-03",39.91
"348","2011-06-06",40.41
"349","2011-06-07",43.84
"350","2011-06-08",43.84
"351","2011-06-09",46.18
"352","2011-06-10",44.810001
"353","2011-06-13",45.310001
"354","2011-06-14",46.080002
"355","2011-06-15",45.799999
"356","2011-06-16",45.799999
"357","2011-06-17",45.799999
"358","2011-06-20",43.110001
"359","2011-06-21",43.220001
"360","2011-06-22",44.540001
"361","2011-06-23",43.16
"362","2011-06-24",43.389999
"363","2011-06-27",42.759998
"364","2011-06-28",43.009998
"365","2011-06-29",43.93
"366","2011-06-30",46.41
"367","2011-07-01",46.529999
"368","2011-07-05",46.529999
"369","2011-07-06",46.529999
"370","2011-07-07",46.619999
"371","2011-07-08",48.299999
"372","2011-07-11",48.080002
"373","2011-07-12",48.349998
"374","2011-07-13",49.150002
"375","2011-07-14",48.700001
"376","2011-07-15",48.700001
"377","2011-07-18",47.349998
"378","2011-07-19",48.360001
"379","2011-07-20",48.5
"380","2011-07-21",49.490002
"381","2011-07-22",50.25
"382","2011-07-25",50.049999
"383","2011-07-26",50.049999
"384","2011-07-27",50
"385","2011-07-28",49.5
