"","date","RBB"
"1","2017-07-26",23.35
"2","2017-07-27",23.01
"3","2017-07-28",23.469999
"4","2017-07-31",23.33
"5","2017-08-01",23.200001
"6","2017-08-02",23
"7","2017-08-03",23.049999
"8","2017-08-04",23
"9","2017-08-07",23
"10","2017-08-08",22.91
"11","2017-08-09",22.450001
"12","2017-08-10",22.059999
"13","2017-08-11",22.23
"14","2017-08-14",22.299999
"15","2017-08-15",22.030001
"16","2017-08-16",21.91
"17","2017-08-17",21.9
"18","2017-08-18",22.25
"19","2017-08-21",22.559999
"20","2017-08-22",22.629999
"21","2017-08-23",22.66
"22","2017-08-24",22.74
"23","2017-08-25",22.92
"24","2017-08-28",22.469999
"25","2017-08-29",22.67
"26","2017-08-30",22.790001
"27","2017-08-31",22.6
"28","2017-09-01",22.73
"29","2017-09-05",23.08
"30","2017-09-06",23.049999
"31","2017-09-07",22.26
"32","2017-09-08",22.51
"33","2017-09-11",22.5
"34","2017-09-12",22.280001
"35","2017-09-13",22.209999
"36","2017-09-14",22
"37","2017-09-15",21.52
"38","2017-09-18",21.5
"39","2017-09-19",21.700001
"40","2017-09-20",22.02
"41","2017-09-21",22.059999
"42","2017-09-22",22.17
"43","2017-09-25",22.280001
"44","2017-09-26",22.5
"45","2017-09-27",22.99
"46","2017-09-28",22.99
"47","2017-09-29",22.889999
"48","2017-10-02",23.02
"49","2017-10-03",22.98
"50","2017-10-04",22.9
"51","2017-10-05",22.969999
"52","2017-10-06",23
"53","2017-10-09",22.940001
"54","2017-10-10",23.040001
"55","2017-10-11",23.139999
"56","2017-10-12",23.030001
"57","2017-10-13",23.219999
"58","2017-10-16",23.25
"59","2017-10-17",23.25
"60","2017-10-18",23.24
"61","2017-10-19",23.370001
"62","2017-10-20",23.35
"63","2017-10-23",23.450001
"64","2017-10-24",23.65
"65","2017-10-25",23.889999
"66","2017-10-26",24.35
"67","2017-10-27",24.290001
"68","2017-10-30",24.58
"69","2017-10-31",25.07
"70","2017-11-01",24.82
"71","2017-11-02",24.690001
"72","2017-11-03",24.129999
"73","2017-11-06",24.34
"74","2017-11-07",23.690001
"75","2017-11-08",23.299999
"76","2017-11-09",23.389999
"77","2017-11-10",23.58
"78","2017-11-13",24.09
"79","2017-11-14",24.4
"80","2017-11-15",24.110001
"81","2017-11-16",24.290001
"82","2017-11-17",24.25
"83","2017-11-20",24.26
"84","2017-11-21",24.190001
"85","2017-11-22",24.08
"86","2017-11-24",24.16
"87","2017-11-27",24.67
"88","2017-11-28",25
"89","2017-11-29",25.190001
"90","2017-11-30",25.190001
"91","2017-12-01",25.26
"92","2017-12-04",25.969999
"93","2017-12-05",26.08
"94","2017-12-06",26.15
"95","2017-12-07",26.15
"96","2017-12-08",26.190001
"97","2017-12-11",26.27
"98","2017-12-12",26.440001
"99","2017-12-13",26.629999
"100","2017-12-14",26.459999
"101","2017-12-15",26.9
"102","2017-12-18",27.09
"103","2017-12-19",27.18
"104","2017-12-20",27.17
"105","2017-12-21",27.389999
"106","2017-12-22",27.360001
"107","2017-12-26",27.4
"108","2017-12-27",27.34
"109","2017-12-28",27.49
"110","2017-12-29",27.370001
"111","2018-01-02",26.950001
"112","2018-01-03",27.120001
"113","2018-01-04",27.190001
"114","2018-01-05",27.139999
"115","2018-01-08",26.92
"116","2018-01-09",26.620001
"117","2018-01-10",26.73
"118","2018-01-11",26.85
"119","2018-01-12",26.879999
"120","2018-01-16",26.91
"121","2018-01-17",26.9
"122","2018-01-18",26.889999
"123","2018-01-19",26.879999
"124","2018-01-22",26.969999
"125","2018-01-23",27.4
"126","2018-01-24",26.799999
"127","2018-01-25",26.870001
"128","2018-01-26",26.950001
"129","2018-01-29",26.860001
"130","2018-01-30",26.950001
"131","2018-01-31",26.879999
