"","date","ETR"
"1","2007-01-03",92.980003
"2","2007-01-04",94.080002
"3","2007-01-05",91.760002
"4","2007-01-08",91.07
"5","2007-01-09",91.010002
"6","2007-01-10",91.959999
"7","2007-01-11",91.879997
"8","2007-01-12",90.459999
"9","2007-01-16",90.709999
"10","2007-01-17",90.75
"11","2007-01-18",90.449997
"12","2007-01-19",91.029999
"13","2007-01-22",92.120003
"14","2007-01-23",92.089996
"15","2007-01-24",92.449997
"16","2007-01-25",91.82
"17","2007-01-26",91.879997
"18","2007-01-29",92.160004
"19","2007-01-30",92.589996
"20","2007-01-31",92.849998
"21","2007-02-01",94.620003
"22","2007-02-02",95.129997
"23","2007-02-05",97.699997
"24","2007-02-06",97.919998
"25","2007-02-07",97.919998
"26","2007-02-08",98.239998
"27","2007-02-09",98.120003
"28","2007-02-12",97.919998
"29","2007-02-13",99.519997
"30","2007-02-14",99.949997
"31","2007-02-15",99.239998
"32","2007-02-16",99.660004
"33","2007-02-20",99.830002
"34","2007-02-21",99.620003
"35","2007-02-22",99.940002
"36","2007-02-23",100.949997
"37","2007-02-26",102.849998
"38","2007-02-27",98.57
"39","2007-02-28",98.75
"40","2007-03-01",98.559998
"41","2007-03-02",96.25
"42","2007-03-05",95.580002
"43","2007-03-06",96.489998
"44","2007-03-07",96.559998
"45","2007-03-08",97.879997
"46","2007-03-09",97.830002
"47","2007-03-12",99.099998
"48","2007-03-13",98.550003
"49","2007-03-14",98.989998
"50","2007-03-15",100.129997
"51","2007-03-16",99.779999
"52","2007-03-19",100.650002
"53","2007-03-20",102.089996
"54","2007-03-21",104.169998
"55","2007-03-22",104.139999
"56","2007-03-23",104.059998
"57","2007-03-26",104.239998
"58","2007-03-27",104.68
"59","2007-03-28",104.120003
"60","2007-03-29",105.160004
"61","2007-03-30",104.919998
"62","2007-04-02",107.639999
"63","2007-04-03",108.660004
"64","2007-04-04",108.470001
"65","2007-04-05",109.300003
"66","2007-04-09",110.349998
"67","2007-04-10",110.300003
"68","2007-04-11",109.089996
"69","2007-04-12",108.650002
"70","2007-04-13",109.739998
"71","2007-04-16",111.129997
"72","2007-04-17",111.889999
"73","2007-04-18",112.860001
"74","2007-04-19",112.68
