"","date","LI"
"1","2020-07-30",16.459999
"2","2020-07-31",16
"3","2020-08-03",16.360001
"4","2020-08-04",16.690001
"5","2020-08-05",16.75
"6","2020-08-06",18.5
"7","2020-08-07",16.889999
"8","2020-08-10",16.42
"9","2020-08-11",16
"10","2020-08-12",15.66
"11","2020-08-13",15.16
"12","2020-08-14",14.6
"13","2020-08-17",15.42
"14","2020-08-18",15.96
"15","2020-08-19",15.04
"16","2020-08-20",14.75
"17","2020-08-21",15.02
"18","2020-08-24",17.09
"19","2020-08-25",18.23
"20","2020-08-26",23.379999
"21","2020-08-27",19.379999
"22","2020-08-28",17.6
"23","2020-08-31",16.299999
"24","2020-09-01",18.290001
"25","2020-09-02",17.870001
"26","2020-09-03",16.91
"27","2020-09-04",16.83
"28","2020-09-08",15.79
"29","2020-09-09",15.8
"30","2020-09-10",16.049999
"31","2020-09-11",16.209999
"32","2020-09-14",17.469999
"33","2020-09-15",18.190001
"34","2020-09-16",17.52
"35","2020-09-17",17.26
"36","2020-09-18",17.030001
"37","2020-09-21",16.43
"38","2020-09-22",16.74
"39","2020-09-23",15.68
"40","2020-09-24",15.09
"41","2020-09-25",15.8
"42","2020-09-28",16.08
"43","2020-09-29",17.030001
"44","2020-09-30",17.389999
"45","2020-10-01",16.799999
"46","2020-10-02",16.92
"47","2020-10-05",17.52
"48","2020-10-06",17.35
"49","2020-10-07",17.77
"50","2020-10-08",17.93
"51","2020-10-09",17.6
"52","2020-10-12",19.16
"53","2020-10-13",19.43
"54","2020-10-14",20.780001
"55","2020-10-15",20.5
"56","2020-10-16",19.77
"57","2020-10-19",19.18
"58","2020-10-20",20.49
"59","2020-10-21",19.389999
"60","2020-10-22",18.98
"61","2020-10-23",18.4
"62","2020-10-26",19.08
"63","2020-10-27",19.209999
"64","2020-10-28",18.690001
"65","2020-10-29",20.620001
"66","2020-10-30",20.17
"67","2020-11-02",22.879999
"68","2020-11-03",24.049999
"69","2020-11-04",25.309999
"70","2020-11-05",28.09
"71","2020-11-06",26.459999
"72","2020-11-09",26.299999
"73","2020-11-10",25.24
"74","2020-11-11",24.969999
"75","2020-11-12",31.780001
"76","2020-11-13",31.200001
"77","2020-11-16",35.549999
"78","2020-11-17",35.049999
"79","2020-11-18",35.490002
"80","2020-11-19",36.740002
"81","2020-11-20",38.119999
"82","2020-11-23",43.639999
"83","2020-11-24",43.959999
"84","2020-11-25",40.720001
"85","2020-11-27",39.48
