"","date","HIL"
"1","2007-01-03",7.11
"2","2007-01-04",7.2
"3","2007-01-05",7.14
"4","2007-01-08",7.19
"5","2007-01-09",7.11
"6","2007-01-10",7.05
"7","2007-01-11",7
"8","2007-01-12",6.91
"9","2007-01-16",7.14
"10","2007-01-17",7.04
"11","2007-01-18",6.95
"12","2007-01-19",6.97
"13","2007-01-22",6.97
"14","2007-01-23",6.94
"15","2007-01-24",7.05
"16","2007-01-25",7.36
"17","2007-01-26",7.49
"18","2007-01-29",7.57
"19","2007-01-30",7.58
"20","2007-01-31",7.57
"21","2007-02-01",7.6
"22","2007-02-02",7.67
"23","2007-02-05",7.65
"24","2007-02-06",7.7
"25","2007-02-07",7.7
"26","2007-02-08",7.72
"27","2007-02-09",7.55
"28","2007-02-12",7.5
"29","2007-02-13",7.58
"30","2007-02-14",7.63
"31","2007-02-15",7.64
"32","2007-02-16",7.65
"33","2007-02-20",7.71
"34","2007-02-21",7.7
"35","2007-02-22",7.7
"36","2007-02-23",7.79
"37","2007-02-26",7.84
"38","2007-02-27",7.63
"39","2007-02-28",7.67
"40","2007-03-01",7.66
"41","2007-03-02",7.55
"42","2007-03-05",7.24
"43","2007-03-06",7.31
"44","2007-03-07",7.37
"45","2007-03-08",7.44
"46","2007-03-09",7.43
"47","2007-03-12",7.5
"48","2007-03-13",7.32
"49","2007-03-14",7.24
"50","2007-03-15",7.42
"51","2007-03-16",7.34
"52","2007-03-19",7.64
"53","2007-03-20",7.8
"54","2007-03-21",7.83
"55","2007-03-22",7.86
"56","2007-03-23",8.1
"57","2007-03-26",8.01
"58","2007-03-27",7.62
"59","2007-03-28",7.39
"60","2007-03-29",7.17
"61","2007-03-30",7.12
"62","2007-04-02",7.4
"63","2007-04-03",7.25
"64","2007-04-04",7.46
"65","2007-04-05",7.33
"66","2007-04-09",7.3
"67","2007-04-10",7.24
"68","2007-04-11",7.28
"69","2007-04-12",7.43
"70","2007-04-13",7.38
"71","2007-04-16",7.41
"72","2007-04-17",7.51
"73","2007-04-18",7.5
"74","2007-04-19",7.48
"75","2007-04-20",7.51
"76","2007-04-23",7.46
"77","2007-04-24",7.4
"78","2007-04-25",7.3
"79","2007-04-26",7.3
"80","2007-04-27",7.3
"81","2007-04-30",7.38
"82","2007-05-01",7.35
"83","2007-05-02",7.21
"84","2007-05-03",7.27
"85","2007-05-04",7.24
"86","2007-05-07",7.3
"87","2007-05-08",7.35
"88","2007-05-09",7.54
"89","2007-05-10",7.57
"90","2007-05-11",7.59
"91","2007-05-14",7.25
"92","2007-05-15",7.19
"93","2007-05-16",7.19
"94","2007-05-17",7.19
"95","2007-05-18",7.21
"96","2007-05-21",7.13
"97","2007-05-22",7.06
"98","2007-05-23",6.93
"99","2007-05-24",7.04
"100","2007-05-25",7.08
"101","2007-05-29",7.02
"102","2007-05-30",7.1
"103","2007-05-31",7.1
"104","2007-06-01",7.15
"105","2007-06-04",7.15
"106","2007-06-05",7.12
"107","2007-06-06",7.1
"108","2007-06-07",7.02
"109","2007-06-08",7.08
"110","2007-06-11",7.05
"111","2007-06-12",7.02
"112","2007-06-13",7.05
"113","2007-06-14",7.09
"114","2007-06-15",7.16
"115","2007-06-18",7.22
"116","2007-06-19",7.26
"117","2007-06-20",7.37
"118","2007-06-21",7.38
"119","2007-06-22",7.4
"120","2007-06-25",7.37
"121","2007-06-26",7.36
"122","2007-06-27",7.37
"123","2007-06-28",7.35
"124","2007-06-29",7.38
"125","2007-07-02",7.39
"126","2007-07-03",7.4
"127","2007-07-05",7.4
"128","2007-07-06",7.57
"129","2007-07-09",7.55
"130","2007-07-10",7.5
"131","2007-07-11",7.58
"132","2007-07-12",7.51
"133","2007-07-13",7.57
"134","2007-07-16",7.59
"135","2007-07-17",7.57
"136","2007-07-18",7.6
"137","2007-07-19",7.63
"138","2007-07-20",7.61
"139","2007-07-23",7.58
"140","2007-07-24",7.47
"141","2007-07-25",7.32
"142","2007-07-26",7.24
"143","2007-07-27",7.22
"144","2007-07-30",7.18
"145","2007-07-31",7.4
"146","2007-08-01",7.26
"147","2007-08-02",7.35
"148","2007-08-03",7.25
"149","2007-08-06",7.14
"150","2007-08-07",7.16
"151","2007-08-08",7
"152","2007-08-09",7.01
"153","2007-08-10",7.2
"154","2007-08-13",7.4
"155","2007-08-14",7.3
"156","2007-08-15",7.07
"157","2007-08-16",7.02
"158","2007-08-17",6.97
"159","2007-08-20",6.94
"160","2007-08-21",6.96
"161","2007-08-22",7.02
"162","2007-08-23",6.95
"163","2007-08-24",7.25
"164","2007-08-27",7.2
"165","2007-08-28",7.19
"166","2007-08-29",7.23
"167","2007-08-30",7.35
"168","2007-08-31",7.46
"169","2007-09-04",7.49
"170","2007-09-05",7.51
"171","2007-09-06",7.44
"172","2007-09-07",7.21
"173","2007-09-10",7.3
"174","2007-09-11",7.4
"175","2007-09-12",7.44
"176","2007-09-13",7.47
"177","2007-09-14",7.44
"178","2007-09-17",7.43
"179","2007-09-18",7.83
"180","2007-09-19",7.86
"181","2007-09-20",7.8
"182","2007-09-21",8.5
"183","2007-09-24",8.69
"184","2007-09-25",8.5
"185","2007-09-26",8.58
"186","2007-09-27",8.52
"187","2007-09-28",9
"188","2007-10-01",8.97
"189","2007-10-02",9.27
"190","2007-10-03",9.5
"191","2007-10-04",9.6
"192","2007-10-05",9.41
"193","2007-10-08",9.14
"194","2007-10-09",9.14
"195","2007-10-10",9.25
"196","2007-10-11",9.47
"197","2007-10-12",9.54
"198","2007-10-15",9.83
"199","2007-10-16",9.77
"200","2007-10-17",9.84
"201","2007-10-18",10.12
"202","2007-10-19",10.01
"203","2007-10-22",9.84
"204","2007-10-23",10.01
"205","2007-10-24",10.04
"206","2007-10-25",10.09
"207","2007-10-26",10
"208","2007-10-29",10.28
"209","2007-10-30",10.23
"210","2007-10-31",10.25
"211","2007-11-01",10.12
"212","2007-11-02",10.09
"213","2007-11-05",10.01
"214","2007-11-06",10.01
"215","2007-11-07",9.8
"216","2007-11-08",9.97
"217","2007-11-09",9.94
"218","2007-11-12",10
"219","2007-11-13",11.05
"220","2007-11-14",11.6
"221","2007-11-15",11
"222","2007-11-16",10.89
"223","2007-11-19",10.49
"224","2007-11-20",10.35
"225","2007-11-21",9.98
"226","2007-11-23",10.43
"227","2007-11-26",9.93
"228","2007-11-27",10.33
"229","2007-11-28",10.29
"230","2007-11-29",10.75
"231","2007-11-30",11
"232","2007-12-03",10.91
"233","2007-12-04",11.05
"234","2007-12-05",11.43
"235","2007-12-06",11.8
"236","2007-12-07",12.7
"237","2007-12-10",13.15
"238","2007-12-11",12.1
"239","2007-12-12",12.45
"240","2007-12-13",12.54
"241","2007-12-14",12.8
"242","2007-12-17",12.83
"243","2007-12-18",12.62
"244","2007-12-19",12.99
"245","2007-12-20",12.84
"246","2007-12-21",13
"247","2007-12-24",13.5
"248","2007-12-26",13.65
"249","2007-12-27",13.44
"250","2007-12-28",13.53
"251","2007-12-31",14.17
"252","2008-01-02",13.22
"253","2008-01-03",12.99
"254","2008-01-04",12.66
"255","2008-01-07",13.15
"256","2008-01-08",12.7
"257","2008-01-09",12.83
"258","2008-01-10",12.96
"259","2008-01-11",13.36
"260","2008-01-14",13.61
"261","2008-01-15",12.92
"262","2008-01-16",12.51
"263","2008-01-17",12.16
"264","2008-01-18",12.14
"265","2008-01-22",11.58
"266","2008-01-23",11.03
"267","2008-01-24",11.03
"268","2008-01-25",11.08
"269","2008-01-28",11.2
"270","2008-01-29",11.1
"271","2008-01-30",11.27
"272","2008-01-31",11.99
"273","2008-02-01",12.35
"274","2008-02-04",12.37
"275","2008-02-05",11.81
"276","2008-02-06",11.84
"277","2008-02-07",11.79
"278","2008-02-08",11.79
"279","2008-02-11",12.1
"280","2008-02-12",12.33
"281","2008-02-13",12.64
"282","2008-02-14",12.56
"283","2008-02-15",12.82
"284","2008-02-19",13.51
"285","2008-02-20",13.15
"286","2008-02-21",13.13
"287","2008-02-22",13.47
"288","2008-02-25",13.59
"289","2008-02-26",13.62
"290","2008-02-27",13.52
"291","2008-02-28",13.1
"292","2008-02-29",12.75
"293","2008-03-03",12.4
"294","2008-03-04",12.08
"295","2008-03-05",11.99
"296","2008-03-06",11.98
"297","2008-03-07",12.15
"298","2008-03-10",11.95
"299","2008-03-11",12
"300","2008-03-12",12.01
"301","2008-03-13",12.05
"302","2008-03-14",12.01
"303","2008-03-17",11.62
"304","2008-03-18",12.05
"305","2008-03-19",11.55
"306","2008-03-20",11.1
"307","2008-03-24",12.59
"308","2008-03-25",13.09
"309","2008-03-26",12.7
"310","2008-03-27",12.55
"311","2008-03-28",12.45
"312","2008-03-31",12.51
"313","2008-04-01",11.7
"314","2008-04-02",11.9
"315","2008-04-03",12.25
"316","2008-04-04",13.05
"317","2008-04-07",13.14
"318","2008-04-08",13.5
"319","2008-04-09",13.53
"320","2008-04-10",13.65
"321","2008-04-11",13.66
"322","2008-04-14",14.06
"323","2008-04-15",14.04
"324","2008-04-16",14.47
"325","2008-04-17",14.65
"326","2008-04-18",14.65
"327","2008-04-21",14.49
"328","2008-04-22",14.25
"329","2008-04-23",14.14
"330","2008-04-24",14.36
"331","2008-04-25",14.17
"332","2008-04-28",14.25
"333","2008-04-29",14.29
"334","2008-04-30",14.45
"335","2008-05-01",14.3
"336","2008-05-02",14.3
"337","2008-05-05",14.5
"338","2008-05-06",14.55
"339","2008-05-07",13.98
"340","2008-05-08",14.2
"341","2008-05-09",13.62
"342","2008-05-12",14
"343","2008-05-13",14.28
"344","2008-05-14",14.5
"345","2008-05-15",14.94
"346","2008-05-16",15.04
"347","2008-05-19",15.45
"348","2008-05-20",15.17
"349","2008-05-21",15.79
"350","2008-05-22",15.29
"351","2008-05-23",15.19
"352","2008-05-27",15.4
"353","2008-05-28",15.45
"354","2008-05-29",15.96
"355","2008-05-30",16.15
"356","2008-06-02",16.139999
"357","2008-06-03",16
"358","2008-06-04",16.08
"359","2008-06-05",15.89
"360","2008-06-06",15.84
"361","2008-06-09",15.54
"362","2008-06-10",16.4
"363","2008-06-11",16.120001
"364","2008-06-12",16.5
"365","2008-06-13",16.33
"366","2008-06-16",16.41
"367","2008-06-17",16.629999
"368","2008-06-18",16.58
"369","2008-06-19",16.940001
"370","2008-06-20",17.4
"371","2008-06-23",17.129999
"372","2008-06-24",16.9
"373","2008-06-25",16.84
"374","2008-06-26",16.799999
"375","2008-06-27",16.780001
"376","2008-06-30",16.440001
"377","2008-07-01",16.57
"378","2008-07-02",15.79
"379","2008-07-03",14.95
"380","2008-07-07",14.34
"381","2008-07-08",14.85
"382","2008-07-09",14.34
"383","2008-07-10",15.48
"384","2008-07-11",15.03
"385","2008-07-14",15
"386","2008-07-15",15.02
"387","2008-07-16",16.27
"388","2008-07-17",16.32
"389","2008-07-18",16.52
"390","2008-07-21",16.9
"391","2008-07-22",16.9
"392","2008-07-23",16.889999
"393","2008-07-24",16.74
"394","2008-07-25",16.43
"395","2008-07-28",15.77
"396","2008-07-29",15.91
"397","2008-07-30",16.370001
"398","2008-07-31",16.950001
"399","2008-08-01",16.889999
"400","2008-08-04",16.75
"401","2008-08-05",16.59
"402","2008-08-06",16.790001
"403","2008-08-07",18.01
"404","2008-08-08",18.02
"405","2008-08-11",18.799999
"406","2008-08-12",18.6
"407","2008-08-13",18.139999
"408","2008-08-14",18.940001
"409","2008-08-15",18.75
"410","2008-08-18",18.709999
"411","2008-08-19",18.530001
"412","2008-08-20",18.74
"413","2008-08-21",18.549999
"414","2008-08-22",19.059999
"415","2008-08-25",19.02
"416","2008-08-26",18.219999
"417","2008-08-27",18.629999
"418","2008-08-28",19.299999
"419","2008-08-29",19.25
"420","2008-09-02",18.98
"421","2008-09-03",18.120001
"422","2008-09-04",17.01
"423","2008-09-05",17.26
"424","2008-09-08",17.07
"425","2008-09-09",15.44
"426","2008-09-10",15.35
