"","date","FOR"
"1","2007-12-13",24
"2","2007-12-14",24
"3","2007-12-17",23.5
"4","2007-12-18",23.75
"5","2007-12-19",23.75
"6","2007-12-20",23.75
"7","2007-12-21",24.25
"8","2007-12-24",24.450001
"9","2007-12-26",23.75
"10","2007-12-27",23.75
"11","2007-12-28",22.6
"12","2007-12-31",23.59
"13","2008-01-02",23.200001
"14","2008-01-03",22.440001
"15","2008-01-04",21.799999
"16","2008-01-07",20
"17","2008-01-08",19.780001
"18","2008-01-09",19.15
"19","2008-01-10",20.42
"20","2008-01-11",19.049999
"21","2008-01-14",18.92
"22","2008-01-15",18.73
"23","2008-01-16",20.42
"24","2008-01-17",19.66
"25","2008-01-18",19.860001
"26","2008-01-22",20.5
"27","2008-01-23",20.959999
"28","2008-01-24",22
"29","2008-01-25",22.57
"30","2008-01-28",22.459999
"31","2008-01-29",22.73
"32","2008-01-30",22.459999
"33","2008-01-31",22.84
"34","2008-02-01",24.450001
"35","2008-02-04",24.85
"36","2008-02-05",23.4
"37","2008-02-06",26.67
"38","2008-02-07",28.34
"39","2008-02-08",27.5
"40","2008-02-11",28.07
"41","2008-02-12",28.85
"42","2008-02-13",27.99
"43","2008-02-14",27.469999
"44","2008-02-15",27.950001
"45","2008-02-19",27.370001
"46","2008-02-20",26.75
"47","2008-02-21",25.780001
"48","2008-02-22",26
"49","2008-02-25",26.08
"50","2008-02-26",26.57
"51","2008-02-27",25.530001
"52","2008-02-28",24.549999
"53","2008-02-29",24.379999
"54","2008-03-03",24.17
"55","2008-03-04",24.01
"56","2008-03-05",24.049999
"57","2008-03-06",24.049999
"58","2008-03-07",24.549999
"59","2008-03-10",23.5
"60","2008-03-11",24.049999
"61","2008-03-12",25.120001
"62","2008-03-13",24.15
"63","2008-03-14",25.459999
"64","2008-03-17",25.01
"65","2008-03-18",26.549999
"66","2008-03-19",24.889999
"67","2008-03-20",24.5
"68","2008-03-24",24.9
"69","2008-03-25",24.75
"70","2008-03-26",23.809999
"71","2008-03-27",24.059999
"72","2008-03-28",24.58
"73","2008-03-31",24.91
"74","2008-04-01",25.75
"75","2008-04-02",24.969999
"76","2008-04-03",24.41
"77","2008-04-04",23.92
"78","2008-04-07",24.299999
"79","2008-04-08",24.200001
"80","2008-04-09",24.02
"81","2008-04-10",24.459999
"82","2008-04-11",24.200001
"83","2008-04-14",24.6
"84","2008-04-15",24.75
"85","2008-04-16",25
"86","2008-04-17",24.85
"87","2008-04-18",25.07
"88","2008-04-21",24.82
"89","2008-04-22",25.049999
"90","2008-04-23",24.969999
"91","2008-04-24",26.68
"92","2008-04-25",26.950001
"93","2008-04-28",26.950001
"94","2008-04-29",24.85
"95","2008-04-30",24.9
"96","2008-05-01",25.1
"97","2008-05-02",26
"98","2008-05-05",25.48
"99","2008-05-06",25.35
"100","2008-05-07",24.969999
"101","2008-05-08",24.66
"102","2008-05-09",24.15
"103","2008-05-12",25.200001
"104","2008-05-13",25.620001
"105","2008-05-14",26.08
"106","2008-05-15",26
"107","2008-05-16",25.360001
"108","2008-05-19",24.98
"109","2008-05-20",24.530001
"110","2008-05-21",24.299999
"111","2008-05-22",24.219999
"112","2008-05-23",24.32
"113","2008-05-27",25.440001
"114","2008-05-28",24.860001
"115","2008-05-29",24.889999
"116","2008-05-30",25
"117","2008-06-02",24.450001
"118","2008-06-03",24.879999
"119","2008-06-04",24.049999
"120","2008-06-05",24.68
"121","2008-06-06",24.25
"122","2008-06-09",24.1
"123","2008-06-10",24.65
"124","2008-06-11",23.799999
"125","2008-06-12",24.01
"126","2008-06-13",24.049999
"127","2008-06-16",24
"128","2008-06-17",23.58
"129","2008-06-18",23.1
"130","2008-06-19",23.5
"131","2008-06-20",23.48
"132","2008-06-23",23
"133","2008-06-24",22.34
"134","2008-06-25",22.35
"135","2008-06-26",20
"136","2008-06-27",19.6
"137","2008-06-30",19.049999
"138","2008-07-01",18.110001
"139","2008-07-02",17.52
"140","2008-07-03",17.1
"141","2008-07-07",16.84
"142","2008-07-08",17.83
"143","2008-07-09",17.74
"144","2008-07-10",18.540001
"145","2008-07-11",19.07
"146","2008-07-14",18.83
"147","2008-07-15",18.52
"148","2008-07-16",19.030001
"149","2008-07-17",18.34
"150","2008-07-18",18.43
"151","2008-07-21",18.620001
"152","2008-07-22",19.08
"153","2008-07-23",18.889999
"154","2008-07-24",17.780001
"155","2008-07-25",18.440001
"156","2008-07-28",17.200001
"157","2008-07-29",18.040001
"158","2008-07-30",18.25
"159","2008-07-31",18.08
"160","2008-08-01",19.07
"161","2008-08-04",18.209999
"162","2008-08-05",18.549999
"163","2008-08-06",18.469999
"164","2008-08-07",18.01
"165","2008-08-08",18.5
"166","2008-08-11",19.23
"167","2008-08-12",19.59
"168","2008-08-13",19.889999
"169","2008-08-14",20.040001
"170","2008-08-15",20.030001
"171","2008-08-18",20.07
"172","2008-08-19",19.940001
"173","2008-08-20",19.290001
"174","2008-08-21",18.790001
"175","2008-08-22",19.1
"176","2008-08-25",18.790001
"177","2008-08-26",19.139999
"178","2008-08-27",19.34
"179","2008-08-28",20.57
"180","2008-08-29",20.16
"181","2008-09-02",20.219999
"182","2008-09-03",20.49
"183","2008-09-04",19.559999
"184","2008-09-05",19.030001
