"","date","RDUS"
"1","2014-06-06",8.01
"2","2014-06-09",8
"3","2014-06-10",8
"4","2014-06-11",7.98
"5","2014-06-12",8.01
"6","2014-06-13",8.23
"7","2014-06-16",8.14
"8","2014-06-17",8.18
"9","2014-06-18",8.6
"10","2014-06-19",8.78
"11","2014-06-20",9.73
"12","2014-06-23",9.99
"13","2014-06-24",10.57
"14","2014-06-25",10.6
"15","2014-06-26",10.25
"16","2014-06-27",10.82
"17","2014-06-30",13
"18","2014-07-01",16.629999
"19","2014-07-02",15.29
"20","2014-07-03",15.11
"21","2014-07-07",13.35
"22","2014-07-08",11.53
"23","2014-07-09",10.96
"24","2014-07-10",10.59
"25","2014-07-11",11.55
"26","2014-07-14",12.46
"27","2014-07-15",12.14
"28","2014-07-16",13.055
"29","2014-07-17",12.55
"30","2014-07-18",12.06
"31","2014-07-21",11.16
"32","2014-07-22",10.55
"33","2014-07-23",10.076
"34","2014-07-24",10.16
"35","2014-07-25",10.26
"36","2014-07-28",10.34
"37","2014-07-29",9.55
"38","2014-07-30",9.21
"39","2014-07-31",8.92
"40","2014-08-01",8.38
"41","2014-08-04",9.46
"42","2014-08-05",10.13
"43","2014-08-06",10.36
"44","2014-08-07",10.64
"45","2014-08-08",11.81
"46","2014-08-11",12.64
"47","2014-08-12",12.5
"48","2014-08-13",12.35
"49","2014-08-14",12.56
"50","2014-08-15",13.16
"51","2014-08-18",13.35
"52","2014-08-19",13.39
"53","2014-08-20",13.81
"54","2014-08-21",13.49
"55","2014-08-22",13.8
"56","2014-08-25",13.97
"57","2014-08-26",14
"58","2014-08-27",14
"59","2014-08-28",13.39
"60","2014-08-29",13.68
"61","2014-09-02",14.86
"62","2014-09-03",14.8
"63","2014-09-04",14.51
"64","2014-09-05",14.72
"65","2014-09-08",15.98
"66","2014-09-09",15.61
"67","2014-09-10",15.89
"68","2014-09-11",15.51
"69","2014-09-12",15.15
"70","2014-09-15",14.03
"71","2014-09-16",14.885
"72","2014-09-17",14.52
"73","2014-09-18",14.59
"74","2014-09-19",14.64
"75","2014-09-22",15.3
"76","2014-09-23",17.950001
"77","2014-09-24",19.120001
"78","2014-09-25",19.52
"79","2014-09-26",22.24
"80","2014-09-29",21.42
"81","2014-09-30",21
"82","2014-10-01",19.139999
"83","2014-10-02",18.83
"84","2014-10-03",19.799999
"85","2014-10-06",20.110001
"86","2014-10-07",20.469999
"87","2014-10-08",23.309999
"88","2014-10-09",23.110001
"89","2014-10-10",20.700001
"90","2014-10-13",18.120001
"91","2014-10-14",17.73
"92","2014-10-15",18.450001
"93","2014-10-16",18.74
"94","2014-10-17",18.17
"95","2014-10-20",18.709999
"96","2014-10-21",19.049999
"97","2014-10-22",19.030001
"98","2014-10-23",19.59
"99","2014-10-24",19.65
"100","2014-10-27",19.799999
"101","2014-10-28",20.030001
"102","2014-10-29",19.950001
"103","2014-10-30",18.959999
"104","2014-10-31",18.41
"105","2014-11-03",19.02
"106","2014-11-04",20.200001
"107","2014-11-05",20.219999
"108","2014-11-06",20.870001
"109","2014-11-07",22.139999
"110","2014-11-10",22.32
"111","2014-11-11",20.66
"112","2014-11-12",21.75
"113","2014-11-13",22.73
"114","2014-11-14",22.32
"115","2014-11-17",22.889999
"116","2014-11-18",22.969999
"117","2014-11-19",22.950001
"118","2014-11-20",23.16
"119","2014-11-21",22.219999
"120","2014-11-24",22.700001
"121","2014-11-25",22.66
"122","2014-11-26",22.709999
"123","2014-11-28",24.700001
"124","2014-12-01",23.879999
"125","2014-12-02",24.18
"126","2014-12-03",22.07
"127","2014-12-04",23.389999
"128","2014-12-05",24.24
"129","2014-12-08",22.860001
"130","2014-12-09",22.9
"131","2014-12-10",22.299999
"132","2014-12-11",24.6
"133","2014-12-12",26.379999
"134","2014-12-15",25.1
"135","2014-12-16",26.299999
"136","2014-12-17",30.969999
"137","2014-12-18",31.559999
"138","2014-12-19",32.029999
"139","2014-12-22",37.450001
"140","2014-12-23",37.060001
