"","date","FR"
"1","2007-01-03",46.77
"2","2007-01-04",46.52
"3","2007-01-05",45.82
"4","2007-01-08",45.700001
"5","2007-01-09",45.970001
"6","2007-01-10",46.450001
"7","2007-01-11",47.169998
"8","2007-01-12",47.369999
"9","2007-01-16",47.150002
"10","2007-01-17",47.080002
"11","2007-01-18",46.700001
"12","2007-01-19",47.470001
"13","2007-01-22",46.700001
"14","2007-01-23",46.689999
"15","2007-01-24",47.16
"16","2007-01-25",46.869999
"17","2007-01-26",47.139999
"18","2007-01-29",47.279999
"19","2007-01-30",47.27
"20","2007-01-31",47.259998
"21","2007-02-01",47.66
"22","2007-02-02",47.779999
"23","2007-02-05",47.470001
"24","2007-02-06",47.990002
"25","2007-02-07",49.07
"26","2007-02-08",49.049999
"27","2007-02-09",49
"28","2007-02-12",48.900002
"29","2007-02-13",49.18
"30","2007-02-14",49
"31","2007-02-15",48.650002
"32","2007-02-16",48.75
"33","2007-02-20",49.509998
"34","2007-02-21",49.330002
"35","2007-02-22",49.290001
"36","2007-02-23",48.099998
"37","2007-02-26",48.299999
"38","2007-02-27",46.330002
"39","2007-02-28",46.369999
"40","2007-03-01",46.400002
"41","2007-03-02",45.880001
"42","2007-03-05",44.439999
"43","2007-03-06",45.919998
"44","2007-03-07",45.279999
"45","2007-03-08",45.68
"46","2007-03-09",46.09
"47","2007-03-12",46.18
"48","2007-03-13",44.82
"49","2007-03-14",45.369999
"50","2007-03-15",46.110001
"51","2007-03-16",46.200001
"52","2007-03-19",46.290001
"53","2007-03-20",46.110001
"54","2007-03-21",46.799999
"55","2007-03-22",46.869999
"56","2007-03-23",46.810001
"57","2007-03-26",45.799999
"58","2007-03-27",45.5
"59","2007-03-28",44.599998
"60","2007-03-29",44.860001
"61","2007-03-30",45.299999
"62","2007-04-02",45.669998
"63","2007-04-03",45.77
"64","2007-04-04",45
"65","2007-04-05",44.900002
"66","2007-04-09",44.32
"67","2007-04-10",44.25
"68","2007-04-11",43.900002
"69","2007-04-12",43.810001
"70","2007-04-13",44.360001
"71","2007-04-16",44.689999
"72","2007-04-17",44.970001
"73","2007-04-18",43.990002
"74","2007-04-19",43.490002
"75","2007-04-20",43.880001
"76","2007-04-23",44.299999
"77","2007-04-24",44.009998
"78","2007-04-25",44.09
"79","2007-04-26",44.200001
"80","2007-04-27",44.27
"81","2007-04-30",43.790001
"82","2007-05-01",43.799999
"83","2007-05-02",44.529999
"84","2007-05-03",44.900002
"85","2007-05-04",45.02
"86","2007-05-07",44.52
"87","2007-05-08",44.23
"88","2007-05-09",44.52
"89","2007-05-10",44
"90","2007-05-11",44.209999
"91","2007-05-14",43.93
"92","2007-05-15",43.490002
"93","2007-05-16",43.299999
"94","2007-05-17",42.669998
"95","2007-05-18",42.290001
"96","2007-05-21",43.27
"97","2007-05-22",43.580002
"98","2007-05-23",43.07
"99","2007-05-24",42.09
"100","2007-05-25",42.439999
"101","2007-05-29",43.27
"102","2007-05-30",44.27
"103","2007-05-31",44.599998
"104","2007-06-01",44.84
"105","2007-06-04",45.470001
"106","2007-06-05",44.700001
"107","2007-06-06",44.43
"108","2007-06-07",42.919998
"109","2007-06-08",43.540001
"110","2007-06-11",42.689999
"111","2007-06-12",41.82
"112","2007-06-13",42.389999
"113","2007-06-14",41.900002
"114","2007-06-15",42.41
"115","2007-06-18",41.599998
"116","2007-06-19",41.25
"117","2007-06-20",40.299999
"118","2007-06-21",39.5
"119","2007-06-22",39.23
"120","2007-06-25",39.009998
"121","2007-06-26",38.959999
"122","2007-06-27",39.080002
"123","2007-06-28",39.169998
"124","2007-06-29",38.759998
"125","2007-07-02",39.150002
"126","2007-07-03",38.98
"127","2007-07-05",39.369999
"128","2007-07-06",39.27
"129","2007-07-09",38.599998
"130","2007-07-10",37.990002
"131","2007-07-11",38.27
"132","2007-07-12",39.310001
"133","2007-07-13",40.709999
