"","date","IMXI"
"1","2017-03-27",9.7
"2","2017-03-28",9.75
"3","2017-03-29",9.75
"4","2017-03-30",9.79
"5","2017-03-31",9.85
"6","2017-04-03",9.85
"7","2017-04-04",9.85
"8","2017-04-05",9.85
"9","2017-04-06",9.85
"10","2017-04-07",9.8
"11","2017-04-10",9.8
"12","2017-04-11",9.8
"13","2017-04-12",9.8
"14","2017-04-13",9.8
"15","2017-04-17",9.8
"16","2017-04-18",9.95
"17","2017-04-19",9.95
"18","2017-04-20",9.895
"19","2017-04-21",9.895
"20","2017-04-24",9.85
"21","2017-04-25",9.85
"22","2017-04-26",9.85
"23","2017-04-27",9.84
"24","2017-04-28",9.84
"25","2017-05-01",9.8
"26","2017-05-02",9.727
"27","2017-05-03",9.727
"28","2017-05-04",9.727
"29","2017-05-05",9.77
"30","2017-05-08",9.77
"31","2017-05-09",9.77
"32","2017-05-10",9.77
"33","2017-05-11",9.77
"34","2017-05-12",9.75
"35","2017-05-15",9.75
"36","2017-05-16",9.75
"37","2017-05-17",9.75
"38","2017-05-18",9.75
"39","2017-05-19",9.75
"40","2017-05-22",9.75
"41","2017-05-23",9.75
"42","2017-05-24",9.75
"43","2017-05-25",9.75
"44","2017-05-26",9.75
"45","2017-05-30",9.85
"46","2017-05-31",9.85
"47","2017-06-01",9.85
"48","2017-06-02",9.85
"49","2017-06-05",9.78
"50","2017-06-06",9.85
"51","2017-06-07",9.85
"52","2017-06-08",9.85
"53","2017-06-09",9.8
"54","2017-06-12",9.8
"55","2017-06-13",9.8
"56","2017-06-14",9.8
"57","2017-06-15",9.8
"58","2017-06-16",9.8
"59","2017-06-19",9.8
"60","2017-06-20",9.82
"61","2017-06-21",9.81
"62","2017-06-22",9.82
"63","2017-06-23",9.8
"64","2017-06-26",9.8
"65","2017-06-27",9.8
"66","2017-06-28",9.8
"67","2017-06-29",9.79
"68","2017-06-30",9.8
"69","2017-07-03",9.78
"70","2017-07-05",9.795
"71","2017-07-06",9.795
"72","2017-07-07",9.79
"73","2017-07-10",9.79
"74","2017-07-11",9.79
"75","2017-07-12",9.77
"76","2017-07-13",9.78
"77","2017-07-14",9.83
"78","2017-07-17",9.83
"79","2017-07-18",9.78
"80","2017-07-19",9.8
"81","2017-07-20",9.8
"82","2017-07-21",9.78
"83","2017-07-24",9.78
"84","2017-07-25",9.78
"85","2017-07-26",9.78
"86","2017-07-27",9.78
"87","2017-07-28",9.78
"88","2017-07-31",9.79
"89","2017-08-01",9.78
"90","2017-08-02",9.77
"91","2017-08-03",9.76
"92","2017-08-04",9.769
"93","2017-08-07",9.769
"94","2017-08-08",9.76
"95","2017-08-09",9.759
"96","2017-08-10",9.8
"97","2017-08-11",9.82
"98","2017-08-14",9.82
"99","2017-08-15",9.8
"100","2017-08-16",9.72
"101","2017-08-17",9.72
"102","2017-08-18",9.72
"103","2017-08-21",9.72
"104","2017-08-22",9.72
"105","2017-08-23",9.72
"106","2017-08-24",9.76
"107","2017-08-25",9.83
"108","2017-08-28",9.83
"109","2017-08-29",9.83
"110","2017-08-30",9.83
"111","2017-08-31",9.78
"112","2017-09-01",9.781
"113","2017-09-05",9.781
"114","2017-09-06",9.78
"115","2017-09-07",9.78
"116","2017-09-08",9.78
"117","2017-09-11",9.78
"118","2017-09-12",9.78
"119","2017-09-13",9.75
"120","2017-09-14",9.83
"121","2017-09-15",9.795
"122","2017-09-18",9.85
"123","2017-09-19",9.85
"124","2017-09-20",9.8
"125","2017-09-21",9.8
"126","2017-09-22",9.8
"127","2017-09-25",9.8
"128","2017-09-26",9.8
"129","2017-09-27",9.8
"130","2017-09-28",9.84
"131","2017-09-29",9.8
"132","2017-10-02",9.95
"133","2017-10-03",9.95
"134","2017-10-04",9.825
"135","2017-10-05",9.811
"136","2017-10-06",9.811
"137","2017-10-09",9.811
"138","2017-10-10",9.845
"139","2017-10-11",9.79
"140","2017-10-12",9.79
"141","2017-10-13",9.79
"142","2017-10-16",9.79
"143","2017-10-17",9.81
"144","2017-10-18",9.79
