"","date","XPO"
"1","2007-01-03",5.08
"2","2007-01-04",5.08
"3","2007-01-05",5.12
"4","2007-01-08",5.04
"5","2007-01-09",5.12
"6","2007-01-10",5.16
"7","2007-01-11",5.04
"8","2007-01-12",5.2
"9","2007-01-16",5.2
"10","2007-01-17",5.32
"11","2007-01-18",5.48
"12","2007-01-19",5.68
"13","2007-01-22",5.56
"14","2007-01-23",5.56
"15","2007-01-24",5.56
"16","2007-01-25",5.56
"17","2007-01-26",5.52
"18","2007-01-29",5.56
"19","2007-01-30",5.4
"20","2007-01-31",5.6
"21","2007-02-01",5.84
"22","2007-02-02",5.76
"23","2007-02-05",5.88
"24","2007-02-06",5.92
"25","2007-02-07",5.92
"26","2007-02-08",5.92
"27","2007-02-09",5.96
"28","2007-02-12",5.88
"29","2007-02-13",6.04
"30","2007-02-14",6.04
"31","2007-02-15",6
"32","2007-02-16",6.16
"33","2007-02-20",6.32
"34","2007-02-21",6.32
"35","2007-02-22",5.68
"36","2007-02-23",5.4
"37","2007-02-26",5.28
"38","2007-02-27",5.4
"39","2007-02-28",5.28
"40","2007-03-01",5.24
"41","2007-03-02",4.96
"42","2007-03-05",5
"43","2007-03-06",4.96
"44","2007-03-07",5.08
"45","2007-03-08",5.08
"46","2007-03-09",5.2
"47","2007-03-12",5.36
"48","2007-03-13",5.32
"49","2007-03-14",5.2
"50","2007-03-15",5.28
"51","2007-03-16",5.12
"52","2007-03-19",5.24
"53","2007-03-20",5.28
"54","2007-03-21",5.28
"55","2007-03-22",5.28
"56","2007-03-23",5.2
"57","2007-03-26",5.2
"58","2007-03-27",5.32
"59","2007-03-28",5.32
"60","2007-03-29",5.28
"61","2007-03-30",5.28
"62","2007-04-02",5.28
"63","2007-04-03",5.32
"64","2007-04-04",5.28
"65","2007-04-05",5.32
"66","2007-04-09",5.4
"67","2007-04-10",5.4
"68","2007-04-11",5.44
"69","2007-04-12",5.48
"70","2007-04-13",5.6
"71","2007-04-16",5.88
"72","2007-04-17",5.88
"73","2007-04-18",5.84
"74","2007-04-19",5.72
"75","2007-04-20",5.8
"76","2007-04-23",5.8
"77","2007-04-24",5.72
"78","2007-04-25",5.68
"79","2007-04-26",5.6
"80","2007-04-27",5.52
"81","2007-04-30",5.6
"82","2007-05-01",5.36
"83","2007-05-02",5.2
"84","2007-05-03",5.2
"85","2007-05-04",5.32
"86","2007-05-07",5.44
"87","2007-05-08",5.4
"88","2007-05-09",5.32
"89","2007-05-10",5.32
"90","2007-05-11",5.24
"91","2007-05-14",5.2
"92","2007-05-15",5.2
"93","2007-05-16",5.16
"94","2007-05-17",5.16
"95","2007-05-18",5.08
"96","2007-05-21",5.04
"97","2007-05-22",5.04
"98","2007-05-23",5.28
"99","2007-05-24",5.24
"100","2007-05-25",5.2
"101","2007-05-29",5.28
"102","2007-05-30",5.36
"103","2007-05-31",5.68
"104","2007-06-01",5.76
"105","2007-06-04",5.84
"106","2007-06-05",5.8
"107","2007-06-06",5.64
"108","2007-06-07",5.6
"109","2007-06-08",5.64
"110","2007-06-11",5.68
"111","2007-06-12",5.64
"112","2007-06-13",5.6
"113","2007-06-14",5.84
"114","2007-06-15",5.88
"115","2007-06-18",5.88
"116","2007-06-19",5.84
"117","2007-06-20",5.32
"118","2007-06-21",5.52
"119","2007-06-22",5.56
"120","2007-06-25",5.52
"121","2007-06-26",5.48
"122","2007-06-27",5.4
"123","2007-06-28",5.44
"124","2007-06-29",5.4
"125","2007-07-02",5.52
"126","2007-07-03",5.52
"127","2007-07-05",5.52
"128","2007-07-06",5.56
"129","2007-07-09",5.52
"130","2007-07-10",5.52
"131","2007-07-11",5.48
"132","2007-07-12",5.4
"133","2007-07-13",5.44
"134","2007-07-16",5.44
"135","2007-07-17",5.52
"136","2007-07-18",5.52
"137","2007-07-19",5.48
"138","2007-07-20",5.52
"139","2007-07-23",5.52
"140","2007-07-24",5.48
"141","2007-07-25",5.36
"142","2007-07-26",5.32
"143","2007-07-27",5.28
"144","2007-07-30",5.32
"145","2007-07-31",5.4
"146","2007-08-01",5.28
"147","2007-08-02",5.4
"148","2007-08-03",5.28
"149","2007-08-06",5.16
"150","2007-08-07",5.12
"151","2007-08-08",5.12
"152","2007-08-09",5.28
"153","2007-08-10",5.48
"154","2007-08-13",5.28
"155","2007-08-14",5.16
"156","2007-08-15",5.04
"157","2007-08-16",5.08
"158","2007-08-17",5
"159","2007-08-20",5.04
"160","2007-08-21",4.96
"161","2007-08-22",5
"162","2007-08-23",5
"163","2007-08-24",5.04
"164","2007-08-27",5.04
"165","2007-08-28",5.04
"166","2007-08-29",5.04
"167","2007-08-30",5
"168","2007-08-31",5
"169","2007-09-04",4.96
"170","2007-09-05",5.04
"171","2007-09-06",5.04
"172","2007-09-07",4.92
"173","2007-09-10",5
"174","2007-09-11",5
"175","2007-09-12",5
"176","2007-09-13",5
"177","2007-09-14",5
"178","2007-09-17",4.88
"179","2007-09-18",4.96
"180","2007-09-19",4.92
"181","2007-09-20",4.92
"182","2007-09-21",4.84
"183","2007-09-24",4.88
"184","2007-09-25",4.88
"185","2007-09-26",4.96
"186","2007-09-27",5.04
"187","2007-09-28",4.96
"188","2007-10-01",4.96
"189","2007-10-02",5
"190","2007-10-03",5.04
"191","2007-10-04",4.96
"192","2007-10-05",5.04
"193","2007-10-08",5
"194","2007-10-09",5.12
"195","2007-10-10",5.44
"196","2007-10-11",5.44
"197","2007-10-12",5.4
"198","2007-10-15",5.4
"199","2007-10-16",5.32
"200","2007-10-17",5.32
"201","2007-10-18",5.28
"202","2007-10-19",5.4
"203","2007-10-22",5.2
"204","2007-10-23",5.28
"205","2007-10-24",5.16
"206","2007-10-25",5.32
"207","2007-10-26",5.4
"208","2007-10-29",5.4
"209","2007-10-30",5.36
"210","2007-10-31",5.36
"211","2007-11-01",5.28
"212","2007-11-02",5.08
"213","2007-11-05",5.2
"214","2007-11-06",5.28
"215","2007-11-07",5.2
"216","2007-11-08",5
"217","2007-11-09",4.92
"218","2007-11-12",4.48
"219","2007-11-13",4.8
"220","2007-11-14",5.2
"221","2007-11-15",5.12
"222","2007-11-16",4.8
"223","2007-11-19",5
"224","2007-11-20",4.8
"225","2007-11-21",4.8
"226","2007-11-23",4.76
"227","2007-11-26",4.56
"228","2007-11-27",4.52
"229","2007-11-28",4.56
"230","2007-11-29",4.64
"231","2007-11-30",4.8
"232","2007-12-03",4.72
"233","2007-12-04",4.76
"234","2007-12-05",4.68
"235","2007-12-06",4.64
"236","2007-12-07",4.64
"237","2007-12-10",4.52
"238","2007-12-11",4.48
"239","2007-12-12",4.44
"240","2007-12-13",4.4
"241","2007-12-14",4.48
"242","2007-12-17",4.44
"243","2007-12-18",4.44
"244","2007-12-19",4.6
"245","2007-12-20",4.44
"246","2007-12-21",4.48
"247","2007-12-24",4.36
"248","2007-12-26",4.44
"249","2007-12-27",4.56
"250","2007-12-28",4.6
"251","2007-12-31",4.92
"252","2008-01-02",4.6
"253","2008-01-03",4.72
"254","2008-01-04",4.6
"255","2008-01-07",4.4
"256","2008-01-08",4.52
"257","2008-01-09",4.48
"258","2008-01-10",4.16
"259","2008-01-11",4.16
"260","2008-01-14",3.92
"261","2008-01-15",4
"262","2008-01-16",4.2
"263","2008-01-17",4.2
"264","2008-01-18",4.2
"265","2008-01-22",4.12
"266","2008-01-23",3.92
"267","2008-01-24",4.2
"268","2008-01-25",4.08
"269","2008-01-28",4.16
"270","2008-01-29",4.24
"271","2008-01-30",4.12
"272","2008-01-31",4.04
"273","2008-02-01",4.6
"274","2008-02-04",4.88
"275","2008-02-05",4.8
"276","2008-02-06",4.72
"277","2008-02-07",4.64
"278","2008-02-08",4.68
"279","2008-02-11",4.8
"280","2008-02-12",4.68
"281","2008-02-13",4.76
"282","2008-02-14",4.76
"283","2008-02-15",4.8
"284","2008-02-19",5
"285","2008-02-20",5.04
"286","2008-02-21",5
"287","2008-02-22",5.04
"288","2008-02-25",4.92
"289","2008-02-26",5
"290","2008-02-27",4.88
"291","2008-02-28",4.8
"292","2008-02-29",4.6
"293","2008-03-03",4.8
"294","2008-03-04",4.76
"295","2008-03-05",4.6
"296","2008-03-06",4.72
"297","2008-03-07",4.6
"298","2008-03-10",4.6
"299","2008-03-11",4.64
"300","2008-03-12",4.64
"301","2008-03-13",4.6
"302","2008-03-14",4.52
"303","2008-03-17",4.64
"304","2008-03-18",4.6
"305","2008-03-19",4.6
"306","2008-03-20",4.28
"307","2008-03-24",4.64
"308","2008-03-25",4.64
"309","2008-03-26",4.68
"310","2008-03-27",4.64
"311","2008-03-28",4.6
