"","date","CVI"
"1","2007-10-23",20.25
"2","2007-10-24",20.879999
"3","2007-10-25",22.200001
"4","2007-10-26",23.73
"5","2007-10-29",23.4
"6","2007-10-30",22.75
"7","2007-10-31",22.799999
"8","2007-11-01",22.1
"9","2007-11-02",22.450001
"10","2007-11-05",22
"11","2007-11-06",22.74
"12","2007-11-07",22.4
"13","2007-11-08",22.040001
"14","2007-11-09",22.370001
"15","2007-11-12",21.969999
"16","2007-11-13",21.879999
"17","2007-11-14",21.959999
"18","2007-11-15",21.48
"19","2007-11-16",21.68
"20","2007-11-19",21.91
"21","2007-11-20",21.76
"22","2007-11-21",21.65
"23","2007-11-23",21.85
"24","2007-11-26",21.66
"25","2007-11-27",21.5
"26","2007-11-28",21.51
"27","2007-11-29",21.620001
"28","2007-11-30",22.02
"29","2007-12-03",22
"30","2007-12-04",21.940001
"31","2007-12-05",21.75
"32","2007-12-06",21.549999
"33","2007-12-07",21.450001
"34","2007-12-10",21.35
"35","2007-12-11",21.27
"36","2007-12-12",22.43
"37","2007-12-13",22.08
"38","2007-12-14",23.200001
"39","2007-12-17",23.74
"40","2007-12-18",23.540001
"41","2007-12-19",24.34
"42","2007-12-20",24.5
"43","2007-12-21",24.73
"44","2007-12-24",25.700001
"45","2007-12-26",25.33
"46","2007-12-27",24.959999
"47","2007-12-28",25.059999
"48","2007-12-31",24.940001
"49","2008-01-02",25
"50","2008-01-03",23.91
"51","2008-01-04",24.309999
"52","2008-01-07",24.4
"53","2008-01-08",25.190001
"54","2008-01-09",24.93
"55","2008-01-10",25.129999
"56","2008-01-11",24.91
"57","2008-01-14",26
"58","2008-01-15",25.450001
"59","2008-01-16",25.51
"60","2008-01-17",24.780001
"61","2008-01-18",25.35
"62","2008-01-22",24.82
"63","2008-01-23",24.799999
"64","2008-01-24",25.139999
"65","2008-01-25",25.27
"66","2008-01-28",25.940001
"67","2008-01-29",26.83
"68","2008-01-30",26.17
"69","2008-01-31",26.51
"70","2008-02-01",26.68
"71","2008-02-04",26.26
"72","2008-02-05",24.98
"73","2008-02-06",24.59
"74","2008-02-07",24.959999
"75","2008-02-08",26.02
"76","2008-02-11",26.23
"77","2008-02-12",26.610001
"78","2008-02-13",27.18
"79","2008-02-14",27.01
