"","date","REV"
"1","2007-01-03",13.1
"2","2007-01-04",13.4
"3","2007-01-05",13.9
"4","2007-01-08",13.8
"5","2007-01-09",13.5
"6","2007-01-10",13.2
"7","2007-01-11",13.4
"8","2007-01-12",13
"9","2007-01-16",12.5
"10","2007-01-17",12.5
"11","2007-01-18",12
"12","2007-01-19",12.5
"13","2007-01-22",12.8
"14","2007-01-23",13.2
"15","2007-01-24",13.1
"16","2007-01-25",12.8
"17","2007-01-26",13.1
"18","2007-01-29",12.7
"19","2007-01-30",12.9
"20","2007-01-31",12.8
"21","2007-02-01",13.1
"22","2007-02-02",14.9
"23","2007-02-05",13.4
"24","2007-02-06",13.6
"25","2007-02-07",14
"26","2007-02-08",13.9
"27","2007-02-09",14.1
"28","2007-02-12",14.1
"29","2007-02-13",14.3
"30","2007-02-14",14.2
"31","2007-02-15",14
"32","2007-02-16",13.6
"33","2007-02-20",13.8
"34","2007-02-21",13.8
"35","2007-02-22",13.9
"36","2007-02-23",13.7
"37","2007-02-26",13.5
"38","2007-02-27",12.5
"39","2007-02-28",12.7
"40","2007-03-01",12.6
"41","2007-03-02",12.3
"42","2007-03-05",11.8
"43","2007-03-06",12
"44","2007-03-07",12
"45","2007-03-08",11.6
"46","2007-03-09",11.5
"47","2007-03-12",11.9
"48","2007-03-13",11
"49","2007-03-14",10.5
"50","2007-03-15",10.8
"51","2007-03-16",10.9
"52","2007-03-19",11.3
"53","2007-03-20",11.2
"54","2007-03-21",11.1
"55","2007-03-22",11.1
"56","2007-03-23",11.1
"57","2007-03-26",10.9
"58","2007-03-27",10.9
"59","2007-03-28",10.8
"60","2007-03-29",10.8
"61","2007-03-30",10.7
"62","2007-04-02",10.4
"63","2007-04-03",10.7
"64","2007-04-04",10.9
"65","2007-04-05",10.7
"66","2007-04-09",11.5
"67","2007-04-10",12
"68","2007-04-11",12
"69","2007-04-12",12.1
"70","2007-04-13",12
"71","2007-04-16",12.8
"72","2007-04-17",12.2
"73","2007-04-18",12.3
"74","2007-04-19",12.3
"75","2007-04-20",12.5
"76","2007-04-23",12.5
"77","2007-04-24",12.4
"78","2007-04-25",12.9
"79","2007-04-26",13.1
"80","2007-04-27",12.6
"81","2007-04-30",12.9
"82","2007-05-01",12.9
"83","2007-05-02",13.1
"84","2007-05-03",13.2
"85","2007-05-04",13
"86","2007-05-07",13.1
"87","2007-05-08",13.5
"88","2007-05-09",13.3
"89","2007-05-10",12.8
"90","2007-05-11",13.1
"91","2007-05-14",13.1
"92","2007-05-15",13
"93","2007-05-16",13
"94","2007-05-17",12.6
"95","2007-05-18",13
"96","2007-05-21",12.9
"97","2007-05-22",12.9
"98","2007-05-23",12.7
"99","2007-05-24",12.6
"100","2007-05-25",12.8
"101","2007-05-29",12.8
"102","2007-05-30",13.4
"103","2007-05-31",13.9
"104","2007-06-01",14.3
"105","2007-06-04",14.1
"106","2007-06-05",14
"107","2007-06-06",14.6
"108","2007-06-07",13.6
"109","2007-06-08",14.3
"110","2007-06-11",14.2
"111","2007-06-12",13.9
"112","2007-06-13",13.8
"113","2007-06-14",13.6
"114","2007-06-15",14
"115","2007-06-18",14.1
"116","2007-06-19",13.9
"117","2007-06-20",13.9
"118","2007-06-21",14
"119","2007-06-22",13.8
"120","2007-06-25",13.6
"121","2007-06-26",13.9
"122","2007-06-27",13.6
"123","2007-06-28",13.7
"124","2007-06-29",13.7
"125","2007-07-02",13.8
"126","2007-07-03",13.7
"127","2007-07-05",13.5
"128","2007-07-06",13.7
"129","2007-07-09",13.4
"130","2007-07-10",13.1
"131","2007-07-11",12.7
"132","2007-07-12",12.9
"133","2007-07-13",12.8
"134","2007-07-16",12.8
"135","2007-07-17",12.2
