"","date","WKHS"
"1","2010-06-02",10.1
"2","2010-06-03",10.1
"3","2010-06-04",10.1
"4","2010-06-07",8
"5","2010-06-08",8
"6","2010-06-09",8
"7","2010-06-10",8
"8","2010-06-11",8
"9","2010-06-14",8
"10","2010-06-15",8
"11","2010-06-16",8
"12","2010-06-17",8
"13","2010-06-18",8
"14","2010-06-21",9.8
"15","2010-06-22",9
"16","2010-06-23",9
"17","2010-06-24",9
"18","2010-06-25",5.1
"19","2010-06-28",6.5
"20","2010-06-29",6.5
"21","2010-06-30",6
"22","2010-07-01",6
"23","2010-07-02",6
"24","2010-07-06",8.5
"25","2010-07-07",8.5
"26","2010-07-08",7.1
"27","2010-07-09",7.3
"28","2010-07-12",7.5
"29","2010-07-13",7.4
"30","2010-07-14",7.5
"31","2010-07-15",7.5
"32","2010-07-16",7.5
"33","2010-07-19",8.5
"34","2010-07-20",8
"35","2010-07-21",8
"36","2010-07-22",8
"37","2010-07-23",8.5
"38","2010-07-26",8
"39","2010-07-27",8
"40","2010-07-28",6.5
"41","2010-07-29",6.5
"42","2010-07-30",6.5
"43","2010-08-02",6.5
"44","2010-08-03",7.5
"45","2010-08-04",7.5
"46","2010-08-05",7.5
"47","2010-08-06",7.5
"48","2010-08-09",7.5
"49","2010-08-10",7.5
"50","2010-08-11",7.5
"51","2010-08-12",7.5
"52","2010-08-13",6
"53","2010-08-16",6
"54","2010-08-17",6
"55","2010-08-18",6
"56","2010-08-19",6
"57","2010-08-20",7.4
"58","2010-08-23",7.4
"59","2010-08-24",7.4
"60","2010-08-25",7.4
"61","2010-08-26",7.4
"62","2010-08-27",7.4
"63","2010-08-30",7.4
"64","2010-08-31",7.4
"65","2010-09-01",7.4
"66","2010-09-02",7.4
"67","2010-09-03",7.4
"68","2010-09-07",7.4
"69","2010-09-08",7.4
"70","2010-09-09",7.4
"71","2010-09-10",6.9
"72","2010-09-13",6
"73","2010-09-14",6
"74","2010-09-15",6.9
"75","2010-09-16",6.1
"76","2010-09-17",7
"77","2010-09-20",7
"78","2010-09-21",6.9
"79","2010-09-22",6.5
"80","2010-09-23",6.7
"81","2010-09-24",6.7
"82","2010-09-27",6.7
"83","2010-09-28",6
"84","2010-09-29",6.1
"85","2010-09-30",6.5
"86","2010-10-01",5.5
"87","2010-10-04",6.2
"88","2010-10-05",6.8
"89","2010-10-06",6.5
"90","2010-10-07",6.5
"91","2010-10-08",6.5
