"","date","TNDM"
"1","2013-11-14",192.600006
"2","2013-11-15",218.399994
"3","2013-11-18",206.199997
"4","2013-11-19",201.100006
"5","2013-11-20",200.399994
"6","2013-11-21",218.300003
"7","2013-11-22",206.600006
"8","2013-11-25",201.800003
"9","2013-11-26",217.699997
"10","2013-11-27",224.399994
"11","2013-11-29",220.100006
"12","2013-12-02",225.399994
"13","2013-12-03",224.600006
"14","2013-12-04",228.800003
"15","2013-12-05",248
"16","2013-12-06",247.899994
"17","2013-12-09",239.100006
"18","2013-12-10",240
"19","2013-12-11",235
"20","2013-12-12",233
"21","2013-12-13",226.699997
"22","2013-12-16",237
"23","2013-12-17",235.199997
"24","2013-12-18",234.600006
"25","2013-12-19",226.100006
"26","2013-12-20",237
"27","2013-12-23",243.800003
"28","2013-12-24",246.300003
"29","2013-12-26",249
"30","2013-12-27",249.899994
"31","2013-12-30",247.899994
"32","2013-12-31",257.700012
"33","2014-01-02",255.899994
"34","2014-01-03",268
"35","2014-01-06",284.100006
"36","2014-01-07",284.600006
"37","2014-01-08",283.799988
"38","2014-01-09",297.299988
"39","2014-01-10",299.799988
"40","2014-01-13",293.399994
"41","2014-01-14",295.100006
"42","2014-01-15",290
"43","2014-01-16",262.200012
"44","2014-01-17",269.700012
"45","2014-01-21",268.5
"46","2014-01-22",266.399994
"47","2014-01-23",261.799988
"48","2014-01-24",254.100006
"49","2014-01-27",243.5
"50","2014-01-28",247.199997
"51","2014-01-29",247.5
"52","2014-01-30",256.299988
"53","2014-01-31",258.5
"54","2014-02-03",252.100006
"55","2014-02-04",249.800003
"56","2014-02-05",244.5
"57","2014-02-06",238
"58","2014-02-07",234.899994
"59","2014-02-10",238.5
"60","2014-02-11",233
"61","2014-02-12",244.699997
"62","2014-02-13",244.300003
"63","2014-02-14",244.600006
"64","2014-02-18",252.5
"65","2014-02-19",251.5
"66","2014-02-20",248.100006
"67","2014-02-21",248.699997
"68","2014-02-24",247.5
"69","2014-02-25",248
"70","2014-02-26",245.800003
"71","2014-02-27",243.399994
"72","2014-02-28",257.5
"73","2014-03-03",248.899994
"74","2014-03-04",248.899994
"75","2014-03-05",248.300003
"76","2014-03-06",247.5
"77","2014-03-07",258.299988
"78","2014-03-10",264.299988
"79","2014-03-11",261.399994
"80","2014-03-12",254.300003
"81","2014-03-13",250.699997
"82","2014-03-14",247.899994
"83","2014-03-17",253
"84","2014-03-18",265
"85","2014-03-19",260.399994
"86","2014-03-20",261.399994
"87","2014-03-21",250.600006
"88","2014-03-24",245.899994
"89","2014-03-25",243.899994
