"","date","IMTX"
"1","2018-12-12",9.6
"2","2018-12-13",9.6
"3","2018-12-14",9.6
"4","2018-12-17",9.753
"5","2018-12-18",9.615
"6","2018-12-19",9.615
"7","2018-12-20",9.6
"8","2018-12-21",9.68
"9","2018-12-24",9.68
"10","2018-12-26",9.68
"11","2018-12-27",9.68
"12","2018-12-28",9.68
"13","2018-12-31",9.8
"14","2019-01-02",9.8
"15","2019-01-03",9.8
"16","2019-01-04",9.8
"17","2019-01-07",9.8
"18","2019-01-08",9.8
"19","2019-01-09",9.8
"20","2019-01-10",9.8
"21","2019-01-11",9.8
"22","2019-01-14",9.8
"23","2019-01-15",9.8
"24","2019-01-16",9.8
"25","2019-01-17",9.8
"26","2019-01-18",9.8
"27","2019-01-22",9.8
"28","2019-01-23",9.8
"29","2019-01-24",9.8
"30","2019-01-25",9.8
"31","2019-01-28",9.8
"32","2019-01-29",9.8
"33","2019-01-30",9.8
"34","2019-01-31",9.8
"35","2019-02-01",9.8
"36","2019-02-04",9.8
"37","2019-02-05",9.8
"38","2019-02-06",9.8
"39","2019-02-07",9.8
"40","2019-02-08",9.8
"41","2019-02-11",9.8
"42","2019-02-12",9.8
"43","2019-02-13",9.8
"44","2019-02-14",9.8
"45","2019-02-15",9.8
"46","2019-02-19",9.8
"47","2019-02-20",9.75
"48","2019-02-21",9.75
"49","2019-02-22",9.75
"50","2019-02-25",9.75
"51","2019-02-26",9.75
"52","2019-02-27",9.82
"53","2019-02-28",9.75
"54","2019-03-01",9.75
"55","2019-03-04",9.75
"56","2019-03-05",9.75
"57","2019-03-06",9.75
"58","2019-03-07",9.75
"59","2019-03-08",9.75
"60","2019-03-11",9.75
"61","2019-03-12",9.77
"62","2019-03-13",9.77
"63","2019-03-14",9.77
"64","2019-03-15",9.77
"65","2019-03-18",9.77
"66","2019-03-19",9.77
"67","2019-03-20",9.77
"68","2019-03-21",9.77
"69","2019-03-22",9.81
"70","2019-03-25",9.81
"71","2019-03-26",9.84
"72","2019-03-27",9.81
"73","2019-03-28",9.83
"74","2019-03-29",9.83
"75","2019-04-01",9.84
"76","2019-04-02",9.84
"77","2019-04-03",9.84
"78","2019-04-04",9.84
"79","2019-04-05",9.85
"80","2019-04-08",9.81
"81","2019-04-09",9.81
"82","2019-04-10",9.81
"83","2019-04-11",9.81
"84","2019-04-12",9.86
"85","2019-04-15",9.86
"86","2019-04-16",9.86
"87","2019-04-17",9.84
"88","2019-04-18",9.84
"89","2019-04-22",9.84
"90","2019-04-23",9.84
"91","2019-04-24",9.864
"92","2019-04-25",9.9
"93","2019-04-26",9.9
"94","2019-04-29",9.85
"95","2019-04-30",9.83
"96","2019-05-01",9.86
"97","2019-05-02",9.88
"98","2019-05-03",9.92
"99","2019-05-06",9.92
"100","2019-05-07",9.907
"101","2019-05-08",9.907
"102","2019-05-09",9.92
"103","2019-05-10",9.92
"104","2019-05-13",9.92
"105","2019-05-14",9.92
"106","2019-05-15",9.97
"107","2019-05-16",10
"108","2019-05-17",9.94
"109","2019-05-20",9.94
"110","2019-05-21",9.92
"111","2019-05-22",9.92
"112","2019-05-23",9.94
"113","2019-05-24",9.97
"114","2019-05-28",9.97
"115","2019-05-29",9.97
"116","2019-05-30",9.97
"117","2019-05-31",9.94
"118","2019-06-03",9.92
"119","2019-06-04",10
"120","2019-06-05",9.96
"121","2019-06-06",10
"122","2019-06-07",10
"123","2019-06-10",10
"124","2019-06-11",9.97
"125","2019-06-12",9.96
"126","2019-06-13",10
"127","2019-06-14",10
"128","2019-06-17",10
"129","2019-06-18",10
"130","2019-06-19",10
"131","2019-06-20",10
"132","2019-06-21",9.97
"133","2019-06-24",10.01
"134","2019-06-25",10.01
"135","2019-06-26",9.99
"136","2019-06-27",10.01
"137","2019-06-28",10.01
"138","2019-07-01",9.98
"139","2019-07-02",10.04
"140","2019-07-03",10.17
"141","2019-07-05",10.13
"142","2019-07-08",10.08
"143","2019-07-09",10.08
"144","2019-07-10",10
"145","2019-07-11",10.02
"146","2019-07-12",10.02
"147","2019-07-15",10.02
"148","2019-07-16",9.99
"149","2019-07-17",9.98
"150","2019-07-18",9.99
"151","2019-07-19",9.99
"152","2019-07-22",10.05
"153","2019-07-23",10.05
"154","2019-07-24",9.99
